airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
sdy,0,path,,UNLABELED,58.71,360.68,192.91,104.38,134.2,256.3,34395.4576,831.5228,615.0669,125.81,232.53,0.5236,47,1,0,1,rgb,207,207,207,0,none,,,,0.0,64.4776,513.9638,66.2722,208.7021,0.0,594.0,387.36,0.0,4268.3372
sdy,1,path,,UNLABELED,118.56,258.57,142.07,234.0,23.51,24.57,577.6409,84.6498,94.6712,130.315,246.285,0.9569,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,144.3186,2.3243,66.2737,24.3807,0.0,594.0,387.36,0.0,329.7669
sdy,2,path,,UNLABELED,180.6,391.88,185.32,385.36,4.72,6.52,30.7744,6.1925,17.5482,182.96,388.62,0.7239,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.5655,6.8461,133.2873,4.2587,0.0,594.0,387.36,0.0,11.8742
sdy,3,path,,UNLABELED,176.27,382.79,183.12,377.93,6.85,4.86,33.291,6.522,18.7108,179.695,380.36,1.4095,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,27.4393,3.8408,66.2901,5.2971,0.0,594.0,387.36,0.0,14.0376
sdy,4,path,,UNLABELED,209.39,304.82,230.36,270.06,20.97,34.76,728.9174,87.8102,97.1144,219.875,287.44,0.6033,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,114.8495,6.7021,107.9395,20.8433,0.0,594.0,387.36,0.0,324.5012
sdy,5,path,,UNLABELED,230.44,310.19,248.26,275.85,17.82,34.34,611.9395,85.5555,89.085,239.35,293.02,0.5189,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,110.6865,11.3127,107.9225,20.505,0.0,594.0,387.36,0.0,255.7063
sdy,6,path,,UNLABELED,297.09,319.46,315.36,302.0,18.27,17.46,318.9944,67.6046,66.6045,306.225,310.73,1.0464,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,112.5567,1.35,152.9888,14.356,0.0,594.0,387.36,0.0,175.7333
sdy,7,path,,UNLABELED,163.99,340.58,270.47,294.16,106.48,46.42,4942.8019,299.6596,270.0041,217.23,317.37,2.2938,44,1,0,1,rgb,207,207,207,0,none,,,,0.0,21.1006,27.7022,18.1775,41.5116,0.0,594.0,387.36,0.0,2211.7421
sdy,8,path,,UNLABELED,167.7,371.45,260.42,321.38,92.72,50.07,4642.4883,244.9326,227.9631,214.06,346.415,1.8518,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,157.07,164.8889,152.9791,77.5672,0.0,594.0,387.36,0.0,1159.9884
sdy,9,path,,UNLABELED,256.72,333.27,340.51,288.58,83.79,44.69,3744.5757,241.4857,223.6694,298.615,310.925,1.8749,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,156.9173,46.569,152.9746,63.4482,0.0,594.0,387.36,0.0,1307.4904
sdy,10,path,,UNLABELED,265.33,356.88,278.27,341.59,12.94,15.29,197.8526,45.1622,47.2235,271.8,349.235,0.8463,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,66.0769,7.3233,62.9578,10.2058,0.0,594.0,387.36,0.0,99.8008
sdy,11,path,,UNLABELED,305.36,354.93,323.19,317.73,17.83,37.2,663.2769,104.0911,96.2228,314.275,336.33,0.4793,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.0345,14.4243,81.8747,16.5562,0.0,594.0,387.36,0.0,307.1843
