airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ska,0,0,0,201.0655,314.3345,76.3202,0.74
ska,0,0,1,201.1575,315.123,89.3988,0.858
ska,0,0,2,201.097,316.0125,98.0347,0.9301
ska,0,0,3,207.005,302.746,113.5152,29.9404
ska,0,0,4,214.2635,286.0035,113.0884,6.5561
ska,0,0,5,215.294,283.158,146.3099,0.6129
ska,0,0,6,214.8465,283.4295,152.1988,0.4353
ska,0,0,7,214.3415,283.612,165.4698,0.6457
ska,0,0,8,213.655,283.7155,176.5562,0.7494
ska,0,0,9,212.9675,283.6345,18.2704,0.6603
ska,0,0,10,212.3325,283.415,19.8397,0.6836
ska,0,0,11,207.853,281.4195,24.3239,9.1261
ska,0,0,12,203.398,279.3755,28.9818,0.679
ska,0,0,13,202.984,279.086,46.8942,0.3424
ska,0,0,14,202.716,278.7605,53.0159,0.502
ska,0,0,15,202.4365,278.2955,64.0878,0.5881
ska,0,0,16,202.2545,277.818,75.901,0.4392
ska,0,0,17,202.1695,277.3935,81.5285,0.4277
ska,0,0,18,201.842,277.8715,113.2341,1.5007
ska,0,0,19,197.5555,287.4945,114.0698,19.5685
ska,0,0,20,190.729,302.712,114.2899,13.7886
ska,0,0,21,187.798,309.2,114.9698,0.4501
ska,0,0,22,187.825,309.2485,128.1175,0.3953
ska,0,0,23,188.0535,308.971,131.1189,0.3239
ska,0,0,24,188.3185,308.758,150.1365,0.3655
ska,0,0,25,188.664,308.572,153.0724,0.4195
ska,0,0,26,189.1305,308.425,169.4605,0.5686
ska,0,0,27,189.6815,308.3495,175.0533,0.545
ska,0,0,28,190.178,308.353,6.841,0.4532
ska,0,0,29,190.5885,308.4385,17.5039,0.389
ska,0,0,30,194.8235,310.324,24.2833,8.8851
ska,0,0,31,199.2295,312.307,23.6345,0.7783
ska,0,0,32,199.8605,312.652,34.5479,0.6665
ska,0,0,33,200.3795,313.066,42.6225,0.6646
ska,1,0,0,138.4125,408.3625,78.3324,0.628
ska,1,0,1,138.469,409.0135,91.1668,0.6871
ska,1,0,2,139.5025,406.917,113.095,5.3052
ska,1,0,3,140.2775,404.61,153.3915,0.5939
ska,1,0,4,139.7085,404.852,160.2442,0.645
ska,1,0,5,139.0745,404.9835,176.1055,0.6625
ska,1,0,6,138.4405,404.944,11.5463,0.6195
ska,1,0,7,136.748,404.2545,24.3116,3.0483
ska,1,0,8,134.9145,404.62,114.1148,2.1759
ska,1,0,9,135.9465,406.276,24.1818,3.2371
ska,1,0,10,137.7255,407.1985,40.6247,0.7971
ska,2,0,0,139.4395,425.21,114.0339,52.1929
ska,2,0,1,130.087,449.6295,24.6484,2.8078
ska,2,0,2,142.0145,426.3785,114.0778,52.2162
ska,3,0,0,218.225,229.9925,90.0,0.687
ska,3,0,1,219.163,228.008,111.9456,5.0197
ska,3,0,2,219.851,225.825,149.8855,0.578
ska,3,0,3,218.3065,225.747,9.7745,2.6271
ska,3,0,4,216.7595,225.4025,25.6971,0.5604
ska,3,0,5,216.0745,226.226,114.5918,2.0785
ska,3,0,6,215.853,227.2685,24.8019,0.4649
ska,3,0,7,216.6995,227.659,24.7523,1.3996
ska,3,0,8,217.4915,228.112,45.6312,0.4476
ska,3,0,9,217.8,228.481,53.9725,0.5169
ska,3,0,10,218.0525,228.917,66.1212,0.4965
ska,4,0,0,147.318,335.727,92.2824,3.3146
ska,4,0,1,146.9145,333.5265,49.2296,1.4379
ska,4,0,2,144.7905,332.918,2.2151,3.3115
ska,4,0,3,143.0605,335.028,91.989,4.3506
ska,5,0,0,311.904,107.436,114.6632,1.8596
ska,5,0,1,312.2225,106.2245,79.2619,0.7461
ska,5,0,2,311.8365,102.6205,84.4165,6.5059
ska,5,0,3,309.9355,98.6615,24.4819,3.4821
ska,5,0,4,302.505,99.5865,164.2703,12.1469
ska,5,0,5,296.55,101.4555,116.1011,0.4955
ska,5,0,6,300.296,103.3305,23.203,8.3885
