airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
skf,0,0,0,325.168,131.1905,112.5064,3.2289
skf,0,0,1,323.059,133.2995,157.5032,3.2276
skf,0,0,2,320.0765,133.2995,22.4899,3.2285
skf,0,0,3,317.9675,131.1905,67.5096,3.2286
skf,0,0,4,317.9675,128.2075,112.4904,3.2286
skf,0,0,5,320.0765,126.0985,157.5101,3.2285
skf,0,0,6,323.059,126.0985,22.4968,3.2276
skf,0,0,7,325.168,128.2075,67.4936,3.2289
skf,1,0,0,307.865,111.306,112.4925,3.602
skf,1,0,1,305.512,113.659,157.5075,3.602
skf,1,0,2,302.184,113.659,22.4925,3.602
skf,1,0,3,299.8305,111.306,67.4927,3.6024
skf,1,0,4,299.8305,107.978,112.5073,3.6024
skf,1,0,5,302.184,105.625,157.5075,3.602
skf,1,0,6,305.512,105.625,22.4925,3.602
skf,1,0,7,307.865,107.978,67.5075,3.602
skf,2,0,0,303.724,134.0295,93.5154,3.2291
skf,2,0,1,301.1615,135.866,174.7813,4.9475
skf,2,0,2,295.619,136.6045,170.5316,6.243
skf,2,0,3,280.1665,138.5445,173.4236,24.9109
skf,2,0,4,268.646,137.296,107.6863,5.6154
skf,2,0,5,281.724,133.3085,173.8721,24.5905
skf,2,0,6,294.575,131.9315,174.1173,1.2586
skf,2,0,7,298.826,122.9965,112.2278,19.1652
skf,2,0,8,301.9915,113.8955,26.6403,1.0281
skf,2,0,9,304.731,112.859,165.8584,6.5979
skf,2,0,10,308.467,117.2435,84.0933,10.4364
skf,2,0,11,310.9885,125.45,56.6556,7.2207
skf,2,0,12,314.937,128.1775,171.6434,3.9702
skf,2,0,13,317.752,127.307,145.6316,2.062
skf,2,0,14,321.227,129.9865,51.1818,8.372
skf,2,0,15,324.003,136.98,87.6678,7.4702
skf,2,0,16,326.717,140.238,169.5181,5.211
skf,2,0,17,331.4045,143.7995,62.2241,9.1221
skf,2,0,18,319.071,148.4895,177.4082,28.9476
skf,2,0,19,301.826,147.912,23.8557,6.0925
skf,2,0,20,300.6485,142.958,113.3719,8.1094
skf,2,0,21,303.215,139.8135,31.0821,2.2372
skf,2,0,22,303.9335,138.241,83.6437,4.3266
skf,2,0,23,303.7585,134.2545,92.0114,3.6753
skf,2,0,24,303.8955,131.238,93.5156,2.3644
skf,2,0,25,303.9385,130.0575,0.9781,0.059
skf,2,0,26,304.1095,126.1425,92.9321,7.8393
skf,2,0,27,304.3655,121.954,101.4498,0.5591
skf,2,0,28,304.397,121.4595,83.7874,0.4436
skf,2,0,29,304.285,121.0985,57.941,0.3316
skf,2,0,30,304.0075,120.9465,3.4744,0.3797
skf,2,0,31,301.8155,125.4735,113.8083,9.9213
skf,2,0,32,300.3165,130.003,178.9757,1.0072
skf,2,0,33,302.3645,130.0255,1.1687,3.0896
skf,2,0,34,303.904,130.154,92.9537,0.1943
skf,3,0,0,292.0965,151.5635,103.2792,7.8756
skf,3,0,1,291.1935,155.3955,161.3898,0.0032
skf,3,0,2,291.165,155.523,103.1895,0.2629
skf,3,0,3,289.595,160.0795,109.1751,9.3773
skf,3,0,4,284.052,163.481,14.3895,8.2653
skf,3,0,5,272.6585,159.951,18.71,15.6057
skf,3,0,6,264.481,157.5125,175.3148,1.5793
skf,3,0,7,263.1805,157.8015,156.3852,1.1209
skf,3,0,8,262.2345,158.308,146.8946,1.0326
skf,3,0,9,262.505,156.386,107.6909,4.6268
skf,3,0,10,269.8835,156.2005,16.824,13.948
skf,3,0,11,276.9355,157.288,112.0184,2.0085
skf,3,0,12,275.738,155.6515,24.143,3.4498
skf,3,0,13,274.4035,154.5285,119.8413,0.9626
skf,3,0,14,279.7755,152.0255,157.8866,11.0801
skf,3,0,15,285.982,150.293,18.1946,2.261
skf,3,0,16,287.193,150.421,121.3377,0.5269
skf,3,0,17,288.0625,148.4415,112.6604,3.8025
skf,3,0,18,289.2865,146.801,13.0583,1.0091
skf,3,0,19,291.7485,141.909,111.4859,10.7597
skf,3,0,20,295.858,136.555,170.7596,4.3343
skf,3,0,21,295.499,141.969,113.4382,12.5603
skf,4,0,0,292.098,151.564,103.2597,7.8739
skf,4,0,1,293.518,147.845,12.3299,1.0584
skf,4,0,2,293.406,149.4945,112.2628,3.3205
skf,4,0,3,293.1875,150.55,130.4788,1.2647
skf,4,0,4,294.3165,149.844,162.6113,1.5058
skf,4,0,5,296.0615,149.7795,8.887,2.078
skf,4,0,6,298.0805,150.3895,24.3655,2.1791
skf,4,0,7,299.8255,151.32,32.5869,1.7862
skf,4,0,8,301.365,152.3145,33.1237,1.8794
skf,4,0,9,302.4945,152.924,15.6567,0.7114
skf,4,0,10,303.487,152.8275,163.5038,1.3558
skf,4,0,11,304.479,152.282,134.0931,0.983
skf,4,0,12,305.0265,151.544,118.091,0.8728
skf,4,0,13,305.3005,150.9025,104.9548,0.531
skf,4,0,14,305.266,150.261,75.0204,0.7971
skf,4,0,15,304.8875,149.51,53.0312,0.9162
skf,4,0,16,319.071,148.49,177.4102,28.9476
skf,4,0,17,340.6885,159.2705,57.9516,26.9809
skf,4,0,18,346.426,171.5965,147.8967,3.355
skf,4,0,19,339.633,173.5875,168.4329,10.9667
skf,4,0,20,328.7865,175.9385,167.1232,11.2315
skf,4,0,21,321.088,176.2595,22.7039,4.8216
skf,4,0,22,313.526,168.911,50.249,16.6955
skf,4,0,23,308.2565,161.37,93.4904,2.2501
skf,4,0,24,308.0515,159.7335,61.9597,1.1636
skf,4,0,25,307.299,158.9955,25.1118,1.058
skf,4,0,26,306.409,158.803,175.5483,0.8245
skf,4,0,27,305.5535,159.0275,156.5836,0.9688
skf,4,0,28,305.0065,159.7015,102.0187,0.9846
skf,4,0,29,302.44,159.3485,18.7099,5.2029
skf,4,0,30,300.3185,158.193,136.8559,0.9388
skf,4,0,31,297.821,156.043,32.7823,6.756
skf,4,0,32,293.9885,154.31,174.4748,1.9943
skf,4,0,33,292.4485,154.8235,142.6727,1.377
skf,5,0,0,200.2415,286.047,28.2559,2.8643
skf,5,0,1,198.087,284.6995,36.8599,2.2322
skf,5,0,2,196.5155,283.243,49.2344,2.0782
skf,5,0,3,194.891,280.999,57.0052,3.4743
skf,5,0,4,193.2305,278.219,61.6282,3.0072
skf,5,0,5,191.927,275.4055,68.4376,3.2053
skf,5,0,6,190.82,272.5755,68.8579,2.8724
skf,5,0,7,189.677,270.114,60.8803,2.5687
skf,5,0,8,188.338,267.5685,63.3625,3.185
skf,5,0,9,186.0525,264.032,53.3608,5.2667
skf,5,0,10,182.6955,260.06,46.1553,5.1551
skf,5,0,11,179.4105,256.9455,39.939,3.9114
skf,5,0,12,176.729,254.9195,33.0985,2.8219
skf,5,0,13,173.8985,253.193,30.1105,3.8113
skf,5,0,14,171.274,255.2865,107.7474,6.4038
skf,5,0,15,171.0655,258.52,13.482,1.5785
skf,5,0,16,178.1715,265.5195,47.0767,18.6148
skf,5,0,17,185.0635,273.189,57.0519,2.0354
skf,5,0,18,186.0455,276.1795,78.6592,4.3581
skf,5,0,19,187.2595,279.957,64.4206,3.6386
skf,5,0,20,189.063,283.39,60.4001,4.1219
skf,5,0,21,191.1165,286.4545,50.8631,3.2812
skf,5,0,22,193.445,288.7425,38.1452,3.2882
skf,6,0,0,261.0815,138.5955,106.17,6.4814
skf,6,0,1,260.4335,135.7995,168.4629,3.1649
skf,6,0,2,240.957,138.6535,171.9431,36.2094
skf,6,0,3,220.769,139.918,29.3697,5.1912
skf,6,0,4,216.8385,140.74,128.5345,5.3565
skf,6,0,5,210.256,144.214,164.3245,10.2077
skf,6,0,6,198.64,146.1765,175.0242,13.4547
skf,6,0,7,191.627,146.654,18.8212,0.6571
skf,6,0,8,191.0615,146.2295,51.3727,0.8154
skf,6,0,9,190.5525,145.5665,53.5453,0.8566
skf,6,0,10,189.686,144.882,29.0541,1.4002
skf,6,0,11,189.013,148.628,90.8552,8.1729
skf,6,0,12,189.2575,152.6805,173.7405,0.6147
skf,6,0,13,189.959,152.3285,141.1905,1.0164
skf,6,0,14,190.8355,151.7185,148.7561,1.124
skf,6,0,15,191.797,151.2415,158.9106,1.0311
skf,6,0,16,192.674,150.95,165.014,0.8199
