airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
skx,0,0,0,205.495,414.565,124.8343,2.0833
skx,0,0,1,205.375,413.23,33.8742,1.7224
skx,0,0,2,204.045,412.335,34.0115,1.4838
skx,0,0,3,202.495,411.285,34.1823,2.2605
skx,0,0,4,200.935,411.63,122.5278,2.3247
skx,0,0,5,200.515,412.75,34.3299,0.4965
skx,0,0,6,200.765,413.045,73.8113,0.3228
skx,0,0,7,200.835,413.36,81.119,0.3239
skx,0,0,8,200.87,413.68,86.4255,0.3206
skx,0,0,9,202.07,414.635,33.7455,2.8623
skx,0,0,10,203.295,415.385,127.873,0.114
skx,0,0,11,203.43,415.275,146.9767,0.2386
skx,0,0,12,203.64,415.165,157.7519,0.2377
skx,0,0,13,203.865,415.1,170.1356,0.2334
skx,0,0,14,204.08,415.08,0.0,0.2
skx,0,0,15,204.28,415.105,14.0373,0.2062
skx,0,0,16,204.48,415.17,21.7984,0.2154
skx,0,0,17,204.67,415.27,33.6912,0.2163
skx,0,0,18,204.83,415.375,32.7343,0.1664
skx,1,0,0,205.495,414.565,124.8343,2.0833
skx,1,0,1,210.235,419.03,34.0847,12.8832
skx,1,0,2,216.17,421.775,124.7468,2.1054
skx,2,0,0,186.35,399.01,34.0773,4.1049
skx,2,0,1,188.49,398.865,108.7663,2.7354
skx,2,0,2,189.15,397.245,124.0948,0.7849
skx,2,0,3,189.52,396.73,128.2901,0.4842
skx,2,0,4,189.835,396.365,133.3162,0.481
skx,2,0,5,190.57,395.6,134.012,1.6407
skx,2,0,6,191.86,394.94,174.447,1.4468
skx,2,0,7,191.955,394.45,33.901,1.506
skx,2,0,8,191.175,393.925,34.1136,0.3744
skx,2,0,9,190.83,393.695,33.3414,0.4549
skx,2,0,10,190.4,393.41,33.6901,0.5769
skx,2,0,11,190.055,393.175,35.5377,0.2581
skx,2,0,12,189.49,392.795,33.5462,1.1039
skx,2,0,13,188.2,391.93,34.0077,2.0025
skx,2,0,14,187.395,391.415,60.947,0.103
skx,2,0,15,187.785,392.155,62.2926,1.57
skx,2,0,16,187.89,393.6,109.1199,1.5876
skx,2,0,17,187.575,394.49,111.4479,0.3008
skx,2,0,18,187.46,394.765,113.9625,0.2955
skx,2,0,19,186.965,395.54,124.203,1.5477
skx,3,0,0,188.575,400.87,51.3921,1.7148
