airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ssf,0,0,0,93.725,335.055,80.8293,8.7215
ssf,0,0,1,95.755,339.14,170.642,2.706
ssf,0,0,2,96.395,334.515,81.0341,8.919
ssf,1,0,0,127.265,324.0,24.9737,2.4159
ssf,1,0,1,129.84,324.98,17.6183,3.1057
ssf,1,0,2,131.605,326.025,63.6342,1.2835
ssf,1,0,3,132.105,327.285,72.5751,1.4359
ssf,1,0,4,132.285,328.655,92.9247,1.3718
ssf,1,0,5,132.145,329.7,106.2607,0.75
ssf,1,0,6,131.245,330.995,130.3734,2.4546
ssf,1,0,7,134.955,330.705,164.7879,9.3372
ssf,1,0,8,138.415,328.94,27.3272,2.3525
ssf,1,0,9,136.47,327.79,34.1285,2.1745
ssf,1,0,10,134.885,326.565,41.9182,1.8411
ssf,1,0,11,134.38,324.835,99.1705,2.2589
ssf,1,0,12,135.695,322.38,130.2649,3.5122
ssf,2,0,0,197.725,307.935,21.602,1.6026
ssf,2,0,1,199.77,308.59,15.4787,2.6978
ssf,2,0,2,201.5,309.38,45.0005,1.2162
ssf,2,0,3,203.155,311.0,44.1694,3.4157
ssf,2,0,4,204.055,312.765,119.4751,1.321
ssf,2,0,5,203.37,314.1,115.3464,1.6819
ssf,2,0,6,202.075,315.505,145.4003,2.2718
ssf,2,0,7,207.3,314.565,165.5704,12.7213
ssf,2,0,8,212.125,312.8,7.6787,2.6942
ssf,2,0,9,209.495,312.045,23.9424,2.8338
ssf,2,0,10,206.65,309.705,48.7108,4.698
ssf,2,0,11,205.1,307.4,90.0,1.08
ssf,2,0,12,205.365,306.35,117.4569,1.1495
ssf,3,0,0,227.93,301.215,14.0356,1.3606
ssf,3,0,1,229.165,301.49,10.8302,1.1708
ssf,3,0,2,230.425,301.96,27.7242,1.5477
ssf,3,0,3,232.05,303.04,37.4506,2.3681
ssf,3,0,4,233.385,304.37,57.0755,1.4534
ssf,3,0,5,233.815,305.56,86.5463,1.1621
ssf,3,0,6,233.74,306.535,105.5614,0.8201
ssf,3,0,7,233.165,307.865,116.4426,2.0885
ssf,3,0,8,237.105,307.36,161.8974,9.2688
ssf,3,0,9,240.79,305.74,14.0357,1.4843
ssf,3,0,10,239.555,305.27,29.3849,1.1821
ssf,3,0,11,238.535,304.66,32.36,1.1957
ssf,3,0,12,237.38,303.76,41.7431,1.7423
ssf,3,0,13,236.445,302.64,62.176,1.2212
ssf,3,0,14,236.16,301.705,90.0,0.79
ssf,3,0,15,236.485,300.77,121.0411,1.2605
ssf,3,0,16,237.275,299.795,136.9096,1.2735
ssf,3,0,17,238.75,298.93,156.9389,2.1954
ssf,3,0,18,240.325,298.115,145.7279,1.3674
ssf,4,0,0,312.975,288.835,93.6206,0.7916
ssf,4,0,1,312.765,289.615,115.6671,0.8543
ssf,4,0,2,312.255,290.28,139.2537,0.858
ssf,4,0,3,311.56,290.685,161.3329,0.7811
ssf,4,0,4,304.73,292.17,168.1113,13.2032
ssf,4,0,5,298.425,295.365,85.1718,3.6831
