airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
stj,0,path,,UNLABELED,225.49,122.19,225.53,121.31,0.04,0.88,0.0352,0.0154,1.7629,225.51,121.75,0.0454,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.2368,597.7544,90.6507,0.8801,0.0,594.0,387.36,0.0,0.0154
stj,1,path,,UNLABELED,205.39,132.16,225.56,109.07,20.17,23.09,465.7252,113.4576,68.8765,215.475,120.615,0.8735,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.8807,10.0711,134.6471,28.702,0.0,594.0,387.36,0.0,161.1676
stj,2,path,,UNLABELED,225.23,518.46,233.1,510.59,7.87,7.87,61.9369,61.3473,31.3307,229.165,514.525,1.0,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.2117,1.3844,90.0728,7.87,0.0,594.0,387.36,0.0,61.3473
stj,3,path,,UNLABELED,225.29,90.2,232.97,85.05,7.68,5.15,39.5519,39.2448,25.5802,229.13,87.625,1.4913,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,10.3664,2.4141,179.7015,7.6801,0.0,594.0,387.36,0.0,39.2448
stj,4,path,,UNLABELED,33.52,232.93,225.49,91.2,191.97,141.73,27207.9045,1166.6793,581.2904,129.505,162.065,1.3545,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,155.4839,22.3724,158.6903,173.7708,0.0,594.0,387.36,0.0,9460.8781
stj,5,path,,UNLABELED,39.86,381.29,224.34,301.7,184.48,79.59,14682.7634,604.3828,411.636,132.1,341.495,2.3179,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,21.407,385.2827,20.0165,196.2656,0.0,594.0,387.36,0.0,1795.5848
stj,6,path,,UNLABELED,105.52,361.91,224.34,239.99,118.82,121.92,14486.536,875.0715,349.0126,164.93,300.95,0.9746,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,45.1717,373.8622,45.3458,114.8221,0.0,594.0,387.36,0.0,1303.3875
stj,7,compound,,UNLABELED,232.68,510.56,304.68,90.21,72.0,420.35,30265.1929,6826.8404,1609.6654,268.68,300.385,0.1713,290,4,0,1,rgb,207,207,207,0,none,,,,0.0,92.7146,30.511,89.9137,132.8301,0.0,594.0,387.36,0.0,24031.2024
stj,8,path,,UNLABELED,104.66,243.95,225.78,217.16,121.12,26.79,3244.8057,531.9947,293.8264,165.22,230.555,4.5211,35,1,0,1,rgb,207,207,207,0,none,,,,0.0,2.3112,60.8512,178.4584,61.7023,0.0,594.0,387.36,0.0,1941.9058
stj,9,path,,UNLABELED,33.75,313.28,41.08,304.01,7.33,9.27,67.949,27.3671,24.7035,37.415,308.645,0.7907,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.4556,8.3586,134.191,10.5157,0.0,594.0,387.36,0.0,29.1668
stj,10,compound,,UNLABELED,157.18,387.54,160.33,382.69,3.15,4.85,15.2776,5.7379,22.4422,158.755,385.115,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0142,2.631,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1896
