airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
swo,0,0,0,206.13,206.585,90.4235,5.4102
swo,0,0,1,205.865,203.8,15.6801,0.592
swo,0,0,2,205.225,202.415,74.7818,2.7048
swo,0,0,3,203.065,201.1,0.3177,3.6101
swo,0,0,4,201.24,203.575,90.461,4.9702
swo,0,0,5,201.215,206.94,90.3254,1.76
swo,0,0,6,201.205,208.18,90.7965,0.7201
swo,0,0,7,201.165,210.19,91.215,3.3007
swo,0,0,8,202.96,211.875,1.0958,3.6607
swo,0,0,9,205.135,210.78,106.9779,2.363
swo,0,0,10,205.52,209.5,104.9323,0.3105
swo,0,0,11,205.835,209.32,173.7745,0.5533
swo,1,0,0,200.575,428.615,0.616,2.7902
swo,1,0,1,202.195,402.325,90.4901,52.6119
swo,1,0,2,202.425,375.725,90.9705,0.5901
swo,1,0,3,200.595,375.415,0.4683,3.6701
swo,1,0,4,199.045,376.525,75.7843,2.3211
swo,1,0,5,199.39,381.415,89.0869,7.531
swo,1,0,6,199.525,386.58,86.9336,2.804
swo,1,0,7,199.44,406.355,90.4989,36.7514
swo,1,0,8,199.235,426.645,91.3463,3.8311
swo,2,0,0,206.855,237.265,168.3404,0.6433
swo,2,0,1,206.43,237.345,172.2352,0.222
swo,2,0,2,206.215,237.36,0.0,0.21
swo,2,0,3,206.045,240.395,91.2269,6.0714
swo,2,0,4,206.055,243.335,128.2915,0.2421
swo,2,0,5,206.21,243.155,133.26,0.2335
swo,2,0,6,206.315,243.055,149.0388,0.0583
swo,2,0,7,206.37,243.03,161.5738,0.0632
swo,2,0,8,206.435,243.02,0.0,0.07
swo,2,0,9,206.5,243.02,0.0,0.06
swo,2,0,10,206.56,243.03,18.4262,0.0632
swo,2,0,11,206.62,243.05,18.4262,0.0632
swo,2,0,12,206.675,243.08,38.6641,0.064
swo,2,0,13,206.72,243.12,45.0,0.0566
swo,2,0,14,206.985,243.345,39.9212,0.6389
swo,2,0,15,207.22,242.44,89.4837,2.2201
swo,2,0,16,207.19,239.445,89.3922,3.7702
swo,3,0,0,204.215,191.04,89.8116,3.04
swo,3,0,1,204.2,187.23,89.7497,4.58
swo,3,0,2,204.185,183.53,89.7969,2.82
swo,3,0,3,202.78,182.125,179.7952,2.8
swo,3,0,4,201.38,182.24,90.0,0.22
swo,3,0,5,201.305,182.655,103.8162,0.6282
swo,3,0,6,201.12,183.245,111.1047,0.611
swo,3,0,7,200.865,183.79,119.148,0.5954
swo,3,0,8,200.54,184.28,128.0458,0.5841
swo,3,0,9,200.155,184.7,137.1769,0.559
swo,3,0,10,199.725,185.04,146.3081,0.5408
swo,3,0,11,199.255,185.29,157.7986,0.5292
swo,3,0,12,198.435,185.395,179.5013,1.15
swo,3,0,13,197.87,186.82,89.5964,2.8401
swo,3,0,14,198.08,188.25,2.8652,0.4005
swo,3,0,15,198.55,188.295,7.3835,0.5445
swo,3,0,16,199.075,188.415,18.4365,0.5376
swo,3,0,17,199.575,188.635,28.8544,0.5595
swo,3,0,18,200.04,188.955,40.0612,0.5749
swo,3,0,19,200.46,189.36,47.7258,0.5947
swo,3,0,20,200.83,189.835,56.3107,0.6129
swo,3,0,21,201.13,190.375,65.4811,0.6265
swo,3,0,22,201.3,190.87,79.215,0.4275
swo,3,0,23,201.35,191.295,87.3366,0.4305
swo,3,0,24,201.34,191.725,95.3137,0.4318
swo,3,0,25,201.32,192.255,90.0,0.63
swo,4,0,0,197.87,186.82,89.5964,2.8401
swo,4,0,1,197.23,185.405,179.5448,1.26
swo,4,0,2,195.69,185.42,179.3707,1.8201
swo,4,0,3,194.79,186.795,89.5802,2.7301
swo,4,0,4,196.305,188.2,1.5222,3.0111
swo,5,0,0,193.025,370.065,89.4807,3.3101
swo,5,0,1,191.865,368.42,179.4995,2.2901
swo,5,0,2,189.335,368.405,1.0342,2.7704
swo,5,0,3,186.645,368.36,0.8782,2.6103
swo,5,0,4,185.185,368.335,1.8466,0.3102
swo,5,0,5,184.73,368.29,7.5947,0.6053
swo,5,0,6,184.14,368.165,16.3358,0.6044
swo,5,0,7,183.565,367.945,25.3468,0.6307
swo,5,0,8,183.02,367.635,33.9427,0.6268
swo,5,0,9,182.515,367.24,41.9224,0.6586
swo,5,0,10,182.24,370.285,90.5264,6.5303
swo,5,0,11,182.295,373.41,121.2636,0.3276
swo,5,0,12,182.485,373.155,132.3989,0.3114
swo,5,0,13,182.825,372.865,143.3252,0.586
swo,5,0,14,183.355,372.535,152.2815,0.6665
swo,5,0,15,183.955,372.265,159.3402,0.6519
swo,5,0,16,184.57,372.08,167.2756,0.6356
swo,5,0,17,185.2,371.985,175.5339,0.6419
swo,5,0,18,186.145,371.865,171.3571,1.2644
swo,5,0,19,189.325,371.75,179.5514,5.1102
swo,5,0,20,192.46,371.725,179.5064,1.16
swo,6,0,0,277.08,296.965,45.6444,0.6294
swo,6,0,1,276.845,296.685,74.7435,0.114
swo,6,0,2,276.815,296.57,75.9638,0.1237
swo,6,0,3,276.795,296.45,85.2315,0.1204
swo,6,0,4,276.795,296.33,94.7673,0.1204
swo,6,0,5,276.81,296.21,99.4576,0.1216
swo,6,0,6,276.84,296.095,109.9895,0.117
swo,6,0,7,276.885,295.985,114.4356,0.1208
swo,6,0,8,276.945,295.885,127.879,0.114
swo,6,0,9,276.775,295.625,46.3632,0.5941
swo,6,0,10,276.025,294.86,45.2619,1.5486
swo,6,0,11,275.35,294.345,164.9289,0.2692
swo,6,0,12,275.09,294.39,175.6039,0.2608
swo,6,0,13,274.83,294.38,8.7411,0.2631
swo,6,0,14,274.575,294.31,21.8026,0.2693
swo,6,0,15,273.47,295.22,135.5908,2.7437
swo,6,0,16,273.92,297.635,45.4967,4.0802
swo,7,0,0,177.69,263.985,90.5243,4.3702
swo,7,0,1,177.16,261.925,167.1956,1.128
swo,7,0,2,175.91,262.295,160.7104,1.4833
swo,7,0,3,174.525,262.845,155.9981,1.4997
swo,7,0,4,173.175,263.505,151.9055,1.5076
swo,7,0,5,151.99,279.395,142.8719,51.4745
swo,7,0,6,119.895,303.67,142.9445,29.0081
swo,7,0,7,109.31,313.465,46.8208,2.8935
swo,7,0,8,115.56,310.475,142.4393,13.271
swo,7,0,9,126.94,301.775,142.7426,15.3783
swo,7,0,10,153.08,282.03,142.993,50.1402
swo,7,0,11,173.36,266.74,142.4321,0.656
swo,7,0,12,174.315,266.31,161.6891,1.4641
swo,7,0,13,175.705,265.845,161.318,1.4673
swo,7,0,14,176.47,265.6,171.8743,0.1414
swo,7,0,15,177.04,265.835,26.1044,1.1136
swo,8,0,0,199.95,500.38,0.4121,2.7801
swo,8,0,1,198.56,500.7,90.0,0.66
swo,8,0,2,198.56,501.17,90.0,0.28
swo,8,0,3,198.475,501.865,98.7073,1.1229
swo,8,0,4,198.255,502.955,104.1624,1.1035
swo,8,0,5,197.93,504.005,110.2509,1.0979
swo,8,0,6,197.5,504.995,116.8055,1.0644
swo,8,0,7,196.98,505.91,122.4712,1.0431
swo,8,0,8,196.375,506.745,129.4467,1.023
swo,8,0,9,195.685,507.48,137.0313,0.9977
swo,8,0,10,194.925,508.105,144.1886,0.9742
swo,8,0,11,194.115,508.61,152.0709,0.9394
swo,8,0,12,193.26,508.99,160.017,0.9364
swo,8,0,13,192.37,509.24,168.69,0.9178
swo,8,0,14,191.915,510.71,90.2075,2.76
swo,8,0,15,196.29,512.105,0.1962,8.76
swo,8,0,16,200.95,512.12,0.0,0.56
swo,8,0,17,201.28,507.09,90.5696,10.0605
swo,9,0,0,207.49,207.7,89.2099,2.9003
swo,9,0,1,207.46,205.235,89.4354,2.0301
swo,9,0,2,206.8,204.05,14.6566,1.3437
swo,9,0,3,206.13,206.585,90.4235,5.4102
swo,10,0,0,94.365,308.49,45.0859,14.1492
swo,10,0,1,89.255,303.395,36.471,0.286
swo,10,0,2,89.045,303.2,49.1847,0.2907
swo,10,0,3,88.865,302.965,55.7846,0.3023
swo,10,0,4,88.71,302.705,62.5916,0.3041
swo,10,0,5,88.595,302.415,73.8113,0.3228
swo,10,0,6,88.52,302.105,79.0449,0.3158
swo,10,0,7,88.485,301.785,88.2653,0.3302
swo,10,0,8,88.495,301.46,95.3555,0.3214
swo,10,0,9,88.545,301.145,102.7244,0.3178
swo,10,0,10,88.635,300.84,110.1372,0.3195
swo,10,0,11,88.765,300.555,119.0546,0.3089
swo,10,0,12,88.93,300.305,128.0469,0.2921
swo,10,0,13,87.33,301.885,134.9155,4.7871
swo,10,0,14,91.5,309.465,45.122,16.61
swo,11,0,0,207.38,160.205,13.6141,1.317
swo,11,0,1,206.72,162.83,90.4123,5.5601
swo,11,0,2,207.34,165.455,166.3861,1.317
swo,12,0,0,195.475,113.575,90.2038,2.81
swo,12,0,1,195.615,114.985,1.9769,0.2902
swo,12,0,2,198.03,115.6,15.0413,4.7011
swo,12,0,3,200.725,117.76,74.6669,3.2144
swo,12,0,4,203.505,119.4,2.1885,4.7134
swo,12,0,5,205.45,117.825,76.1663,3.4295
swo,12,0,6,204.995,114.21,88.6781,3.901
swo,13,0,0,203.475,157.705,0.4658,3.6901
swo,13,0,1,205.115,156.95,75.0917,1.5937
swo,13,0,2,204.695,150.96,87.6415,10.4489
swo,13,0,3,204.48,145.51,90.0,0.46
swo,13,0,4,204.48,142.785,90.0,4.99
swo,13,0,5,204.655,136.73,92.8142,7.1286
swo,13,0,6,204.865,132.385,92.5532,1.5716
swo,13,0,7,204.955,131.045,95.6594,1.1155
swo,13,0,8,205.13,130.07,105.9448,0.8736
swo,13,0,9,203.525,129.605,1.4943,3.4512
swo,13,0,10,201.81,129.935,88.4721,0.7503
swo,13,0,11,201.825,131.875,89.817,3.13
swo,13,0,12,201.74,144.3,90.4748,21.7207
swo,14,0,0,260.855,276.36,44.856,2.8072
swo,14,0,1,259.875,275.465,81.0278,0.1924
swo,14,0,2,259.895,275.655,86.9935,0.1903
swo,14,0,3,259.895,275.845,93.0065,0.1903
swo,14,0,4,259.87,276.035,101.891,0.1942
swo,14,0,5,259.82,276.22,108.4349,0.1897
swo,14,0,6,259.75,276.39,116.5694,0.1789
swo,14,0,7,259.46,276.75,131.7604,0.7507
swo,14,0,8,259.175,277.04,164.0348,0.0728
swo,14,0,9,259.57,277.495,45.9821,1.2376
swo,14,0,10,260.01,277.92,116.5825,0.0447
swo,14,0,11,260.35,277.585,136.3322,0.9124
swo,14,0,12,260.825,277.235,166.4286,0.2983
swo,14,0,13,261.12,277.195,178.0891,0.3002
swo,14,0,14,261.42,277.215,9.4661,0.3041
swo,15,0,0,261.125,280.59,45.2049,1.9728
swo,15,0,1,259.41,280.875,135.9997,2.8359
swo,15,0,2,259.085,282.56,45.2056,1.9728
swo,16,0,0,193.915,294.435,90.4982,3.4501
swo,16,0,1,193.12,292.7,0.7069,1.6201
swo,16,0,2,189.82,292.67,0.4603,4.9802
swo,16,0,3,185.79,292.175,17.1417,3.2232
swo,16,0,4,184.06,291.515,44.2354,0.5304
swo,16,0,5,183.405,291.33,0.0,0.93
swo,16,0,6,182.91,294.395,90.5608,6.1303
swo,16,0,7,183.425,297.465,0.5261,1.0901
swo,16,0,8,184.04,297.27,109.2902,0.4238
swo,16,0,9,185.795,296.61,164.7303,3.4933
swo,17,0,0,255.4,274.87,50.8266,0.6966
swo,17,0,1,254.98,274.31,55.4075,0.7045
swo,17,0,2,254.745,273.88,75.9623,0.2886
swo,17,0,3,254.745,273.56,101.0042,0.3668
swo,17,0,4,254.845,273.245,115.7091,0.2997
swo,17,0,5,254.99,272.99,123.6917,0.2884
swo,17,0,6,254.65,272.435,46.0061,1.2094
swo,17,0,7,254.09,272.08,150.2544,0.3225
swo,17,0,8,253.8,272.215,159.8612,0.3195
swo,17,0,9,253.5,272.29,172.4038,0.3027
swo,17,0,10,253.195,272.305,1.8494,0.3102
swo,17,0,11,252.96,272.27,20.5548,0.1709
swo,17,0,12,252.8,272.19,32.0088,0.1887
swo,17,0,13,252.65,272.08,40.6003,0.1844
swo,17,0,14,252.215,271.65,45.389,1.0395
swo,17,0,15,250.865,272.225,136.1876,2.73
swo,17,0,16,250.54,273.85,45.8553,1.8953
swo,17,0,17,251.47,274.805,45.5254,0.7708
swo,17,0,18,252.695,276.06,45.74,2.7367
swo,18,0,0,282.26,302.14,45.7844,1.0325
swo,18,0,1,281.935,301.285,94.128,0.9725
swo,18,0,2,281.02,299.915,42.9717,2.5967
swo,18,0,3,279.865,299.03,0.0,0.41
swo,18,0,4,279.46,299.0,8.5306,0.4045
swo,18,0,5,279.06,298.9,19.2869,0.4238
swo,18,0,6,278.805,298.77,47.4922,0.1628
swo,18,0,7,277.79,299.65,135.6037,2.6871
swo,18,0,8,277.98,301.76,45.494,3.2811
swo,18,0,9,279.88,303.69,45.3792,2.1355
swo,19,0,0,314.375,334.915,45.0,0.4384
swo,19,0,1,314.255,334.165,93.3668,1.1921
swo,19,0,2,314.3,333.505,98.7411,0.1315
swo,19,0,3,313.525,332.695,43.5021,2.1645
swo,19,0,4,312.175,331.995,175.4464,1.1336
swo,19,0,5,311.315,331.735,45.9558,0.8487
swo,19,0,6,310.04,332.385,135.74,2.7367
swo,19,0,7,310.83,335.14,45.4814,5.0489
swo,20,0,0,305.88,326.205,45.4699,14.6588
swo,20,0,1,291.68,311.745,45.5481,25.8742
swo,20,0,2,281.625,303.48,135.7287,2.7791
swo,20,0,3,294.845,318.895,45.4598,40.5327
swo,21,0,0,201.24,290.035,0.4499,3.8201
swo,21,0,1,199.105,290.775,106.5945,1.5756
swo,21,0,2,198.79,291.555,164.4789,0.1868
swo,21,0,3,197.595,291.93,162.4246,2.3182
swo,21,0,4,196.47,294.52,90.5115,4.4802
swo,21,0,5,197.635,297.15,18.2171,2.4951
swo,21,0,6,198.99,298.29,77.2289,1.538
swo,21,0,7,201.12,299.055,0.4385,3.9201
swo,21,0,8,203.1,296.3,90.4138,5.5401
swo,22,0,0,208.14,254.45,27.9506,1.1094
swo,22,0,1,204.58,250.625,45.2465,11.5047
swo,22,0,2,200.46,247.925,92.8934,2.7735
swo,22,0,3,199.8,251.0,109.2448,3.5801
swo,22,0,4,199.185,252.77,107.3546,0.1676
swo,22,0,5,199.13,252.93,110.5548,0.1709
swo,22,0,6,199.005,253.15,124.1602,0.3384
swo,22,0,7,198.8,253.405,133.7296,0.3183
swo,22,0,8,198.57,253.61,143.1254,0.3
swo,22,0,9,198.315,253.765,154.2896,0.2997
swo,22,0,10,198.04,253.87,164.0571,0.2912
swo,22,0,11,197.755,253.92,176.0569,0.2907
swo,22,0,12,197.465,253.91,7.8488,0.2928
swo,22,0,13,197.18,253.84,19.655,0.2973
swo,22,0,14,195.65,253.035,28.5094,3.1636
swo,22,0,15,194.305,252.33,48.0157,0.1345
swo,22,0,16,199.435,257.55,45.4749,14.5033
swo,22,0,17,204.735,262.94,45.6582,0.6152
swo,22,0,18,204.765,262.85,59.1714,0.722
swo,22,0,19,204.43,262.205,65.8803,0.7341
swo,22,0,20,204.165,261.515,72.0496,0.7463
swo,22,0,21,203.975,260.79,78.5416,0.755
swo,22,0,22,203.865,260.04,84.7371,0.7632
swo,22,0,23,203.835,259.28,90.7546,0.7601
swo,22,0,24,203.94,258.46,102.804,0.9024
swo,22,0,25,204.44,256.64,106.1647,2.8736
swo,22,0,26,204.905,255.09,110.9254,0.364
swo,22,0,27,205.055,254.76,117.9787,0.3624
swo,22,0,28,205.25,254.465,129.175,0.3483
swo,22,0,29,205.485,254.215,137.3846,0.3397
swo,22,0,30,205.745,254.015,147.8012,0.3191
swo,22,0,31,206.03,253.875,159.8664,0.3195
swo,22,0,32,206.33,253.795,170.5344,0.3041
swo,22,0,33,206.635,253.78,3.695,0.3106
swo,22,0,34,206.94,253.825,13.1352,0.3081
swo,22,0,35,207.235,253.93,25.7673,0.322
swo,23,0,0,255.835,271.28,46.5556,2.8648
swo,23,0,1,254.875,270.355,77.7335,0.2354
swo,23,0,2,254.905,270.585,87.5119,0.2302
swo,23,0,3,254.905,270.815,92.4884,0.2302
swo,23,0,4,254.88,271.045,99.8674,0.2335
swo,23,0,5,254.825,271.27,107.6482,0.2309
swo,23,0,6,254.725,271.485,121.7615,0.247
swo,23,0,7,254.58,271.68,131.6305,0.2409
swo,23,0,8,254.365,271.885,139.5752,0.3547
swo,23,0,9,254.65,272.435,46.0051,1.2093
swo,23,0,10,255.155,272.77,130.3668,0.2625
swo,23,0,11,255.34,272.59,141.3391,0.2561
swo,23,0,12,255.555,272.44,148.6699,0.2693
swo,23,0,13,255.78,272.325,157.7519,0.2377
swo,23,0,14,256.005,272.255,167.7371,0.2354
swo,23,0,15,256.24,272.225,177.6119,0.2402
swo,23,0,16,256.475,272.235,7.4317,0.2319
swo,24,0,0,274.365,294.215,27.8944,0.1924
swo,24,0,1,274.2,294.105,39.0996,0.2061
swo,24,0,2,274.05,293.97,44.9938,0.198
swo,24,0,3,269.41,289.215,45.712,13.0896
swo,24,0,4,263.86,285.475,136.0417,2.7228
swo,24,0,5,266.67,290.27,45.4498,10.8049
swo,24,0,6,271.475,295.15,45.4207,2.8922
swo,24,0,7,273.47,295.22,135.5903,2.7437
swo,25,0,0,204.175,181.29,89.655,1.66
swo,25,0,1,204.16,179.915,88.9486,1.0902
swo,25,0,2,204.35,174.835,92.5251,9.0788
swo,25,0,3,204.875,169.155,105.8466,2.3804
swo,25,0,4,203.375,167.995,0.4714,3.6501
swo,25,0,5,201.545,168.375,90.7248,0.7901
swo,25,0,6,201.46,175.45,90.6862,13.361
swo,26,0,0,109.31,313.465,46.8203,2.8935
swo,26,0,1,106.075,314.105,142.9469,5.626
swo,26,0,2,103.51,315.835,173.7574,0.6438
swo,26,0,3,102.87,315.855,2.6837,0.6407
swo,26,0,4,102.235,315.77,12.5301,0.6454
swo,26,0,5,101.61,315.575,21.9605,0.6685
swo,26,0,6,100.33,314.475,45.147,2.7506
swo,26,0,7,98.36,314.425,137.2316,2.7244
swo,26,0,8,98.59,316.585,45.1162,3.486
swo,26,0,9,100.065,318.075,46.1464,0.7073
swo,26,0,10,100.58,318.545,38.5297,0.6903
swo,26,0,11,101.14,318.925,29.6399,0.6673
swo,26,0,12,101.735,319.21,21.476,0.6555
swo,26,0,13,102.355,319.395,11.6596,0.6433
swo,26,0,14,102.99,319.47,1.7889,0.6403
swo,26,0,15,103.63,319.44,172.8762,0.645
swo,27,0,0,248.065,269.39,133.6948,2.7938
swo,27,0,1,246.145,265.42,45.7353,8.2668
swo,27,0,2,243.16,262.39,34.9894,0.2441
swo,27,0,3,241.715,263.665,135.0003,3.8042
swo,27,0,4,240.655,265.64,65.6594,1.3829
