airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
tiw,0,0,0,167.01,152.23,82.1021,92.134
tiw,0,0,1,160.53,105.96,76.8092,1.3147
tiw,0,0,2,160.1,104.69,66.0373,1.3788
tiw,0,0,3,158.875,102.965,49.2054,2.8928
tiw,0,0,4,156.63,101.24,25.8558,2.8892
tiw,0,0,5,154.645,100.5,9.1229,1.3876
tiw,0,0,6,153.31,100.415,177.7966,1.3009
tiw,0,0,7,150.19,100.74,173.0752,4.9763
tiw,0,0,8,147.56,101.105,157.8903,0.3454
tiw,0,0,9,147.285,101.3,131.4949,0.3471
tiw,0,0,10,144.52,106.525,117.4798,11.4859
tiw,0,0,11,140.555,111.785,172.8485,2.6506
tiw,0,0,12,140.07,118.685,82.9745,13.5719
tiw,0,0,13,141.31,128.71,82.8964,6.6309
tiw,0,0,14,141.71,130.49,89.6205,3.0201
tiw,0,0,15,142.05,127.47,103.05,3.1001
tiw,0,0,16,143.105,124.575,116.9774,3.1082
tiw,0,0,17,144.785,122.045,130.4152,3.0078
tiw,0,0,18,147.5,120.0,152.6499,3.918
tiw,0,0,19,151.2,119.235,3.9404,3.9293
tiw,0,0,20,154.02,119.815,27.3585,1.9366
tiw,0,0,21,155.62,120.945,42.7897,2.0167
tiw,0,0,22,156.885,122.49,58.5973,2.0152
tiw,0,0,23,157.67,124.285,74.4604,1.9409
tiw,0,0,24,162.725,159.775,82.0998,69.7722
tiw,0,0,25,167.555,195.1,87.3972,1.5416
tiw,0,0,26,167.47,196.675,98.4788,1.6278
tiw,0,0,27,166.605,199.02,115.8159,3.4215
tiw,0,0,28,164.555,201.665,139.7441,3.42
tiw,0,0,29,162.495,203.085,157.3532,1.6362
tiw,0,0,30,160.99,203.555,168.3234,1.5317
tiw,0,0,31,159.015,203.845,173.7114,2.4648
tiw,0,0,32,157.135,203.995,178.6882,1.3103
tiw,0,0,33,155.795,203.895,9.5294,1.3892
tiw,0,0,34,153.815,203.13,26.6537,2.898
tiw,0,0,35,151.585,201.37,49.8912,2.9026
tiw,0,0,36,150.38,199.625,66.965,1.38
tiw,0,0,37,149.97,198.35,77.661,1.3103
tiw,0,0,38,150.27,201.245,82.905,7.1246
tiw,0,0,39,151.005,207.195,83.0357,4.8659
tiw,0,0,40,151.745,213.225,82.9822,7.2846
tiw,0,0,41,152.185,216.8,82.8696,0.0806
tiw,0,0,42,152.18,216.72,90.0,0.08
tiw,0,0,43,152.175,216.635,83.663,0.0905
tiw,0,0,44,152.165,216.55,82.8804,0.0806
tiw,0,0,45,152.15,216.35,86.423,0.3206
tiw,0,0,46,152.145,215.85,90.8421,0.6801
tiw,0,0,47,152.265,214.815,99.396,1.4089
tiw,0,0,48,153.035,212.805,116.4778,2.9382
tiw,0,0,49,154.82,210.545,140.0945,2.9461
tiw,0,0,50,156.595,209.33,157.2863,1.3984
tiw,0,0,51,157.89,208.925,168.2661,1.3277
tiw,0,0,52,159.775,208.65,173.5326,2.4858
tiw,0,0,53,161.77,208.495,178.8694,1.5203
tiw,0,0,54,163.32,208.615,9.6981,1.6029
tiw,0,0,55,165.61,209.51,26.8696,3.3631
tiw,0,0,56,168.185,211.565,50.3034,3.3661
tiw,0,0,57,169.565,213.6,67.6005,1.6008
tiw,0,0,58,170.02,215.08,78.541,1.5101
tiw,0,0,59,173.715,247.37,83.5891,63.4971
tiw,0,0,60,177.27,279.575,89.1251,1.3102
tiw,0,0,61,177.165,280.91,99.5986,1.3793
tiw,0,0,62,176.4,282.89,116.5651,2.9069
tiw,0,0,63,174.64,285.125,139.8912,2.9026
tiw,0,0,64,172.89,286.33,157.1272,1.3892
tiw,0,0,65,171.61,286.735,168.0879,1.3082
