airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
tmb,0,path,,UNLABELED,292.09,96.21,303.38,84.65,11.29,11.56,130.5121,120.1462,38.4272,297.735,90.43,0.9766,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,112.9113,1.3664,92.5276,11.1108,0.0,594.0,387.36,0.0,120.1462
tmb,1,path,,UNLABELED,244.89,227.23,293.48,94.82,48.59,132.41,6433.8016,671.5028,348.2281,269.185,161.025,0.367,46,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.1607,54.9786,92.6798,99.0283,0.0,594.0,387.36,0.0,2902.1862
tmb,2,path,,UNLABELED,259.78,247.67,287.77,104.16,27.99,143.51,4016.8482,496.2697,360.2746,273.775,175.915,0.195,42,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.5,56.9445,92.6169,61.5442,0.0,594.0,387.36,0.0,2427.7871
tmb,3,path,,UNLABELED,274.06,163.97,290.96,144.35,16.9,19.62,331.5778,169.9561,62.1093,282.51,154.16,0.8614,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.0299,1.7324,92.4515,19.638,0.0,594.0,387.36,0.0,272.5034
tmb,4,path,,UNLABELED,263.51,213.97,269.96,194.36,6.45,19.61,126.4848,27.6523,40.6963,266.735,204.165,0.3289,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.0279,19.0023,92.6146,15.1258,0.0,594.0,387.36,0.0,50.6848
tmb,5,path,,UNLABELED,264.73,364.41,281.6,349.64,16.87,14.77,249.1699,76.9562,67.323,273.165,357.025,1.1422,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.9346,2.4731,92.6747,14.7861,0.0,594.0,387.36,0.0,212.0765
tmb,6,path,,UNLABELED,262.06,423.18,278.96,405.52,16.9,17.66,298.454,166.858,67.5486,270.51,414.35,0.957,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.7625,1.519,92.4318,17.6759,0.0,594.0,387.36,0.0,250.8684
tmb,7,path,,UNLABELED,124.68,469.17,264.33,188.37,139.65,280.8,39213.7166,5386.9024,1801.4646,194.505,328.77,0.4973,676,1,0,1,rgb,207,207,207,0,none,,,,0.0,78.4625,15.0311,162.8128,34.4169,0.0,594.0,387.36,0.0,19746.4341
tmb,8,path,,UNLABELED,129.27,465.68,283.57,103.93,154.3,361.75,55818.0285,1537.8192,941.2515,206.42,284.805,0.4265,113,1,0,1,rgb,207,207,207,0,none,,,,0.0,72.9674,17.2352,52.6979,69.206,0.0,594.0,387.36,0.0,20067.9458
tmb,9,path,,UNLABELED,201.66,482.95,247.72,465.68,46.06,17.27,795.4564,272.6605,186.3483,224.69,474.315,2.6671,54,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.9392,18.7506,2.499,36.9251,0.0,594.0,387.36,0.0,563.7976
