airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
top,0,path,,UNLABELED,155.64,484.2,166.62,435.26,10.98,48.94,537.3609,462.8458,67.691,161.13,459.73,0.2244,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.2638,26.1973,88.2693,48.6722,0.0,594.0,387.36,0.0,462.8458
top,1,path,,UNLABELED,140.2,281.17,153.57,277.64,13.37,3.53,47.1961,37.5871,28.6446,146.885,279.405,3.7875,5,1,0,0,none,,,,1,rgb,207,207,207,0.39,3.7702,17.3805,179.8647,12.7,0.0,594.0,387.36,0.0,41.152
top,2,path,,UNLABELED,100.52,286.8,108.56,277.38,8.04,9.42,75.7369,6.0244,12.8793,104.54,282.09,0.8535,4,1,0,0,none,,,,1,rgb,207,207,207,0.39,48.7369,508.91,49.3455,11.6654,0.0,594.0,387.36,0.0,6.0244
top,3,path,,UNLABELED,117.43,247.64,122.55,241.94,5.12,5.7,29.1841,0.0,7.6619,119.99,244.79,0.8982,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,131.9316,1000000.0,131.9316,7.6619,0.0,594.0,387.36,0.0,0.0
top,4,path,,UNLABELED,140.12,282.58,141.4,281.17,1.28,1.41,1.8048,0.0,1.9043,140.76,281.875,0.9078,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,132.2331,1000000.0,132.2331,1.9043,0.0,594.0,387.36,0.0,0.0
top,5,compound,,UNLABELED,69.88,463.0,155.31,159.72,85.43,303.28,25909.2091,3943.8566,2150.9166,112.595,311.36,0.2817,1552,10,0,1,rgb,207,207,207,0,none,,,,0.0,99.6007,7.4699,88.3728,88.7458,0.0,594.0,387.36,0.0,19078.0113
top,6,path,,UNLABELED,159.83,347.67,339.41,222.01,179.58,125.66,22566.0209,574.7099,515.2273,249.62,284.84,1.4291,54,1,0,1,rgb,207,207,207,0,none,,,,0.0,143.8019,45.473,135.6219,118.5605,0.0,594.0,387.36,0.0,6828.87
top,7,compound,,UNLABELED,240.58,441.91,243.73,437.06,3.15,4.85,15.2776,5.7225,22.4447,242.155,439.485,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0119,2.6302,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1857
top,8,path,,UNLABELED,244.46,437.74,245.14,437.06,0.68,0.68,0.4624,0.353,2.1208,244.8,437.4,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.5045,1.0976,12.0943,0.1432,0.0,594.0,387.36,0.0,0.353
top,9,path,,UNLABELED,246.45,441.74,247.77,437.14,1.32,4.6,6.072,2.6775,11.6121,247.11,439.44,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2992,22.6556,90.0,4.6,0.0,594.0,387.36,0.0,4.3339
