airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
tpa,0,0,0,149.89,385.795,87.6867,0.9908
tpa,0,0,1,149.835,383.685,88.7584,3.2308
tpa,0,0,2,148.815,382.395,161.7399,2.0745
tpa,0,0,3,141.42,383.18,175.8953,12.853
tpa,0,0,4,127.155,383.875,178.2864,15.717
tpa,0,0,5,115.82,384.165,179.0947,6.9609
tpa,0,0,6,107.32,384.17,0.5706,10.0405
tpa,0,0,7,101.205,383.84,14.3435,2.2605
tpa,0,0,8,100.095,385.16,90.5371,3.2001
tpa,0,0,9,118.67,386.225,178.3515,37.1954
tpa,0,0,10,142.54,385.74,0.5426,10.5605
tpa,1,0,0,158.02,386.51,162.2994,0.9867
tpa,1,0,1,158.465,385.77,87.5735,1.1811
tpa,1,0,2,158.35,383.295,87.2666,3.7743
tpa,1,0,3,157.805,381.29,14.7748,0.9411
tpa,1,0,4,154.66,381.26,178.0837,5.383
tpa,1,0,5,150.885,381.71,161.6443,2.2863
tpa,1,0,6,149.835,383.685,88.7584,3.2308
tpa,1,0,7,149.89,385.795,87.6867,0.9908
tpa,1,0,8,150.975,386.545,13.465,2.1902
tpa,2,0,0,168.905,383.545,88.9413,4.8708
tpa,2,0,1,167.28,381.615,162.2752,3.3175
tpa,2,0,2,163.575,382.185,178.2479,4.252
tpa,2,0,3,159.855,381.83,14.7526,3.2987
tpa,2,0,4,158.35,383.295,87.2664,3.7743
tpa,2,0,5,158.465,385.77,87.5743,1.1811
tpa,2,0,6,160.07,385.865,162.6046,3.3115
tpa,2,0,7,162.705,385.29,175.6635,2.1161
tpa,2,0,8,164.84,385.215,0.2655,2.16
tpa,3,0,0,162.635,255.99,90.6817,0.8401
tpa,3,0,1,162.71,255.365,108.8529,0.4332
tpa,3,0,2,162.88,254.97,117.7597,0.4294
tpa,3,0,3,163.105,254.61,126.3271,0.422
tpa,3,0,4,163.375,254.295,134.9985,0.4101
tpa,3,0,5,163.685,254.035,145.1271,0.4022
tpa,3,0,6,164.03,253.83,153.432,0.4025
tpa,3,0,7,164.17,252.01,88.6754,3.4609
tpa,3,0,8,164.005,250.24,17.7419,0.2625
tpa,3,0,9,163.76,250.14,26.5636,0.2683
tpa,3,0,10,163.53,250.005,34.2911,0.2663
tpa,3,0,11,163.32,249.835,43.532,0.2759
tpa,3,0,12,161.155,249.79,178.6129,4.1312
tpa,3,0,13,158.985,249.99,124.9912,0.3662
tpa,3,0,14,158.755,250.27,133.879,0.3607
tpa,3,0,15,158.485,250.51,142.8145,0.364
tpa,3,0,16,158.185,250.695,154.1809,0.3444
tpa,3,0,17,157.865,250.825,161.5619,0.3478
tpa,3,0,18,157.53,250.9,173.289,0.3424
tpa,3,0,19,157.135,250.935,176.1861,0.451
tpa,3,0,20,156.935,252.2,88.8542,2.5005
tpa,3,0,21,157.19,253.475,6.2021,0.4627
tpa,3,0,22,157.645,253.56,14.9304,0.4657
tpa,3,0,23,158.08,253.715,24.3415,0.461
tpa,3,0,24,158.49,253.94,33.0253,0.4771
tpa,3,0,25,158.87,254.235,42.5092,0.4884
tpa,3,0,26,159.21,254.585,49.1436,0.4892
tpa,3,0,27,159.5,254.985,58.8426,0.5025
tpa,3,0,28,159.735,255.43,65.4612,0.5057
tpa,3,0,29,159.91,255.91,74.3578,0.5192
tpa,3,0,30,160.0,256.315,82.6488,0.3126
tpa,4,0,0,156.935,252.2,88.8542,2.5005
tpa,4,0,1,154.185,251.14,176.0115,5.4632
tpa,4,0,2,150.14,251.38,177.8306,2.6419
tpa,4,0,3,145.405,251.375,0.9228,6.8309
tpa,4,0,4,141.9,251.305,9.4623,0.1825
tpa,4,0,5,141.805,252.58,90.2223,2.58
tpa,4,0,6,149.29,253.66,178.3939,14.9859
tpa,5,0,0,162.92,265.38,71.5607,0.0632
tpa,5,0,1,162.73,263.19,85.2364,4.335
tpa,5,0,2,162.59,258.72,90.9921,4.6207
tpa,5,0,3,161.325,256.44,178.6831,2.6107
tpa,5,0,4,160.06,256.865,84.2175,0.794
tpa,5,0,5,160.225,261.36,88.2537,8.2038
tpa,6,0,0,163.11,272.52,90.0,0.18
tpa,6,0,1,163.16,272.23,104.0373,0.4123
tpa,6,0,2,163.28,271.845,110.7242,0.3956
tpa,6,0,3,163.445,271.485,118.4957,0.3982
tpa,6,0,4,163.655,271.155,126.5746,0.386
tpa,6,0,5,163.905,270.865,134.9968,0.3818
tpa,6,0,6,164.195,270.62,144.6385,0.3801
tpa,6,0,7,164.515,270.42,151.3907,0.3759
