airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
trk,0,compound,,UNLABELED,291.69,321.64,308.87,284.76,17.18,36.88,633.5982,110.3276,155.3494,300.28,303.2,0.4658,37,3,0,1,rgb,207,207,207,0,none,,,,0.0,63.9231,18.3504,60.111,27.6127,0.0,594.0,387.36,0.0,248.5946
trk,1,path,,UNLABELED,284.56,306.25,292.16,298.89,7.6,7.36,55.9359,19.5732,18.7183,288.36,302.57,1.0326,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,165.7607,1.3009,61.7606,5.0512,0.0,594.0,387.36,0.0,30.0321
trk,2,path,,UNLABELED,332.7,201.98,333.75,200.36,1.05,1.62,1.701,0.0,1.9305,333.225,201.17,0.6481,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,57.051,1000000.0,57.051,1.9305,0.0,594.0,387.36,0.0,0.0
trk,3,path,,UNLABELED,333.75,201.98,334.74,201.51,0.99,0.47,0.4653,0.0,1.0959,334.245,201.745,2.1064,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,154.6038,1000000.0,154.6038,1.0959,0.0,594.0,387.36,0.0,0.0
trk,4,path,,UNLABELED,333.91,201.51,334.74,199.79,0.83,1.72,1.4276,0.0,1.9098,334.325,200.65,0.4825,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,64.2404,1000000.0,64.2404,1.9098,0.0,594.0,387.36,0.0,0.0
trk,5,path,,UNLABELED,333.91,199.79,338.35,197.28,4.44,2.51,11.1444,0.0,5.1004,336.13,198.535,1.7689,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,150.5198,1000000.0,150.5198,5.1004,0.0,594.0,387.36,0.0,0.0
trk,6,path,,UNLABELED,336.05,197.28,338.35,193.36,2.3,3.92,9.016,0.0,4.5449,337.2,195.32,0.5867,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,59.5986,1000000.0,59.5986,4.5449,0.0,594.0,387.36,0.0,0.0
trk,7,path,,UNLABELED,330.68,196.67,336.05,193.36,5.37,3.31,17.7747,0.0,6.3082,333.365,195.015,1.6224,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,148.3508,1000000.0,148.3508,6.3082,0.0,594.0,387.36,0.0,0.0
trk,8,path,,UNLABELED,55.84,347.28,131.56,300.69,75.72,46.59,3527.7932,399.1621,211.4751,93.7,323.985,1.6252,37,1,0,1,rgb,207,207,207,0,none,,,,0.0,154.202,29.9175,149.9866,47.3607,0.0,594.0,387.36,0.0,1186.401
trk,9,path,,UNLABELED,130.85,303.58,244.85,235.3,114.0,68.28,7783.9199,443.2793,317.0566,187.85,269.44,1.6696,74,1,0,1,rgb,207,207,207,0,none,,,,0.0,149.738,102.1761,149.9741,23.2617,0.0,594.0,387.36,0.0,1505.0492
