airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ttn,0,path,,UNLABELED,99.32,412.87,120.39,389.56,21.07,23.31,491.1418,253.955,79.73,109.855,401.215,0.9039,34,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.8666,1.7455,34.1911,10.7838,0.0,594.0,387.36,0.0,299.2199
ttn,1,path,,UNLABELED,261.8,419.99,289.46,395.07,27.66,24.92,689.2872,256.5466,85.3744,275.63,407.53,1.11,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,6.2699,2.2653,42.2816,19.5311,0.0,594.0,387.36,0.0,381.5272
ttn,2,path,,UNLABELED,131.44,179.18,182.93,144.25,51.49,34.93,1798.5455,757.3796,165.1208,157.185,161.715,1.4741,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.4247,2.9573,170.1868,24.7014,0.0,594.0,387.36,0.0,1192.732
ttn,3,path,,UNLABELED,149.85,213.33,202.04,177.07,52.19,36.26,1892.41,595.5966,150.7168,175.945,195.2,1.4393,49,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.5641,13.5946,43.1109,20.1635,0.0,594.0,387.36,0.0,925.9811
ttn,4,path,,UNLABELED,282.5,269.17,294.87,254.23,12.37,14.94,184.8078,73.9987,24.7491,288.685,261.7,0.828,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.6603,9.7457,123.5925,14.658,0.0,594.0,387.36,0.0,73.9987
ttn,5,path,,UNLABELED,297.56,279.41,307.86,268.04,10.3,11.37,117.1108,56.8836,21.2714,302.71,273.725,0.9059,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.2636,3.5693,123.5604,9.8043,0.0,594.0,387.36,0.0,56.8836
ttn,6,path,,UNLABELED,156.09,460.6,190.58,411.99,34.49,48.61,1676.5592,574.4928,302.3742,173.335,436.295,0.7095,185,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.4369,1.5182,34.2721,17.474,0.0,594.0,387.36,0.0,867.1829
ttn,7,path,,UNLABELED,280.06,440.32,301.93,418.52,21.87,21.8,476.7666,236.0255,57.3063,290.995,429.42,1.0032,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,18.636,1.3038,43.6464,14.9665,0.0,594.0,387.36,0.0,236.4452
ttn,8,path,,UNLABELED,269.16,305.28,301.81,267.1,32.65,38.18,1246.5765,420.2024,244.7993,285.485,286.19,0.8552,173,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.6953,7.6239,133.0204,11.8723,0.0,594.0,387.36,0.0,828.9318
ttn,9,path,,UNLABELED,127.61,274.75,136.62,266.15,9.01,8.6,77.4861,47.1829,30.5329,132.115,270.45,1.0477,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,162.3905,1.4988,80.377,5.8625,0.0,594.0,387.36,0.0,55.422
ttn,10,path,,UNLABELED,124.54,322.39,145.08,279.14,20.54,43.25,888.3547,476.4124,68.8977,134.81,300.765,0.4749,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.4712,9.6703,79.4467,11.1384,0.0,594.0,387.36,0.0,548.8645
ttn,11,path,,UNLABELED,102.36,366.6,151.48,334.03,49.12,32.57,1599.8383,586.0667,230.1935,126.92,350.315,1.5081,63,1,0,1,rgb,207,207,207,0,none,,,,0.0,7.4589,3.5222,170.4877,28.2585,0.0,594.0,387.36,0.0,1231.9762
ttn,12,path,,UNLABELED,185.59,423.31,262.32,371.52,76.73,51.79,3973.8479,1622.1777,224.3846,223.955,397.415,1.4816,70,1,0,1,rgb,207,207,207,0,none,,,,0.0,149.4841,10.8637,164.5572,36.9542,0.0,594.0,387.36,0.0,2016.1647
ttn,13,path,,UNLABELED,292.82,413.13,304.67,400.31,11.85,12.82,151.917,87.7597,33.7401,298.745,406.72,0.9243,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.7215,3.0167,43.4275,10.8228,0.0,594.0,387.36,0.0,95.4171
ttn,14,path,,UNLABELED,295.48,427.22,304.37,418.25,8.89,8.97,79.7434,36.4013,17.1702,299.925,422.735,0.9911,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.7124,3.2719,133.5799,7.7028,0.0,594.0,387.36,0.0,36.6596
ttn,15,path,,UNLABELED,284.1,405.69,296.75,391.95,12.65,13.74,173.811,83.9039,32.9889,290.425,398.82,0.9207,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,56.1326,4.1295,41.8832,8.1934,0.0,594.0,387.36,0.0,91.2913
ttn,16,path,,UNLABELED,255.74,293.15,288.51,248.13,32.77,45.02,1475.3052,229.9851,112.1168,272.125,270.64,0.7279,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.9519,69.5262,124.1399,22.2553,0.0,594.0,387.36,0.0,251.4451
ttn,17,path,,UNLABELED,275.58,236.97,287.0,218.59,11.42,18.38,209.8999,89.3378,45.1598,281.29,227.78,0.6213,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.0214,1.4376,124.3423,16.3259,0.0,594.0,387.36,0.0,108.8812
ttn,18,path,,UNLABELED,282.63,250.29,289.8,235.71,7.17,14.58,104.5383,62.5602,27.477,286.215,243.0,0.4918,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,72.7847,2.7128,74.2653,8.5919,0.0,594.0,387.36,0.0,69.6224
ttn,19,path,,UNLABELED,206.8,282.63,217.17,271.23,10.37,11.4,118.2179,46.5493,28.5823,211.985,276.93,0.9096,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.2575,2.6023,43.5218,6.5783,0.0,594.0,387.36,0.0,55.1179
ttn,20,path,,UNLABELED,214.14,271.93,225.49,258.26,11.35,13.67,155.1547,107.3172,41.0848,219.815,265.095,0.8303,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.8521,3.4222,126.3314,5.9583,0.0,594.0,387.36,0.0,117.1258
ttn,21,path,,UNLABELED,221.96,272.91,227.76,266.46,5.8,6.45,37.4101,17.8734,14.3881,224.86,269.685,0.8992,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.6678,2.1831,126.3314,5.9583,0.0,594.0,387.36,0.0,18.2682
ttn,22,path,,UNLABELED,213.38,273.69,219.04,268.93,5.66,4.76,26.9417,12.3686,12.5214,216.21,271.31,1.1891,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,32.4313,4.596,33.6314,5.4166,0.0,594.0,387.36,0.0,12.5468
ttn,23,path,,UNLABELED,143.96,201.88,155.0,190.93,11.04,10.95,120.8881,63.4588,31.3346,149.48,196.405,1.0082,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,46.59,2.3926,42.3235,6.9655,0.0,594.0,387.36,0.0,67.3231
ttn,24,path,,UNLABELED,151.09,262.71,217.47,198.77,66.38,63.94,4244.3377,277.0446,179.2879,184.28,230.74,1.0382,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.8978,317.5151,43.5175,31.7031,0.0,594.0,387.36,0.0,434.2707
ttn,25,path,,UNLABELED,220.66,261.75,248.36,224.01,27.7,37.74,1045.3985,137.7267,85.4752,234.51,242.88,0.734,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.8151,67.386,124.306,19.0911,0.0,594.0,387.36,0.0,197.559
ttn,26,path,,UNLABELED,251.4,216.07,261.57,207.01,10.17,9.06,92.1402,36.4909,23.8015,256.485,211.54,1.1225,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,134.8203,3.3172,127.9245,6.085,0.0,594.0,387.36,0.0,41.5119
ttn,27,path,,UNLABELED,261.86,202.54,267.74,196.01,5.88,6.53,38.3964,22.0458,14.6846,264.8,199.275,0.9005,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,43.8388,1.7307,25.8387,5.6443,0.0,594.0,387.36,0.0,22.0458
