airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
tup,0,path,,UNLABELED,226.36,125.01,253.31,103.9,26.95,21.11,568.9149,184.0281,62.1249,239.835,114.455,1.2766,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,144.5991,17.2725,144.186,28.4368,0.0,594.0,387.36,0.0,184.0281
tup,1,path,,UNLABELED,203.95,289.08,221.46,254.56,17.51,34.52,604.4448,602.0284,86.4801,212.705,271.82,0.5072,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.156,3.9179,90.1162,34.5201,0.0,594.0,387.36,0.0,602.0284
tup,2,path,,UNLABELED,201.64,233.96,215.19,201.46,13.55,32.5,440.3751,440.3751,78.55,208.415,217.71,0.4169,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.0,5.7529,90.0,32.5,0.0,594.0,387.36,0.0,440.3751
tup,3,path,,UNLABELED,252.01,233.16,261.45,200.81,9.44,32.35,305.3836,296.6916,73.5739,256.73,216.985,0.2918,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.3295,12.1763,90.3913,32.2107,0.0,594.0,387.36,0.0,296.6916
tup,4,path,,UNLABELED,236.3,178.76,259.72,156.5,23.42,22.26,521.3294,222.0912,54.8719,248.01,167.63,1.0521,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,41.3747,5.1811,41.4877,22.5071,0.0,594.0,387.36,0.0,222.0912
tup,5,path,,UNLABELED,165.69,210.47,187.01,207.15,21.32,3.32,70.7826,69.1833,45.8903,176.35,208.81,6.4217,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.2064,43.1675,0.215,21.3202,0.0,594.0,387.36,0.0,69.1833
tup,6,path,,UNLABELED,165.4,289.08,204.96,285.48,39.56,3.6,142.4162,139.5027,82.571,185.18,287.28,10.9889,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.1075,125.3448,0.1014,39.5601,0.0,594.0,387.36,0.0,139.5027
tup,7,path,,UNLABELED,165.4,127.31,225.78,123.57,60.38,3.74,225.8206,205.4744,121.9137,195.59,125.44,16.1444,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.3286,275.1572,0.2,60.1704,0.0,594.0,387.36,0.0,205.4744
tup,8,path,,UNLABELED,189.25,147.06,230.54,144.1,41.29,2.96,122.218,111.5058,85.1025,209.895,145.58,13.9494,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.3491,232.0538,0.3058,41.2206,0.0,594.0,387.36,0.0,111.5058
tup,9,path,,UNLABELED,201.35,175.3,211.23,152.75,9.88,22.55,222.7943,219.6298,54.8414,206.29,164.025,0.4381,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.6554,5.2939,90.0,22.55,0.0,594.0,387.36,0.0,219.6298
tup,10,path,,UNLABELED,201.35,188.2,206.9,173.79,5.55,14.41,79.9756,78.8933,34.092,204.125,180.995,0.3851,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.8976,6.728,89.7216,14.4102,0.0,594.0,387.36,0.0,78.8933
tup,11,path,,UNLABELED,223.69,144.97,226.21,125.51,2.52,19.46,49.0393,45.7121,40.0263,224.95,135.24,0.1295,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.6565,55.1714,90.2061,19.4601,0.0,594.0,387.36,0.0,45.7121
tup,12,path,,UNLABELED,257.99,171.48,267.14,161.9,9.15,9.58,87.6568,25.5919,24.2172,262.565,166.69,0.9551,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.8829,21.6017,133.15,10.9517,0.0,594.0,387.36,0.0,25.5919
tup,13,path,,UNLABELED,243.72,196.13,253.45,184.81,9.73,11.32,110.1436,47.552,25.3356,248.585,190.47,0.8595,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,126.72,5.0909,128.185,10.3687,0.0,594.0,387.36,0.0,47.552
tup,14,path,,UNLABELED,226.14,156.5,239.18,144.32,13.04,12.18,158.827,71.7738,29.5456,232.66,150.41,1.0706,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.0402,3.7355,40.1945,12.0703,0.0,594.0,387.36,0.0,71.7738
tup,15,path,,UNLABELED,188.1,193.46,222.25,191.44,34.15,2.02,68.9837,66.422,70.2402,205.175,192.45,16.9058,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.1263,308.2763,0.1342,34.1501,0.0,594.0,387.36,0.0,66.422
tup,16,path,,UNLABELED,204.81,202.61,206.9,188.2,2.09,14.41,30.1169,28.0275,30.7715,205.855,195.405,0.145,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.5872,54.9004,90.5964,14.4108,0.0,594.0,387.36,0.0,28.0275
tup,17,path,,UNLABELED,259.07,178.91,267.72,171.41,8.65,7.5,64.875,10.2038,21.9441,263.395,175.16,1.1533,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.2463,116.0056,40.2813,10.4866,0.0,594.0,387.36,0.0,10.2038
tup,18,path,,UNLABELED,235.65,158.51,242.86,151.81,7.21,6.7,48.3069,18.9603,17.1329,239.255,155.16,1.0761,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.271,7.7411,40.1993,7.2663,0.0,594.0,387.36,0.0,18.9603
tup,19,path,,UNLABELED,205.32,162.4,214.25,146.12,8.93,16.28,145.3803,138.9848,40.5113,209.785,154.26,0.5485,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.1428,3.451,90.0,16.14,0.0,594.0,387.36,0.0,138.9848
tup,20,path,,UNLABELED,213.32,156.78,216.7,146.26,3.38,10.52,35.5577,35.3042,24.271,215.01,151.52,0.3213,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.1487,9.5507,90.0,10.45,0.0,594.0,387.36,0.0,35.3042
tup,21,path,,UNLABELED,215.33,153.4,233.56,146.41,18.23,6.99,127.4275,120.1457,42.8125,224.445,149.905,2.608,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.614,7.1136,1.8127,18.019,0.0,594.0,387.36,0.0,120.1457
tup,22,path,,UNLABELED,247.76,199.3,259.94,189.28,12.18,10.02,122.0435,24.8332,29.859,253.85,194.29,1.2156,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.6296,61.4164,39.8923,14.376,0.0,594.0,387.36,0.0,24.8332
tup,23,path,,UNLABELED,256.84,203.12,261.59,198.22,4.75,4.9,23.275,22.5862,14.1817,259.215,200.67,0.9694,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.4516,1.063,90.8321,4.8205,0.0,594.0,387.36,0.0,22.5862
