airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
tvf,0,0,0,154.99,327.77,135.2714,2.984
tvf,0,0,1,156.84,327.69,50.8395,2.502
tvf,0,0,2,157.45,328.535,34.7778,0.4383
tvf,0,0,3,157.035,328.3,25.0837,0.5189
tvf,0,0,4,156.56,328.135,12.9059,0.4924
tvf,0,0,5,156.07,328.07,2.2928,0.5004
tvf,0,0,6,155.57,328.1,170.9078,0.5064
tvf,0,0,7,155.075,328.2,166.2399,0.5045
tvf,0,0,8,154.62,328.37,152.3538,0.4741
tvf,0,0,9,154.17,328.65,144.6888,0.5882
tvf,1,0,0,150.365,319.755,50.6097,1.5915
tvf,1,0,1,149.98,321.25,135.324,2.5032
tvf,1,0,2,149.25,321.935,129.3711,0.5045
tvf,1,0,3,149.545,321.54,124.0202,0.4826
tvf,1,0,4,149.795,321.11,116.5635,0.5143
tvf,1,0,5,149.97,320.635,103.7605,0.5045
tvf,1,0,6,150.04,320.165,92.5453,0.4505
tvf,1,0,7,150.015,319.72,80.9596,0.4455
tvf,1,0,8,149.92,319.32,71.5651,0.3795
tvf,2,0,0,159.58,324.6,50.7925,1.9616
tvf,2,0,1,159.655,323.15,135.2067,1.9587
tvf,2,0,2,160.235,322.61,127.4768,0.378
tvf,2,0,3,160.045,322.925,114.442,0.3625
tvf,2,0,4,159.92,323.26,106.3907,0.3544
tvf,2,0,5,159.85,323.655,95.079,0.4518
tvf,2,0,6,159.83,324.045,90.0,0.33
tvf,2,0,7,159.9,324.485,75.7187,0.5675
tvf,2,0,8,160.085,325.06,69.0271,0.6426
tvf,3,0,0,152.685,316.035,33.3651,0.4909
tvf,3,0,1,153.11,316.23,15.2581,0.4561
tvf,3,0,2,153.555,316.325,8.839,0.4554
tvf,3,0,3,154.005,316.335,173.6613,0.4528
tvf,3,0,4,154.465,316.25,165.6779,0.4851
tvf,3,0,5,154.935,316.065,151.9909,0.5324
tvf,3,0,6,155.37,315.82,149.0337,0.4665
tvf,3,0,7,154.675,316.59,135.1604,2.5244
tvf,3,0,8,153.13,316.69,50.5527,2.0461
tvf,4,0,0,130.325,259.025,50.8923,114.065
tvf,4,0,1,94.24,214.65,47.4882,0.3256
tvf,4,0,2,93.97,214.395,40.1549,0.4187
tvf,4,0,3,93.55,214.12,28.3031,0.5906
tvf,4,0,4,93.07,213.88,24.4422,0.4833
tvf,4,0,5,92.635,213.73,13.0927,0.4415
tvf,4,0,6,92.195,213.65,7.5943,0.454
tvf,4,0,7,91.79,213.64,173.6585,0.3622
tvf,4,0,8,91.425,213.705,166.3291,0.3808
tvf,4,0,9,91.045,213.85,152.8489,0.4383
tvf,4,0,10,90.36,214.315,143.3185,1.222
tvf,4,0,11,85.335,218.345,141.0562,11.6616
tvf,4,0,12,80.575,222.305,127.3332,0.742
tvf,4,0,13,80.2,222.89,117.3507,0.653
tvf,4,0,14,79.935,223.45,113.0704,0.587
tvf,4,0,15,79.75,224.035,102.5287,0.6454
tvf,4,0,16,79.64,224.67,97.1247,0.645
tvf,4,0,17,79.615,225.265,86.8781,0.5508
tvf,4,0,18,79.695,225.865,78.6902,0.6629
tvf,4,0,19,79.905,226.49,64.2041,0.6664
tvf,4,0,20,80.26,227.115,57.1312,0.7739
tvf,4,0,21,80.965,228.145,54.9262,1.7229
tvf,4,0,22,78.995,225.825,50.8243,7.8043
tvf,4,0,23,84.71,216.19,141.0595,21.0337
tvf,4,0,24,130.065,255.305,50.8884,117.8602
tvf,4,0,25,167.4,301.135,33.2745,0.3827
tvf,4,0,26,167.75,301.335,26.5651,0.4249
tvf,4,0,27,168.11,301.485,17.9305,0.3574
tvf,4,0,28,168.425,301.55,3.9429,0.2907
tvf,4,0,29,168.725,301.555,178.1506,0.3102
tvf,4,0,30,169.055,301.53,173.4836,0.3523
tvf,4,0,31,169.41,301.455,163.0069,0.3764
tvf,4,0,32,169.775,301.32,156.6149,0.4031
tvf,4,0,33,170.115,301.15,149.8594,0.3585
tvf,4,0,34,170.415,300.95,142.8145,0.364
tvf,4,0,35,167.98,303.395,135.2788,7.2621
tvf,4,0,36,165.815,305.335,124.0107,1.4838
tvf,4,0,37,166.31,304.525,112.3059,0.4216
tvf,4,0,38,166.415,304.17,98.8818,0.3239
tvf,4,0,39,166.44,303.88,90.0,0.26
tvf,4,0,40,166.42,303.635,80.1363,0.2335
tvf,4,0,41,166.35,303.4,67.3781,0.26
tvf,5,0,0,257.51,342.215,135.0977,4.1507
tvf,5,0,1,260.05,341.825,45.1337,3.0335
tvf,5,0,2,259.675,344.395,134.0255,4.1584
tvf,5,0,3,257.99,345.645,45.5903,0.6859
tvf,5,0,4,257.69,345.36,33.6917,0.1442
tvf,5,0,5,257.56,345.305,12.0956,0.1432
tvf,5,0,6,257.425,345.3,171.2523,0.1315
tvf,5,0,7,257.3,345.355,143.1301,0.15
tvf,5,0,8,256.85,345.785,135.3694,1.096
tvf,5,0,9,256.425,346.215,127.879,0.114
tvf,5,0,10,256.365,346.31,116.5755,0.1118
tvf,5,0,11,256.325,346.415,105.2544,0.114
tvf,5,0,12,256.305,346.525,95.1837,0.1105
tvf,5,0,13,256.305,346.64,85.2466,0.1204
