airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
vgt,0,path,,UNLABELED,79.89,417.61,98.59,394.65,18.7,22.96,429.3518,104.5869,65.8571,89.24,406.13,0.8145,44,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.019,3.9212,45.5591,10.8687,0.0,594.0,387.36,0.0,234.7784
vgt,1,path,,UNLABELED,83.49,431.84,98.46,417.06,14.97,14.78,221.2566,78.845,38.3488,90.975,424.45,1.0129,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.447,10.1379,135.1247,16.2423,0.0,594.0,387.36,0.0,80.3643
vgt,2,path,,UNLABELED,347.65,224.77,356.62,215.7,8.97,9.07,81.358,38.7468,21.4397,352.135,220.235,0.989,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.2134,2.438,135.3084,7.8773,0.0,594.0,387.36,0.0,38.774
vgt,3,path,,UNLABELED,96.41,462.15,165.22,416.82,68.81,45.33,3119.1573,526.9494,244.7366,130.815,439.485,1.518,65,1,0,1,rgb,207,207,207,0,none,,,,0.0,20.8189,2.766,0.9058,22.7728,0.0,594.0,387.36,0.0,1811.1725
vgt,4,path,,UNLABELED,346.37,401.8,362.56,396.88,16.19,4.92,79.6548,75.9275,37.8772,354.465,399.34,3.2907,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.0954,11.6605,0.8869,16.1519,0.0,594.0,387.36,0.0,76.1287
vgt,5,path,,UNLABELED,281.12,238.63,295.64,224.21,14.52,14.42,209.3784,75.0035,36.9471,288.38,231.42,1.0069,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,135.7915,10.2458,136.1575,15.7505,0.0,594.0,387.36,0.0,75.5969
vgt,6,path,,UNLABELED,69.83,395.14,85.76,389.96,15.93,5.18,82.5172,74.7238,37.3574,77.795,392.55,3.0753,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.401,10.8162,1.1276,15.753,0.0,594.0,387.36,0.0,75.4906
vgt,7,compound,,UNLABELED,134.72,397.3,366.33,218.53,231.61,178.77,41404.9173,5068.8443,2281.792,250.525,307.915,1.2956,554,5,0,1,rgb,207,207,207,0,none,,,,0.0,137.3037,4.9928,135.6738,82.9776,0.0,594.0,387.36,0.0,24698.6383
vgt,8,compound,,UNLABELED,24.84,391.47,281.52,198.91,256.68,192.56,49426.3017,12144.8175,1791.5136,153.18,295.19,1.333,326,5,0,1,rgb,207,207,207,0,none,,,,0.0,141.3231,14.4133,135.6959,71.614,0.0,594.0,387.36,0.0,22186.5976
vgt,9,path,,UNLABELED,235.28,262.14,241.97,254.85,6.69,7.29,48.7702,13.1882,25.1707,238.625,258.495,0.9177,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.6045,3.2346,146.759,3.5391,0.0,594.0,387.36,0.0,25.6066
vgt,10,path,,UNLABELED,74.6,260.34,74.6,190.44,0.0,69.9,0.0,0.0,69.9,74.6,225.39,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,69.9,0.0,594.0,387.36,0.0,0.0
vgt,11,path,,UNLABELED,74.6,255.94,94.71,190.44,20.11,65.5,1317.205,0.0,68.5176,84.655,223.19,0.307,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,72.9323,1000000.0,72.9323,68.5176,0.0,594.0,387.36,0.0,0.0
vgt,12,path,,UNLABELED,91.9,255.94,94.71,246.79,2.81,9.15,25.7115,8.0697,18.0169,93.305,251.365,0.3071,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,78.4987,27.5616,72.9281,9.5718,0.0,594.0,387.36,0.0,9.9915
vgt,13,path,,UNLABELED,72.15,262.0,77.05,251.33,4.9,10.67,52.283,22.7785,20.4358,74.6,256.665,0.4592,6,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.8843,5.0445,102.5422,4.651,0.0,594.0,387.36,0.0,26.1415
vgt,14,path,,UNLABELED,81.55,209.53,85.55,206.59,4.0,2.94,11.76,2.9585,14.6193,83.55,208.06,1.3605,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,170.6261,1.9256,140.4499,4.0204,0.0,594.0,387.36,0.0,5.7102
vgt,15,compound,,UNLABELED,82.76,211.69,86.82,208.44,4.06,3.25,13.195,3.5404,17.1839,84.79,210.065,1.2492,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,163.2281,1.2427,7.5759,4.0957,0.0,594.0,387.36,0.0,6.33
vgt,16,compound,,UNLABELED,83.52,214.65,87.56,211.98,4.04,2.67,10.7869,3.8275,18.0685,85.54,213.315,1.5131,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,165.1528,3.0553,162.8972,3.5364,0.0,594.0,387.36,0.0,7.0818
vgt,17,path,,UNLABELED,85.22,219.26,88.82,217.85,3.6,1.41,5.076,1.5719,8.9035,87.02,218.555,2.5532,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,168.1776,22.9238,162.8976,3.5364,0.0,594.0,387.36,0.0,2.5397
vgt,18,path,,UNLABELED,86.01,221.87,89.62,220.45,3.61,1.42,5.1262,1.6117,8.9321,87.815,221.16,2.5422,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,168.236,22.4514,162.8972,3.5364,0.0,594.0,387.36,0.0,2.5795
vgt,19,path,,UNLABELED,89.7,222.87,90.22,222.35,0.52,0.52,0.2704,0.2082,1.6289,89.96,222.61,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,162.8796,1.1209,131.1906,0.1063,0.0,594.0,387.36,0.0,0.2082
vgt,20,path,,UNLABELED,87.21,226.42,91.09,223.45,3.88,2.97,11.5236,3.0808,15.9136,89.15,224.935,1.3064,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,173.836,1.9529,123.9475,2.4712,0.0,594.0,387.36,0.0,7.6722
vgt,21,compound,,UNLABELED,88.03,228.41,89.63,226.81,1.6,1.6,2.56,1.4265,7.7167,88.83,227.61,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,163.5554,1.1217,173.0873,0.3324,0.0,594.0,387.36,0.0,1.9907
vgt,22,path,,UNLABELED,89.26,233.56,93.21,230.68,3.95,2.88,11.376,3.3302,16.7014,91.235,232.12,1.3715,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,155.4079,2.6653,162.8971,3.5364,0.0,594.0,387.36,0.0,6.812
vgt,23,compound,,UNLABELED,64.96,172.16,68.11,167.3,3.15,4.86,15.309,5.7293,22.4437,66.535,169.73,0.6482,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9908,2.6277,103.7076,0.422,0.0,594.0,387.36,0.0,12.1903
vgt,24,path,,UNLABELED,68.84,167.99,69.52,167.3,0.68,0.69,0.4692,0.3568,2.1324,69.18,167.645,0.9855,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.3936,1.1242,12.0943,0.1432,0.0,594.0,387.36,0.0,0.3568
vgt,25,path,,UNLABELED,70.83,171.99,72.15,167.39,1.32,4.6,6.072,2.6775,11.6121,71.49,169.69,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2992,22.6555,90.0,4.6,0.0,594.0,387.36,0.0,4.334
vgt,26,compound,,UNLABELED,73.92,172.0,76.0,169.92,2.08,2.08,4.3264,2.4063,10.0242,74.96,170.96,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1515,1.1206,10.5374,0.4374,0.0,594.0,387.36,0.0,3.3589
vgt,27,path,,UNLABELED,77.95,172.16,84.42,167.22,6.47,4.94,31.9618,9.0202,33.1008,81.185,169.69,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.0071,1.2617,67.9712,5.1456,0.0,594.0,387.36,0.0,22.2296
vgt,28,compound,,UNLABELED,36.2,178.53,40.62,173.69,4.42,4.84,21.3928,6.0001,22.3445,38.41,176.11,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.275,1.2428,114.542,5.3207,0.0,594.0,387.36,0.0,10.6964
vgt,29,path,,UNLABELED,41.02,178.51,45.02,173.5,4.0,5.01,20.04,7.4867,27.5523,43.02,176.005,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7472,1.7657,133.0531,4.9951,0.0,594.0,387.36,0.0,19.22
vgt,30,path,,UNLABELED,45.83,178.51,49.83,173.5,4.0,5.01,20.04,7.4867,27.5523,47.83,176.005,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7472,1.7657,133.0531,4.9951,0.0,594.0,387.36,0.0,19.22
vgt,31,path,,UNLABELED,50.56,178.29,53.96,173.61,3.4,4.68,15.912,6.0581,22.139,52.26,175.95,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3817,1.3788,90.0,2.91,0.0,594.0,387.36,0.0,14.7342
