airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
vny,0,path,,UNLABELED,195.21,351.82,208.39,335.73,13.18,16.09,212.066,64.3339,55.6392,201.8,343.775,0.8191,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.8935,1.3474,94.5484,16.1408,0.0,594.0,387.36,0.0,136.9128
vny,1,path,,UNLABELED,191.36,400.19,204.14,393.12,12.78,7.07,90.3547,35.2672,40.7336,197.75,396.655,1.8076,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,7.3505,5.7652,94.5574,6.9219,0.0,594.0,387.36,0.0,76.7745
vny,2,path,,UNLABELED,187.23,451.69,200.0,446.52,12.77,5.17,66.0209,31.164,33.2018,193.615,449.105,2.47,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.9465,13.4449,171.3251,11.0059,0.0,594.0,387.36,0.0,44.6277
vny,3,path,,UNLABELED,186.44,461.53,199.16,457.02,12.72,4.51,57.3673,29.544,30.2113,192.8,459.275,2.8204,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,171.7359,29.8759,170.308,12.7114,0.0,594.0,387.36,0.0,29.544
vny,4,path,,UNLABELED,183.74,495.38,196.49,490.86,12.75,4.52,57.63,40.0401,28.1858,190.115,493.12,2.8208,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,6.1192,15.1361,6.0473,12.5297,0.0,594.0,387.36,0.0,40.0401
vny,5,path,,UNLABELED,188.59,434.51,201.48,427.45,12.89,7.06,91.0034,35.8333,40.8712,195.035,430.98,1.8258,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,7.3016,5.8038,94.5509,6.9319,0.0,594.0,387.36,0.0,77.5127
vny,6,compound,,UNLABELED,41.0,520.65,277.3,68.43,236.3,452.22,106859.5808,19990.8746,5580.3811,159.15,294.54,0.5225,1690,38,0,1,rgb,207,207,207,0,none,,,,0.0,105.8473,6.2443,90.0,58.74,0.0,594.0,387.36,0.0,70301.9719
vny,7,path,,UNLABELED,153.94,536.93,175.56,513.3,21.62,23.63,510.8804,510.8804,90.5,164.75,525.115,0.9149,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,120.9468,1.4637,90.0,23.63,0.0,594.0,387.36,0.0,510.8804
vny,8,compound,,UNLABELED,96.54,206.87,99.69,202.02,3.15,4.85,15.2775,5.7284,22.4331,98.115,204.445,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0048,2.6319,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1778
vny,9,path,,UNLABELED,100.43,202.7,101.11,202.02,0.68,0.68,0.4624,0.3554,2.1288,100.77,202.36,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.568,1.1165,12.0943,0.1432,0.0,594.0,387.36,0.0,0.3554
vny,10,path,,UNLABELED,102.42,206.7,103.73,202.1,1.31,4.6,6.026,2.6724,11.5921,103.075,204.4,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2382,23.0274,90.0,4.6,0.0,594.0,387.36,0.0,4.3084
vny,11,compound,,UNLABELED,105.5,206.71,107.58,204.63,2.08,2.08,4.3264,2.4103,10.0169,106.54,205.67,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1617,1.1227,10.5374,0.4374,0.0,594.0,387.36,0.0,3.3589
vny,12,path,,UNLABELED,109.53,206.87,116.0,201.93,6.47,4.94,31.9618,9.0214,33.1007,112.765,204.4,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,152.9176,1.2652,112.0289,5.1456,0.0,594.0,387.36,0.0,22.2296
vny,13,compound,,UNLABELED,67.78,213.24,72.21,208.4,4.43,4.84,21.4412,6.0184,22.3647,69.995,210.82,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.4074,1.2376,114.6399,5.3248,0.0,594.0,387.36,0.0,10.7206
vny,14,path,,UNLABELED,72.6,213.22,76.6,208.21,4.0,5.01,20.04,7.503,27.5555,74.6,210.715,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8114,1.7678,132.9691,4.9882,0.0,594.0,387.36,0.0,19.22
vny,15,path,,UNLABELED,77.41,213.22,81.41,208.21,4.0,5.01,20.04,7.4873,27.5524,79.41,210.715,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7053,1.7656,132.9691,4.9882,0.0,594.0,387.36,0.0,19.22
vny,16,path,,UNLABELED,82.14,213.0,85.54,208.32,3.4,4.68,15.912,6.0316,22.1276,83.84,210.66,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3979,1.3779,90.0,2.91,0.0,594.0,387.36,0.0,14.7342
vny,17,compound,,UNLABELED,85.81,213.24,90.24,208.4,4.43,4.84,21.4412,6.0124,22.3587,88.025,210.82,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9081,1.2362,65.3601,5.3248,0.0,594.0,387.36,0.0,10.7206
vny,18,path,,UNLABELED,90.63,213.0,92.63,208.4,2.0,4.6,9.2,3.474,13.2,91.63,210.7,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
