airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
whp,0,path,,UNLABELED,265.48,166.85,272.62,159.58,7.14,7.27,51.908,26.097,20.4395,269.05,163.215,0.9821,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.2585,1.3604,40.9913,5.2596,0.0,594.0,387.36,0.0,26.097
whp,1,path,,UNLABELED,79.22,379.13,85.34,373.15,6.12,5.98,36.5976,17.6068,17.1629,82.28,376.14,1.0234,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,51.5152,2.5237,40.5655,5.2128,0.0,594.0,387.36,0.0,17.6068
whp,2,compound,,UNLABELED,85.27,488.58,297.04,166.85,211.77,321.73,68132.7626,15939.4895,1405.2941,191.155,327.715,0.6582,119,2,0,1,rgb,207,207,207,0,none,,,,0.0,110.7297,3.328,131.1119,78.6274,0.0,594.0,387.36,0.0,34156.2272
whp,3,compound,,UNLABELED,149.17,121.03,152.32,116.18,3.15,4.85,15.2776,5.7282,22.4413,150.745,118.605,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9959,2.6353,67.6925,0.4215,0.0,594.0,387.36,0.0,12.1829
whp,4,path,,UNLABELED,153.05,116.86,153.73,116.18,0.68,0.68,0.4624,0.352,2.1179,153.39,116.52,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.2385,1.1038,53.9684,0.136,0.0,594.0,387.36,0.0,0.352
whp,5,path,,UNLABELED,155.04,120.86,156.36,116.26,1.32,4.6,6.072,2.7184,11.6121,155.7,118.56,0.287,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2763,22.6601,90.0,4.6,0.0,594.0,387.36,0.0,4.3544
whp,6,compound,,UNLABELED,158.13,120.87,160.2,118.8,2.07,2.07,4.2849,2.4082,10.0432,159.165,119.835,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0949,1.1193,10.7826,0.4275,0.0,594.0,387.36,0.0,3.3663
whp,7,path,,UNLABELED,162.16,121.03,168.63,116.09,6.47,4.94,31.9618,9.0172,33.0759,165.395,118.56,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.2437,1.2644,67.971,5.1457,0.0,594.0,387.36,0.0,22.2296
whp,8,compound,,UNLABELED,120.4,127.4,124.83,122.56,4.43,4.84,21.4413,5.9859,22.3771,122.615,124.98,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.8147,1.2385,65.3602,5.3249,0.0,594.0,387.36,0.0,10.7207
whp,9,path,,UNLABELED,125.22,127.38,129.23,122.37,4.01,5.01,20.0901,7.5169,27.5693,127.225,124.875,0.8004,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.6073,1.7615,132.9748,5.0024,0.0,594.0,387.36,0.0,19.2681
whp,10,path,,UNLABELED,130.04,127.38,134.04,122.37,4.0,5.01,20.04,7.4866,27.5524,132.04,124.875,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7503,1.7664,132.9748,5.0024,0.0,594.0,387.36,0.0,19.22
whp,11,path,,UNLABELED,134.76,127.16,138.17,122.48,3.41,4.68,15.9588,6.0946,22.137,136.465,124.82,0.7286,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.5911,1.3758,90.0,2.9,0.0,594.0,387.36,0.0,14.7591
whp,12,compound,,UNLABELED,138.44,127.4,142.87,122.56,4.43,4.84,21.4413,5.9919,22.383,140.655,124.98,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3092,1.2399,114.6398,5.3249,0.0,594.0,387.36,0.0,10.7206
whp,13,path,,UNLABELED,143.26,127.16,145.26,122.56,2.0,4.6,9.2,3.474,13.2,144.26,124.86,0.4348,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.4862,10.2887,90.0,4.6,0.0,594.0,387.36,0.0,6.337
whp,14,compound,,UNLABELED,147.39,127.16,150.29,122.56,2.9,4.6,13.34,6.4655,23.4671,148.84,124.86,0.6304,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,92.1103,3.0717,90.0,4.6,0.0,594.0,387.36,0.0,11.9411
whp,15,compound,,UNLABELED,150.21,127.4,154.63,122.56,4.42,4.84,21.3929,5.9737,22.3629,152.42,124.98,0.9132,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.082,1.2447,65.4581,5.3207,0.0,594.0,387.36,0.0,10.6965
whp,16,path,,UNLABELED,154.61,127.16,157.4,122.56,2.79,4.6,12.8341,3.836,14.78,156.005,124.86,0.6065,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.3302,3.4463,90.0,4.09,0.0,594.0,387.36,0.0,8.335
whp,17,path,,UNLABELED,157.82,127.16,160.33,122.56,2.51,4.6,11.546,5.6708,21.74,159.075,124.86,0.5457,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.4078,2.6543,90.0,4.6,0.0,594.0,387.36,0.0,11.546
whp,18,compound,,UNLABELED,162.45,127.33,167.3,122.48,4.85,4.85,23.5225,7.486,27.0435,164.875,124.905,1.0,114,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0984,1.0721,117.2539,0.3712,0.0,594.0,387.36,0.0,18.5064
whp,19,path,,UNLABELED,167.86,127.16,170.12,122.56,2.26,4.6,10.396,4.4277,16.94,168.99,124.86,0.4913,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,71.9455,3.9123,90.0,4.6,0.0,594.0,387.36,0.0,8.3847
whp,20,path,,UNLABELED,172.28,127.33,175.93,122.48,3.65,4.85,17.7024,5.1026,20.0742,174.105,124.905,0.7526,75,1,0,1,rgb,0,0,0,0,none,,,,0.0,87.3344,2.3157,90.0,0.69,0.0,594.0,387.36,0.0,14.8892
whp,21,path,,UNLABELED,176.59,127.16,179.91,122.56,3.32,4.6,15.2721,6.5603,24.02,178.25,124.86,0.7217,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.962,2.025,90.0,4.6,0.0,594.0,387.36,0.0,15.2721
whp,22,compound,,UNLABELED,180.22,127.4,184.65,122.56,4.43,4.84,21.4413,5.9919,22.383,182.435,124.98,0.9153,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.3092,1.2399,114.6398,5.3249,0.0,594.0,387.36,0.0,10.7206
