airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
wjf,0,path,,UNLABELED,219.44,219.09,223.55,211.31,4.11,7.78,31.9758,11.658,15.5155,221.495,215.2,0.5283,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.4466,10.263,107.9476,8.1779,0.0,594.0,387.36,0.0,13.4012
wjf,1,path,,UNLABELED,118.56,485.28,143.93,468.49,25.37,16.79,425.9622,185.9675,99.9563,131.245,476.885,1.511,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,23.306,4.7848,18.3484,18.8377,0.0,594.0,387.36,0.0,321.6936
wjf,2,path,,UNLABELED,138.08,437.7,157.71,403.67,19.63,34.03,668.009,93.1267,95.5824,147.895,420.685,0.5768,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.8448,2.541,107.8063,35.7422,0.0,594.0,387.36,0.0,290.8192
wjf,3,path,,UNLABELED,160.29,369.08,179.71,335.12,19.42,33.96,659.5033,87.5173,95.2921,170.0,352.1,0.5718,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.2271,2.1723,107.7948,35.6664,0.0,594.0,387.36,0.0,285.0529
wjf,4,path,,UNLABELED,200.37,236.5,216.2,221.43,15.83,15.07,238.558,61.2283,55.9251,208.285,228.965,1.0504,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,27.1572,1.8638,107.8053,15.8282,0.0,594.0,387.36,0.0,138.7561
wjf,5,path,,UNLABELED,226.57,149.09,243.82,134.88,17.25,14.21,245.1224,70.3493,63.7651,235.195,141.985,1.2139,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.14,1.7885,107.7932,14.3987,0.0,594.0,387.36,0.0,172.7592
wjf,6,path,,UNLABELED,185.15,292.49,204.07,259.2,18.92,33.29,629.8469,80.9177,93.8372,194.61,275.845,0.5683,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.5371,2.4102,107.7983,11.3849,0.0,594.0,387.36,0.0,274.836
wjf,7,path,,UNLABELED,134.2,477.92,267.87,85.14,133.67,392.78,52502.8957,1517.274,865.5947,201.035,281.53,0.3403,35,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.5361,138.5856,107.7947,395.6383,0.0,594.0,387.36,0.0,5960.9077
wjf,8,path,,UNLABELED,144.58,476.5,197.88,408.76,53.3,67.74,3610.5421,856.3418,492.3337,171.23,442.63,0.7868,303,1,0,1,rgb,207,207,207,0,none,,,,0.0,63.1432,1.6219,19.2184,18.5011,0.0,594.0,387.36,0.0,2261.0315
wjf,9,path,,UNLABELED,155.93,487.69,192.06,464.07,36.13,23.62,853.3902,447.2003,94.1324,173.995,475.88,1.5296,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,19.1659,7.071,19.2351,33.9662,0.0,594.0,387.36,0.0,448.3398
wjf,10,path,,UNLABELED,171.56,407.1,241.75,306.45,70.19,100.65,7064.6233,3218.4041,540.4582,206.655,356.775,0.6974,103,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.879,2.4905,18.8255,29.2233,0.0,594.0,387.36,0.0,5176.8691
wjf,11,path,,UNLABELED,214.09,396.18,219.58,389.27,5.49,6.91,37.936,22.536,19.5187,216.835,392.725,0.7945,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.1282,2.7338,108.5853,6.0242,0.0,594.0,387.36,0.0,22.536
wjf,12,path,,UNLABELED,229.01,400.44,231.55,394.5,2.54,5.94,15.0876,4.0414,13.3482,230.28,397.47,0.4276,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.7068,79.8982,108.3145,6.0147,0.0,594.0,387.36,0.0,4.0414
wjf,13,path,,UNLABELED,231.41,391.57,232.57,390.08,1.16,1.49,1.7284,1.042,4.1839,231.99,390.825,0.7785,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.5005,2.792,108.579,1.2554,0.0,594.0,387.36,0.0,1.0462
wjf,14,path,,UNLABELED,232.18,389.13,233.3,387.56,1.12,1.57,1.7584,1.139,4.5433,232.74,388.345,0.7134,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.5636,2.0351,106.6141,1.294,0.0,594.0,387.36,0.0,1.196
