airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
wvi,0,path,,UNLABELED,98.45,373.88,171.12,344.31,72.67,29.57,2148.8524,238.109,179.5688,134.785,359.095,2.4576,57,1,0,1,rgb,207,207,207,0,none,,,,0.0,162.9352,43.115,170.1901,51.7669,0.0,594.0,387.36,0.0,775.1999
wvi,1,path,,UNLABELED,189.99,398.61,219.53,360.14,29.54,38.47,1136.4042,197.6118,119.1093,204.76,379.375,0.7679,52,1,0,1,rgb,207,207,207,0,none,,,,0.0,65.4704,5.5922,58.0577,23.0974,0.0,594.0,387.36,0.0,570.245
wvi,2,compound,,UNLABELED,74.04,358.62,324.71,180.44,250.67,178.18,44664.3812,7022.3599,1339.1137,199.375,269.53,1.4068,549,5,0,1,rgb,207,207,207,0,none,,,,0.0,34.4133,6.6149,170.1953,74.285,0.0,594.0,387.36,0.0,15870.0712
wvi,3,path,,UNLABELED,167.75,288.13,170.71,285.4,2.96,2.73,8.0809,2.103,4.7691,169.23,286.765,1.0842,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,41.5606,9.9514,30.7356,3.4437,0.0,594.0,387.36,0.0,2.1924
wvi,4,path,,UNLABELED,187.4,325.37,190.37,322.64,2.97,2.73,8.1081,2.1079,4.7777,188.885,324.005,1.0879,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,41.4345,9.9961,30.6508,3.4523,0.0,594.0,387.36,0.0,2.1973
wvi,5,path,,UNLABELED,18.04,549.11,369.32,44.72,351.28,504.39,177182.1276,177182.1276,1711.34,193.68,296.915,0.6964,5,1,0,0,none,,,,1,rgb,0,0,0,0.39,102.133,2.2278,90.0,504.39,0.0,594.0,387.36,0.0,177182.1276
wvi,6,path,,UNLABELED,167.75,289.76,172.76,285.4,5.01,4.36,21.8435,0.0,6.6415,170.255,287.58,1.1491,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,41.0317,1000000.0,41.0317,6.6415,0.0,594.0,387.36,0.0,0.0
wvi,7,path,,UNLABELED,187.4,327.05,192.39,322.64,4.99,4.41,22.0059,0.0,6.6595,189.895,324.845,1.1315,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,41.4692,1000000.0,41.4692,6.6595,0.0,594.0,387.36,0.0,0.0
wvi,8,path,,UNLABELED,130.34,233.22,141.8,224.91,11.46,8.31,95.2325,26.1126,26.5234,136.07,229.065,1.3791,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,147.7861,32.4059,147.7954,12.1964,0.0,594.0,387.36,0.0,26.1126
wvi,9,path,,UNLABELED,141.94,226.01,145.25,223.22,3.31,2.79,9.2348,6.7962,8.1992,143.595,224.615,1.1864,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,10.0502,1.6314,10.1655,2.9462,0.0,594.0,387.36,0.0,6.7962
wvi,10,path,,UNLABELED,137.04,236.65,152.29,225.9,15.25,10.75,163.9375,36.0027,35.5213,144.665,231.275,1.4186,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,147.6367,59.741,147.6342,16.6815,0.0,594.0,387.36,0.0,36.0027
wvi,11,path,,UNLABELED,140.48,242.12,161.46,227.71,20.98,14.41,302.3218,51.3438,49.1012,150.97,234.915,1.4559,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,147.6238,114.8283,147.6244,23.4561,0.0,594.0,387.36,0.0,51.3438
wvi,12,path,,UNLABELED,143.9,247.48,168.79,230.72,24.89,16.76,417.1569,58.1436,58.3259,156.345,239.1,1.4851,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,147.7501,185.1995,147.7506,28.1294,0.0,594.0,387.36,0.0,58.1436
wvi,13,path,,UNLABELED,147.59,253.75,154.79,247.74,7.2,6.01,43.2721,19.2259,16.2735,151.19,250.745,1.198,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,147.6331,5.4598,147.6141,6.7025,0.0,594.0,387.36,0.0,19.2259
wvi,14,path,,UNLABELED,152.81,261.36,159.98,255.4,7.17,5.96,42.7331,18.9596,16.2085,156.395,258.38,1.203,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,147.8329,5.5608,147.8312,6.6865,0.0,594.0,387.36,0.0,18.9596
wvi,15,path,,UNLABELED,155.23,267.68,164.22,259.07,8.99,8.61,77.4037,40.0631,19.721,159.725,263.375,1.0441,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,147.0903,1.4943,147.0139,6.9981,0.0,594.0,387.36,0.0,40.0631
wvi,16,path,,UNLABELED,162.34,261.79,169.13,255.19,6.79,6.6,44.8141,21.6673,17.2997,165.735,258.49,1.0288,6,1,0,1,rgb,0,0,0,0,none,,,,0.0,145.0439,4.8295,147.5666,6.9548,0.0,594.0,387.36,0.0,22.6537
wvi,17,path,,UNLABELED,197.73,292.34,205.05,288.63,7.32,3.71,27.1572,19.7232,21.7705,201.39,290.485,1.9731,18,1,0,1,rgb,0,0,0,0,none,,,,0.0,3.2994,3.5272,1.7799,5.4726,0.0,594.0,387.36,0.0,21.9271
wvi,18,path,,UNLABELED,222.42,290.24,223.93,287.58,1.51,2.66,4.0166,3.0807,7.1324,223.175,288.91,0.5677,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.1766,3.1019,91.5248,2.6309,0.0,594.0,387.36,0.0,3.468
wvi,19,path,,UNLABELED,232.72,290.74,235.73,287.67,3.01,3.07,9.2407,8.8536,8.892,234.225,289.205,0.9805,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,94.6909,1.0487,91.3321,3.0108,0.0,594.0,387.36,0.0,8.8536
wvi,20,path,,UNLABELED,236.71,292.45,244.01,286.78,7.3,5.67,41.3911,35.6428,20.7583,240.36,289.615,1.2875,8,1,0,1,rgb,0,0,0,0,none,,,,0.0,7.1984,1.2346,1.622,6.7127,0.0,594.0,387.36,0.0,38.0024
wvi,21,path,,UNLABELED,257.67,313.63,260.29,294.66,2.62,18.97,49.7013,38.234,39.8599,258.98,304.145,0.1381,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.8187,87.6478,91.8174,18.9195,0.0,594.0,387.36,0.0,38.234
wvi,22,path,,UNLABELED,251.37,313.76,254.09,294.59,2.72,19.17,52.1425,40.3437,40.3307,252.73,304.175,0.1419,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.8284,81.9346,91.8292,19.1097,0.0,594.0,387.36,0.0,40.3437
wvi,23,path,,UNLABELED,245.04,313.54,247.76,294.34,2.72,19.2,52.2241,40.4145,40.4003,246.4,303.94,0.1417,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.8267,82.2473,91.8254,19.1497,0.0,594.0,387.36,0.0,40.4145
wvi,24,path,,UNLABELED,263.93,313.86,266.62,294.91,2.69,18.95,50.9756,39.5086,39.8799,265.275,304.385,0.142,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.8202,81.6511,91.8193,18.8995,0.0,594.0,387.36,0.0,39.5086
wvi,25,path,,UNLABELED,270.17,313.73,272.78,295.03,2.61,18.7,48.8068,37.6737,39.2999,271.475,304.38,0.1396,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.8119,85.0444,91.8139,18.6393,0.0,594.0,387.36,0.0,37.6737
wvi,26,path,,UNLABELED,280.67,329.67,301.7,322.65,21.03,7.02,147.6304,73.1211,45.0019,291.185,326.16,2.9957,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,170.1547,34.5743,170.1425,20.7361,0.0,594.0,387.36,0.0,73.1211
wvi,27,path,,UNLABELED,279.18,321.02,300.21,314.03,21.03,6.99,146.9995,72.8056,44.9771,289.695,317.525,3.0086,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,170.198,34.8574,170.1969,20.7327,0.0,594.0,387.36,0.0,72.8056
wvi,28,path,,UNLABELED,243.34,336.28,249.54,332.69,6.2,3.59,22.258,15.369,14.3096,246.44,334.485,1.727,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,170.1878,4.9091,170.1342,5.8363,0.0,594.0,387.36,0.0,15.369
