airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
wvi,0,0,0,104.185,372.915,170.2142,11.3552
wvi,0,0,1,109.585,371.195,75.5183,1.5596
wvi,0,0,2,108.035,370.67,170.3662,2.7488
wvi,0,0,3,106.535,370.9,0.0,0.29
wvi,0,0,4,106.225,370.865,11.9773,0.3373
wvi,0,0,5,105.75,370.715,20.3528,0.6613
wvi,0,0,6,105.15,370.44,28.8871,0.6624
wvi,0,0,7,104.76,370.18,45.0,0.2828
wvi,0,0,8,104.595,369.935,65.8544,0.3178
wvi,0,0,9,104.53,369.61,90.0,0.36
wvi,0,0,10,104.58,369.12,99.1621,0.628
wvi,0,0,11,104.71,368.535,106.2202,0.5728
wvi,0,0,12,104.855,368.045,106.8217,0.4492
wvi,0,0,13,105.035,367.635,120.5293,0.4528
wvi,0,0,14,106.895,364.995,125.5156,6.0077
wvi,0,0,15,108.59,362.5,44.9956,0.1414
wvi,0,0,16,109.355,361.345,126.4109,2.7461
wvi,0,0,17,110.4,359.96,129.4007,0.7247
wvi,0,0,18,110.825,359.47,132.879,0.5731
wvi,0,0,19,111.25,359.065,139.7078,0.6031
wvi,0,0,20,111.775,358.69,148.6095,0.6912
wvi,0,0,21,112.41,358.38,159.075,0.728
wvi,0,0,22,113.14,358.135,163.571,0.8132
wvi,0,0,23,139.035,353.61,170.1901,51.7669
wvi,0,0,24,165.29,349.065,169.7959,1.5241
wvi,0,0,25,166.92,348.785,170.643,1.7837
wvi,0,0,26,168.09,348.64,0.0,0.58
wvi,0,0,27,168.66,348.675,7.1258,0.5644
wvi,0,0,28,169.2,348.79,17.1034,0.544
wvi,0,0,29,169.755,348.985,21.2971,0.6332
wvi,0,0,30,170.26,349.245,34.6227,0.5104
wvi,0,0,31,170.795,349.735,46.7102,0.9479
wvi,0,0,32,169.29,347.195,57.6124,6.8329
wvi,0,0,33,167.5,344.505,78.408,0.3981
wvi,0,0,34,167.52,344.86,97.124,0.3225
wvi,0,0,35,167.455,345.15,109.0931,0.2751
wvi,0,0,36,167.26,345.43,135.0015,0.4243
wvi,0,0,37,166.955,345.715,138.9445,0.4111
wvi,0,0,38,166.57,345.915,164.2184,0.478
wvi,0,0,39,163.84,346.43,169.7961,5.0804
wvi,0,0,40,137.805,351.01,170.0469,47.7892
wvi,0,0,41,113.765,355.225,170.4458,1.0242
wvi,0,0,42,112.8,355.42,166.5513,0.9459
wvi,0,0,43,111.9,355.73,155.5555,0.9666
wvi,0,0,44,110.97,356.17,153.9049,1.0912
wvi,0,0,45,110.19,356.625,143.4481,0.722
wvi,0,0,46,109.555,357.135,139.4664,0.9079
wvi,0,0,47,108.935,357.755,130.2368,0.8515
wvi,0,0,48,108.38,358.405,130.7456,0.858
wvi,0,0,49,107.285,359.82,126.7859,2.722
wvi,0,0,50,106.405,360.865,34.6946,0.1581
wvi,0,0,51,102.575,366.18,125.0852,13.1004
wvi,0,0,52,98.725,371.685,120.3794,0.3361
wvi,0,0,53,98.56,372.03,111.8014,0.4308
wvi,0,0,54,98.465,372.425,94.3985,0.3912
wvi,0,0,55,98.45,372.865,90.0,0.49
wvi,1,0,0,212.325,396.985,98.9182,3.2898
wvi,1,0,1,215.25,393.545,145.7931,6.457
wvi,1,0,2,218.725,387.995,102.1628,7.6415
wvi,1,0,3,219.53,384.2,90.0,0.12
wvi,1,0,4,219.505,384.05,74.4744,0.1868
wvi,1,0,5,213.37,374.16,58.0577,23.0974
wvi,1,0,6,207.2,364.22,66.8022,0.3046
wvi,1,0,7,207.115,363.955,78.6894,0.255
wvi,1,0,8,207.09,363.62,90.0,0.42
wvi,1,0,9,207.125,363.21,99.9249,0.4061
wvi,1,0,10,207.24,362.83,113.9638,0.3939
wvi,1,0,11,207.445,362.495,128.8833,0.3983
wvi,1,0,12,207.675,362.25,139.4008,0.2766
wvi,1,0,13,209.29,361.89,169.862,3.0679
wvi,1,0,14,210.7,360.88,82.304,1.4934
wvi,1,0,15,200.295,361.925,170.1729,20.9169
wvi,1,0,16,190.88,365.12,57.7396,3.3348
wvi,1,0,17,191.765,366.29,88.8072,0.4801
wvi,1,0,18,191.785,365.805,95.8266,0.4926
wvi,1,0,19,191.915,365.37,118.9261,0.4342
wvi,1,0,20,192.155,365.09,146.3092,0.3245
wvi,1,0,21,192.445,364.955,163.8113,0.3228
wvi,1,0,22,195.33,364.41,169.6213,5.5508
wvi,1,0,23,199.605,363.67,171.1703,3.1271
wvi,1,0,24,201.365,363.43,0.0,0.43
wvi,1,0,25,201.81,363.455,6.2019,0.4627
wvi,1,0,26,202.255,363.545,16.8223,0.4492
wvi,1,0,27,202.73,363.7,19.0926,0.5503
wvi,1,0,28,203.155,363.865,24.4452,0.3625
wvi,1,0,29,203.465,364.045,35.9112,0.358
wvi,1,0,30,203.76,364.3,44.9985,0.4243
wvi,1,0,31,204.075,364.68,54.3449,0.5661
wvi,1,0,32,207.94,370.735,57.5765,13.8015
wvi,1,0,33,211.945,377.12,61.4262,1.2753
wvi,1,0,34,212.465,378.18,66.7319,1.0885
wvi,1,0,35,212.735,378.895,75.6504,0.4438
wvi,1,0,36,212.825,379.33,80.9616,0.4455
wvi,1,0,37,212.875,379.78,86.2668,0.461
wvi,1,0,38,212.89,380.255,90.0,0.49
wvi,1,0,39,212.855,380.785,97.0021,0.5743
wvi,1,0,40,212.765,381.415,99.0579,0.6987
wvi,1,0,41,212.62,382.13,103.6707,0.7616
wvi,1,0,42,211.585,387.045,101.7456,9.2844
wvi,1,0,43,210.585,391.745,109.5369,0.3289
wvi,1,0,44,210.415,392.065,124.8765,0.4023
wvi,1,0,45,210.13,392.375,139.5366,0.4469
wvi,1,0,46,209.77,392.595,158.4601,0.4085
wvi,1,0,47,209.385,392.675,178.5298,0.3901
wvi,1,0,48,209.0,392.635,13.3265,0.3905
wvi,1,0,49,208.55,392.44,29.9817,0.6003
wvi,1,0,50,208.11,392.18,31.4279,0.4219
wvi,2,0,0,202.9,294.715,2.0952,7.3849
wvi,2,0,1,206.625,292.775,90.9662,4.1506
