airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
5c1,0,path,,UNLABELED,125.64,250.86,158.79,248.42,33.15,2.44,80.8861,54.3942,60.13,142.215,249.64,13.5861,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.782,379.4631,179.2394,32.3928,0.0,594.0,387.36,0.0,58.1066
5c1,1,path,,UNLABELED,217.53,493.72,221.89,489.85,4.36,3.87,16.8732,13.6129,12.5529,219.71,491.785,1.1266,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.5114,1.7367,89.2592,2.3202,0.0,594.0,387.36,0.0,14.6409
5c1,2,path,,UNLABELED,207.72,493.11,217.56,490.7,9.84,2.41,23.7144,21.6439,23.7768,212.64,491.905,4.083,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.1097,19.226,179.7062,9.7501,0.0,594.0,387.36,0.0,21.6439
5c1,3,path,,UNLABELED,238.47,278.1,242.24,271.67,3.77,6.43,24.2411,17.1609,13.0224,240.355,274.885,0.5863,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.1248,4.0613,96.3636,2.7067,0.0,594.0,387.36,0.0,18.2493
5c1,4,path,,UNLABELED,230.52,276.16,235.62,271.37,5.1,4.79,24.429,12.9618,14.3792,233.07,273.765,1.0647,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.9547,1.4508,96.0774,4.8171,0.0,594.0,387.36,0.0,17.3845
5c1,5,path,,UNLABELED,250.36,173.37,259.23,105.45,8.87,67.92,602.4492,135.1475,139.9301,254.795,139.41,0.1306,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.8315,2776.9944,96.0456,68.0786,0.0,594.0,387.36,0.0,135.5397
5c1,6,path,,UNLABELED,209.76,274.2,214.26,268.94,4.5,5.26,23.67,16.0163,16.6664,212.01,271.57,0.8555,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.9373,1.6823,6.0959,2.0717,0.0,594.0,387.36,0.0,17.8806
5c1,7,path,,UNLABELED,214.08,274.03,225.65,270.94,11.57,3.09,35.7513,21.9601,24.8005,219.865,272.485,3.7443,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,5.9268,35.5298,5.9147,11.451,0.0,594.0,387.36,0.0,21.9601
5c1,8,path,,UNLABELED,210.29,269.16,215.89,234.38,5.6,34.78,194.7682,71.9652,38.8832,213.09,251.77,0.161,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.8472,281.4264,95.8485,34.7408,0.0,594.0,387.36,0.0,71.9652
5c1,9,path,,UNLABELED,249.53,488.13,256.32,403.56,6.79,84.57,574.231,138.5183,172.6597,252.925,445.845,0.0803,38,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.7061,959.897,96.3971,45.5939,0.0,594.0,387.36,0.0,234.4449
5c1,10,path,,UNLABELED,218.83,489.9,220.94,481.26,2.11,8.64,18.2304,15.7687,14.204,219.885,485.58,0.2442,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.1917,14.2329,89.4168,7.8604,0.0,594.0,387.36,0.0,17.3737
5c1,11,path,,UNLABELED,217.0,481.33,221.47,474.53,4.47,6.8,30.396,21.9831,20.5437,219.235,477.93,0.6574,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.237,3.8929,94.7062,4.144,0.0,594.0,387.36,0.0,24.7714
5c1,12,path,,UNLABELED,207.97,490.77,217.34,476.6,9.37,14.17,132.7728,33.3364,21.7447,212.655,483.685,0.6613,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.3188,33.4636,131.7399,13.4285,0.0,594.0,387.36,0.0,33.3364
5c1,13,path,,UNLABELED,222.6,351.5,226.83,345.38,4.23,6.12,25.8876,12.2601,16.6467,224.715,348.44,0.6912,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.7078,2.2061,95.97,6.1534,0.0,594.0,387.36,0.0,15.8747
5c1,14,path,,UNLABELED,230.31,353.21,235.38,345.01,5.07,8.2,41.574,28.0196,23.1946,232.845,349.11,0.6183,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.7913,2.1239,96.6565,4.3997,0.0,594.0,387.36,0.0,31.9158
5c1,15,path,,UNLABELED,232.25,345.06,241.52,277.73,9.27,67.33,624.1495,135.528,138.3986,236.885,311.395,0.1377,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.58,1081.7046,95.9859,66.2613,0.0,594.0,387.36,0.0,143.4617
5c1,16,path,,UNLABELED,239.71,271.92,244.72,247.23,5.01,24.69,123.6968,71.5486,45.621,242.215,259.575,0.2029,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.6569,33.4408,95.9866,13.4232,0.0,594.0,387.36,0.0,83.6785
5c1,17,path,,UNLABELED,214.4,429.55,220.14,422.9,5.74,6.65,38.1711,19.3921,19.9703,217.27,426.225,0.8632,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.2072,2.1817,93.6705,2.6554,0.0,594.0,387.36,0.0,26.1963
5c1,18,path,,UNLABELED,222.53,433.25,226.52,421.01,3.99,12.24,48.8377,31.2895,17.4165,224.525,427.13,0.326,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.9086,19.0526,95.8524,4.021,0.0,594.0,387.36,0.0,33.908
5c1,19,path,,UNLABELED,221.83,493.33,248.05,490.37,26.22,2.96,77.6112,51.2342,54.8172,234.94,491.85,8.8581,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.7253,82.5975,178.6407,5.9017,0.0,594.0,387.36,0.0,64.5037
5c1,20,path,,UNLABELED,226.73,402.07,231.72,395.76,4.99,6.31,31.487,19.6867,18.8938,229.225,398.915,0.7908,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.054,3.9244,95.97,6.1534,0.0,594.0,387.36,0.0,23.193
5c1,21,path,,UNLABELED,227.37,395.93,233.57,352.83,6.2,43.1,267.2199,80.3762,86.0175,230.47,374.38,0.1439,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.6613,355.995,95.2874,31.253,0.0,594.0,387.36,0.0,88.822
5c1,22,path,,UNLABELED,241.77,352.39,245.83,349.73,4.06,2.66,10.7996,8.6341,11.5363,243.8,351.06,1.5263,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.0693,3.4011,5.6728,3.0349,0.0,594.0,387.36,0.0,8.7404
5c1,23,path,,UNLABELED,235.2,351.49,241.95,349.09,6.75,2.4,16.2,11.1019,14.8938,238.575,350.29,2.8125,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,6.4618,12.2598,5.7105,6.3314,0.0,594.0,387.36,0.0,11.3633
5c1,24,path,,UNLABELED,245.7,352.17,249.77,350.12,4.07,2.05,8.3435,6.5969,9.592,247.735,351.145,1.9854,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.2529,5.3604,5.509,3.9583,0.0,594.0,387.36,0.0,6.715
5c1,25,path,,UNLABELED,249.57,353.83,254.08,350.5,4.51,3.33,15.0183,10.8439,13.4501,251.825,352.165,1.3544,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.6817,4.6126,5.6975,4.3314,0.0,594.0,387.36,0.0,11.6576
5c1,26,path,,UNLABELED,244.83,402.29,248.29,398.44,3.46,3.85,13.321,10.3192,10.8826,246.56,400.365,0.8987,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.8559,1.659,7.0594,3.2547,0.0,594.0,387.36,0.0,10.8031
5c1,27,path,,UNLABELED,240.78,401.89,245.12,398.8,4.34,3.09,13.4106,10.8183,10.8122,242.95,400.345,1.4045,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,9.2578,2.0554,5.926,3.9712,0.0,594.0,387.36,0.0,10.8822
5c1,28,path,,UNLABELED,237.25,401.43,241.05,396.93,3.8,4.5,17.1,12.715,14.612,239.15,399.18,0.8444,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,62.5187,1.3778,94.4609,2.8286,0.0,594.0,387.36,0.0,13.6161
5c1,29,path,,UNLABELED,231.51,401.07,237.47,397.84,5.96,3.23,19.2509,15.2848,17.0403,234.49,399.455,1.8452,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,170.9181,4.5946,5.8806,5.3682,0.0,594.0,387.36,0.0,15.7737
5c1,30,path,,UNLABELED,247.95,494.77,251.43,488.11,3.48,6.66,23.1768,18.5996,16.551,249.69,491.44,0.5225,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.4072,4.6367,89.6407,3.1901,0.0,594.0,387.36,0.0,19.5822
5c1,31,path,,UNLABELED,249.69,509.47,251.52,494.77,1.83,14.7,26.901,25.489,25.6205,250.605,502.12,0.1245,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.278,58.0644,89.6371,14.2103,0.0,594.0,387.36,0.0,25.5442
5c1,32,path,,UNLABELED,219.02,474.54,225.43,433.03,6.41,41.51,266.0793,90.3986,85.3502,222.225,453.785,0.1544,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.3401,182.5375,96.0014,23.72,0.0,594.0,387.36,0.0,93.2359
5c1,33,path,,UNLABELED,224.72,421.17,228.44,401.88,3.72,19.29,71.7589,33.3388,36.5881,226.58,411.525,0.1928,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.4458,105.1375,95.9981,19.2353,0.0,594.0,387.36,0.0,33.8908
5c1,34,path,,UNLABELED,248.06,402.88,252.96,400.34,4.9,2.54,12.446,8.5109,11.4354,250.51,401.61,1.9291,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.5931,7.8243,7.2158,4.6972,0.0,594.0,387.36,0.0,9.3461
5c1,35,path,,UNLABELED,254.05,399.91,259.95,354.6,5.9,45.31,267.3287,57.5082,90.8356,257.0,377.255,0.1302,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.717,865.1106,95.7293,42.6732,0.0,594.0,387.36,0.0,60.2819
5c1,36,path,,UNLABELED,165.54,482.4,188.67,478.43,23.13,3.97,91.8261,45.5229,48.0219,177.105,480.415,5.8262,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.5087,58.2669,5.0307,8.5529,0.0,594.0,387.36,0.0,53.5057
5c1,37,path,,UNLABELED,168.84,447.17,207.94,440.5,39.1,6.67,260.797,93.9935,87.9254,188.39,443.835,5.8621,33,1,0,1,rgb,207,207,207,0,none,,,,0.0,4.1753,70.3491,5.9084,17.5834,0.0,594.0,387.36,0.0,162.2788
5c1,38,path,,UNLABELED,177.1,418.78,210.96,410.73,33.86,8.05,272.5731,96.7882,78.5677,194.03,414.755,4.2062,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,4.8577,19.0428,5.9278,31.7598,0.0,594.0,387.36,0.0,157.1666
5c1,39,path,,UNLABELED,171.29,367.0,177.36,361.59,6.07,5.41,32.8388,19.6615,19.9631,174.325,364.295,1.122,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,6.2341,1.4665,5.3892,2.1294,0.0,594.0,387.36,0.0,24.2651
5c1,40,path,,UNLABELED,168.72,407.93,174.36,374.17,5.64,33.76,190.4063,71.745,38.2117,171.54,391.05,0.1671,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,95.3715,256.0319,95.9975,33.7849,0.0,594.0,387.36,0.0,72.3243
5c1,41,path,,UNLABELED,200.91,359.27,211.82,273.99,10.91,85.28,930.4051,171.2204,175.2011,206.365,316.63,0.1279,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.2667,1437.6408,95.9882,85.215,0.0,594.0,387.36,0.0,174.0439
5c1,42,path,,UNLABELED,150.69,365.21,155.52,360.52,4.83,4.69,22.6527,12.4487,14.6865,153.105,362.865,1.0299,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,41.451,1.9453,89.1697,2.0702,0.0,594.0,387.36,0.0,15.9837
5c1,43,path,,UNLABELED,155.52,365.18,171.43,362.38,15.91,2.8,44.5481,26.6355,35.1998,163.475,363.78,5.6821,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.4659,40.0932,179.0962,11.4114,0.0,594.0,387.36,0.0,33.2971
5c1,44,path,,UNLABELED,198.32,364.42,202.9,359.13,4.58,5.29,24.2282,12.9521,14.6801,200.61,361.775,0.8658,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.7939,2.1671,95.9953,2.202,0.0,594.0,387.36,0.0,16.0458
5c1,45,path,,UNLABELED,177.23,364.67,198.45,362.23,21.22,2.44,51.7769,35.5275,28.1786,187.84,363.45,8.6967,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.9164,77.4915,178.588,14.2043,0.0,594.0,387.36,0.0,43.5618
5c1,46,path,,UNLABELED,116.95,298.76,123.64,293.93,6.69,4.83,32.3128,17.5975,14.3885,120.295,296.345,1.3851,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,3.8384,3.3322,89.3054,1.6501,0.0,594.0,387.36,0.0,23.6756
5c1,47,path,,UNLABELED,88.76,299.49,116.97,297.11,28.21,2.38,67.1399,46.5192,31.5001,102.865,298.3,11.8529,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.5146,291.7986,178.5167,28.1995,0.0,594.0,387.36,0.0,46.5192
5c1,48,path,,UNLABELED,149.79,360.55,152.52,303.55,2.73,57.0,155.6106,104.207,116.4763,151.155,332.05,0.0479,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.8947,812.9715,89.0877,55.8971,0.0,594.0,387.36,0.0,104.2074
5c1,49,path,,UNLABELED,121.22,252.47,125.69,247.1,4.47,5.37,24.004,15.052,16.6506,123.455,249.785,0.8324,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.1495,3.2645,94.2565,5.2545,0.0,594.0,387.36,0.0,18.3401
5c1,50,path,,UNLABELED,121.61,247.15,123.91,217.47,2.3,29.68,68.2641,47.7197,60.0466,122.76,232.31,0.0775,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.4246,175.7572,88.5892,17.4653,0.0,594.0,387.36,0.0,56.807
5c1,51,path,,UNLABELED,118.69,293.98,122.96,252.39,4.27,41.59,177.5891,69.8256,73.3997,120.825,273.185,0.1027,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.4882,322.6956,95.0756,19.2153,0.0,594.0,387.36,0.0,86.1004
5c1,52,path,,UNLABELED,158.73,250.02,161.95,246.78,3.22,3.24,10.4327,8.6205,8.9028,160.34,248.4,0.9938,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,113.044,1.3764,179.3843,1.8601,0.0,594.0,387.36,0.0,9.1434
5c1,53,path,,UNLABELED,159.87,246.8,161.91,233.98,2.04,12.82,26.1527,23.867,27.4626,160.89,240.39,0.1591,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.2161,47.0677,89.2391,12.8011,0.0,594.0,387.36,0.0,23.867
5c1,54,path,,UNLABELED,146.1,303.63,151.56,296.32,5.46,7.31,39.9126,14.9768,20.8982,148.83,299.975,0.7469,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.7007,5.8108,86.0175,3.1677,0.0,594.0,387.36,0.0,22.5763
