airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
5c1,0,0,0,158.76,249.22,87.8525,1.6011
5c1,0,0,1,158.57,248.46,165.9612,0.3299
5c1,0,0,2,158.245,248.52,173.0926,0.3324
5c1,0,0,3,141.885,248.755,179.2394,32.3928
5c1,0,0,4,125.665,249.885,91.5652,1.8307
5c1,0,0,5,126.09,250.83,3.8139,0.902
5c1,0,0,6,137.905,250.505,178.2109,22.7411
5c1,1,0,0,220.925,493.34,87.3163,0.6407
5c1,1,0,1,221.4,493.005,178.2467,0.9805
5c1,1,0,2,221.86,492.05,88.1721,1.881
5c1,1,0,3,221.675,491.0,35.3619,0.3801
5c1,1,0,4,221.38,490.745,46.0053,0.4031
5c1,1,0,5,221.125,490.435,55.1253,0.4022
5c1,1,0,6,220.92,490.085,64.0569,0.4115
5c1,1,0,7,219.83,489.875,1.432,2.0006
5c1,1,0,8,218.78,489.97,112.6213,0.26
5c1,1,0,9,218.66,490.2,122.4709,0.2608
5c1,1,0,10,218.51,490.405,130.0996,0.2484
5c1,1,0,11,218.34,490.585,136.6369,0.2476
5c1,1,0,12,217.89,490.685,177.6142,0.7206
5c1,1,0,13,217.545,491.86,89.2592,2.3202
5c1,1,0,14,217.62,493.005,165.9655,0.1237
5c1,1,0,15,217.74,492.98,170.5353,0.1217
5c1,1,0,16,217.865,492.98,8.7477,0.1315
5c1,1,0,17,217.985,493.005,15.2544,0.114
5c1,1,0,18,218.1,493.05,26.5651,0.1342
5c1,1,0,19,218.21,493.12,38.6587,0.1281
5c1,1,0,20,218.305,493.205,45.0,0.1273
5c1,1,0,21,218.39,493.305,53.9722,0.136
5c1,1,0,22,218.46,493.425,65.2266,0.1432
5c1,1,0,23,218.51,493.555,72.8996,0.136
5c1,1,0,24,218.53,493.67,90.0,0.1
5c1,2,0,0,217.545,491.86,89.2592,2.3202
5c1,2,0,1,212.735,490.855,178.1486,9.595
5c1,2,0,2,207.83,492.06,95.9806,2.1115
5c1,2,0,3,212.595,493.085,179.7062,9.7501
5c1,3,0,0,242.075,273.445,98.1249,0.0707
5c1,3,0,1,242.16,272.665,96.1293,1.4986
5c1,3,0,2,241.175,271.795,6.6942,2.1446
5c1,3,0,3,240.08,271.94,96.3398,0.5433
5c1,3,0,4,239.985,272.33,118.442,0.2729
5c1,3,0,5,239.845,272.555,125.5404,0.2581
5c1,3,0,6,239.68,272.75,135.0,0.2545
5c1,3,0,7,239.49,272.915,143.1252,0.25
5c1,3,0,8,239.28,273.045,153.4381,0.246
5c1,3,0,9,238.97,273.135,170.073,0.4061
5c1,3,0,10,238.62,274.515,96.3636,2.7067
5c1,3,0,11,238.595,275.93,29.2461,0.2865
5c1,3,0,12,238.835,276.095,39.5587,0.2983
5c1,3,0,13,239.045,276.3,49.1847,0.2907
5c1,3,0,14,239.225,276.54,56.8228,0.3107
5c1,3,0,15,239.375,276.81,65.0969,0.3087
5c1,3,0,16,239.48,277.105,75.5293,0.3202
5c1,3,0,17,239.495,277.495,96.0728,0.4727
5c1,3,0,18,240.495,277.915,10.2309,2.0831
5c1,4,0,0,235.465,274.185,96.9313,2.5688
5c1,4,0,1,233.845,272.77,4.5097,3.561
5c1,4,0,2,231.785,272.34,45.4995,0.8132
5c1,4,0,3,231.265,271.71,55.3483,0.8266
5c1,4,0,4,230.775,273.765,96.0774,4.8171
5c1,4,0,5,230.6,276.025,120.647,0.3139
5c1,4,0,6,230.775,275.77,128.369,0.3061
5c1,4,0,7,230.985,275.55,138.9887,0.3048
5c1,4,0,8,231.225,275.37,147.3802,0.2968
5c1,4,0,9,231.48,275.235,157.0714,0.2823
5c1,4,0,10,231.75,275.145,165.9623,0.2886
5c1,5,0,0,254.155,157.33,95.9521,26.9051
5c1,5,0,1,255.665,142.73,95.3852,2.4508
5c1,5,0,2,255.975,139.485,95.5002,4.0687
5c1,5,0,3,256.305,136.07,95.5477,2.7931
5c1,5,0,4,256.535,133.685,95.454,1.999
5c1,5,0,5,256.75,131.4,95.3143,2.5912
5c1,5,0,6,256.96,129.22,95.7741,1.7891
5c1,5,0,7,257.16,127.165,95.394,2.3403
5c1,5,0,8,257.37,124.95,95.4406,2.1095
5c1,5,0,9,257.57,122.835,95.3637,2.1394
5c1,5,0,10,257.775,120.69,95.5535,2.1702
5c1,5,0,11,257.985,118.505,95.4279,2.2199
5c1,5,0,12,258.19,116.39,95.6547,2.0299
5c1,5,0,13,258.37,114.505,95.2231,1.7573
5c1,5,0,14,258.555,112.575,95.6843,2.1204
5c1,5,0,15,258.74,110.66,95.3147,1.7274
5c1,5,0,16,258.92,108.75,95.4398,2.1095
5c1,5,0,17,259.1,106.9,95.7108,1.608
5c1,5,0,18,259.205,105.845,95.5979,0.5125
5c1,5,0,19,258.38,105.52,4.7084,1.7057
5c1,5,0,20,253.945,139.3,96.0456,68.0786
5c1,5,0,21,251.42,173.26,5.9246,2.1314
5c1,5,0,22,252.55,172.74,96.3401,1.2678
5c1,5,0,23,252.58,171.85,81.2535,0.5261
5c1,5,0,24,252.53,171.52,81.869,0.1414
5c1,5,0,25,252.525,171.37,93.5797,0.1603
5c1,5,0,26,252.545,171.21,100.621,0.1628
5c1,5,0,27,252.585,171.055,108.4332,0.1581
5c1,5,0,28,252.645,170.91,116.5651,0.1565
5c1,6,0,0,214.17,271.895,95.3835,1.9185
5c1,6,0,1,214.05,270.915,6.7874,0.423
5c1,6,0,2,213.67,270.825,20.9254,0.364
5c1,6,0,3,213.34,270.655,33.2745,0.3827
5c1,6,0,4,213.04,270.42,42.8801,0.3821
5c1,6,0,5,212.78,270.135,52.2523,0.392
5c1,6,0,6,212.565,269.805,61.5045,0.3983
5c1,6,0,7,212.405,269.435,71.5637,0.4111
5c1,6,0,8,212.345,269.2,97.1304,0.0806
5c1,6,0,9,211.32,269.05,6.0959,2.0717
5c1,6,0,10,210.21,269.725,95.8191,1.5781
5c1,6,0,11,210.12,270.51,0.0,0.02
5c1,6,0,12,210.01,271.465,95.9777,1.9204
5c1,6,0,13,209.835,273.205,95.4579,1.5772
5c1,6,0,14,210.79,274.095,5.8205,2.0707
5c1,6,0,15,211.825,274.18,104.026,0.0412
5c1,6,0,16,211.885,274.005,109.5369,0.3289
5c1,6,0,17,212.015,273.715,119.0546,0.3089
5c1,6,0,18,212.185,273.455,127.2352,0.314
5c1,6,0,19,212.39,273.23,137.7247,0.2973
5c1,6,0,20,212.625,273.05,147.3802,0.2968
5c1,6,0,21,212.885,272.915,157.8366,0.2915
5c1,6,0,22,213.16,272.83,167.9057,0.2864
5c1,6,0,23,213.44,272.8,0.0,0.28
5c1,6,0,24,213.695,272.81,4.9671,0.2309
5c1,7,0,0,219.955,271.53,5.9147,11.451
5c1,7,0,1,214.17,271.895,95.3839,1.9185
5c1,7,0,2,219.765,273.44,5.925,11.4311
5c1,8,0,0,214.86,234.485,5.8205,2.0707
5c1,8,0,1,212.06,251.66,95.8485,34.7408
5c1,8,0,2,211.32,269.05,6.0959,2.0717
5c1,9,0,0,251.38,487.615,90.0,0.99
5c1,9,0,1,251.375,486.44,89.5789,1.36
5c1,9,0,2,251.355,484.02,89.5061,3.4801
5c1,9,0,3,251.335,481.285,89.7118,1.99
5c1,9,0,4,251.32,479.07,89.5303,2.4401
5c1,9,0,5,251.305,476.755,89.7385,2.19
5c1,9,0,6,251.28,472.95,89.5772,5.4202
5c1,9,0,7,251.26,470.145,90.0,0.19
5c1,9,0,8,251.29,461.025,90.1904,18.0501
5c1,9,0,9,251.58,449.015,94.9781,5.9926
5c1,9,0,10,252.28,441.88,96.0521,8.3465
5c1,9,0,11,252.81,436.855,95.8729,1.7592
5c1,9,0,12,253.065,434.41,95.9995,3.1573
5c1,9,0,13,253.42,431.05,96.0588,3.6001
5c1,9,0,14,253.72,428.225,96.0667,2.0817
5c1,9,0,15,253.915,426.415,96.259,1.5593
5c1,9,0,16,254.11,424.565,95.8425,2.1612
5c1,9,0,17,254.41,421.705,96.0759,3.5902
5c1,9,0,18,254.675,419.215,96.0722,1.418
5c1,9,0,19,254.895,417.135,96.02,2.7652
5c1,9,0,20,255.165,414.595,96.1242,2.3434
5c1,9,0,21,255.38,412.575,96.0087,1.7195
5c1,9,0,22,255.81,408.495,96.0182,6.4857
5c1,9,0,23,256.22,404.625,96.1945,1.2976
5c1,9,0,24,256.305,403.85,96.5818,0.2617
5c1,9,0,25,255.615,403.64,6.4741,1.4191
