airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ack,0,path,,UNLABELED,41.7,396.6,238.63,199.81,196.93,196.79,38753.8542,1759.4066,284.8721,140.165,298.205,1.0007,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,44.9777,1766.4825,44.9777,271.9321,0.0,594.0,387.36,0.0,1759.4066
ack,1,path,,UNLABELED,147.15,306.36,166.95,292.65,19.8,13.71,271.4579,46.4727,53.4657,157.05,299.505,1.4442,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.5348,4.7867,163.2567,9.9624,0.0,594.0,387.36,0.0,106.9893
ack,2,path,,UNLABELED,277.44,260.52,303.31,247.45,25.87,13.07,338.121,113.7139,67.2408,290.375,253.985,1.9793,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,150.1752,3.0249,162.5849,15.1023,0.0,594.0,387.36,0.0,187.4418
ack,3,path,,UNLABELED,166.31,294.71,278.07,258.32,111.76,36.39,4066.945,250.7169,234.7682,222.19,276.515,3.0712,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,162.8324,2911.0921,162.8332,116.3118,0.0,594.0,387.36,0.0,250.7169
ack,4,path,,UNLABELED,155.3591,389.2729,155.3591,389.2729,0.0,0.0,0.0,0.0,0.0,155.3591,389.2729,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
ack,5,path,,UNLABELED,153.06,390.98,155.36,388.81,2.3,2.17,4.991,1.703,6.3247,154.21,389.895,1.0599,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.8678,13.5759,136.3092,2.4755,0.0,594.0,387.36,0.0,1.703
ack,6,path,,UNLABELED,151.89,389.75,154.08,387.58,2.19,2.17,4.7523,1.5761,6.1666,152.985,388.665,1.0092,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,137.7382,14.8505,135.8304,2.4398,0.0,594.0,387.36,0.0,1.5761
ack,7,path,,UNLABELED,52.22,345.61,137.49,249.5,85.27,96.11,8195.3007,1406.2768,277.573,94.855,297.555,0.8872,49,1,0,1,rgb,207,207,207,0,none,,,,0.0,50.6687,48.1661,44.8574,53.9736,0.0,594.0,387.36,0.0,2064.1953
ack,8,path,,UNLABELED,165.468,328.062,165.468,328.062,0.0,0.0,0.0,0.0,0.0,165.468,328.062,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
ack,9,path,,UNLABELED,31.01,373.69,190.1,204.39,159.09,169.3,26933.937,978.7319,656.6446,110.555,289.04,0.9397,165,1,0,1,rgb,207,207,207,0,none,,,,0.0,44.2646,86.5015,44.9822,91.1602,0.0,594.0,387.36,0.0,4498.954
ack,10,path,,UNLABELED,115.35,331.68,141.86,305.7,26.51,25.98,688.7303,90.9016,78.2031,128.605,318.69,1.0204,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,44.661,19.5188,44.876,19.6152,0.0,594.0,387.36,0.0,144.0138
ack,11,path,,UNLABELED,129.36,376.8,181.25,330.46,51.89,46.34,2404.5839,759.3239,179.3379,155.305,353.63,1.1198,43,1,0,1,rgb,207,207,207,0,none,,,,0.0,38.4546,8.2427,44.9717,28.6378,0.0,594.0,387.36,0.0,1021.5909
ack,12,compound,,UNLABELED,128.84,414.35,234.06,366.59,105.22,47.76,5025.3067,1056.2748,553.7468,181.45,390.47,2.2031,90,2,0,1,rgb,207,207,207,0,none,,,,0.0,3.1888,3.7965,45.1822,40.0224,0.0,594.0,387.36,0.0,3392.259
ack,13,path,,UNLABELED,235.61,331.96,238.47,329.1,2.86,2.86,8.1796,2.116,4.7873,237.04,330.53,1.0,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,135.0002,9.9423,124.1501,3.4559,0.0,594.0,387.36,0.0,2.208
ack,14,path,,UNLABELED,285.03,285.33,287.89,282.47,2.86,2.86,8.1795,2.1159,4.7873,286.46,283.9,1.0,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,135.0,9.9424,124.1501,3.4559,0.0,594.0,387.36,0.0,2.208
ack,15,path,,UNLABELED,95.24,245.87,98.1,243.01,2.86,2.86,8.1796,2.116,4.7873,96.67,244.44,1.0,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,44.9998,9.9423,34.1499,3.4559,0.0,594.0,387.36,0.0,2.208
ack,16,path,,UNLABELED,78.06,249.42,80.91,246.57,2.85,2.85,8.1225,2.0954,4.7737,79.485,247.995,1.0,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,45.0128,9.9812,34.2432,3.4476,0.0,594.0,387.36,0.0,2.1892
ack,17,path,,UNLABELED,202.12,372.2,204.98,369.34,2.86,2.86,8.1796,2.116,4.7874,203.55,370.77,1.0,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,45.0,9.9422,34.1499,3.4559,0.0,594.0,387.36,0.0,2.208
ack,18,path,,UNLABELED,232.25,335.32,236.97,330.6,4.72,4.72,22.2784,0.0,6.6751,234.61,332.96,1.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,135.0,1000000.0,135.0,6.6751,0.0,594.0,387.36,0.0,0.0
