airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
adq,0,path,,UNLABELED,150.13,390.24,183.12,353.3,32.99,36.94,1218.6503,165.3463,106.2471,166.625,371.77,0.8931,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.0648,40.544,52.569,39.6179,0.0,594.0,387.36,0.0,347.0468
adq,1,path,,UNLABELED,75.58,349.87,292.52,105.79,216.94,244.08,52950.7158,3096.0141,1184.2327,184.05,227.83,0.8888,97,1,0,1,rgb,207,207,207,0,none,,,,0.0,125.7918,2.4903,177.6387,138.1073,0.0,594.0,387.36,0.0,35470.359
adq,2,path,,UNLABELED,43.43,405.48,120.63,354.62,77.2,50.86,3926.3907,1149.8669,269.9285,82.03,380.05,1.5179,58,1,0,1,rgb,207,207,207,0,none,,,,0.0,153.8747,4.38,177.0574,29.609,0.0,594.0,387.36,0.0,2610.8763
adq,3,compound,,UNLABELED,250.36,437.22,253.51,432.36,3.15,4.86,15.309,5.7257,22.441,251.935,434.79,0.6481,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0041,2.6288,74.9817,0.4245,0.0,594.0,387.36,0.0,12.1844
adq,4,path,,UNLABELED,254.24,433.05,254.93,432.36,0.69,0.69,0.4761,0.3599,2.1412,254.585,432.705,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.1531,1.1046,12.0943,0.1432,0.0,594.0,387.36,0.0,0.3599
adq,5,path,,UNLABELED,255.8,437.22,258.74,432.45,2.94,4.77,14.0238,5.2062,20.6974,257.27,434.835,0.6164,47,1,0,1,rgb,0,0,0,0,none,,,,0.0,100.945,1.9519,51.1736,3.2219,0.0,594.0,387.36,0.0,12.9746
adq,6,compound,,UNLABELED,259.32,437.06,261.4,434.98,2.08,2.08,4.3264,2.4103,10.0169,260.36,436.02,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1617,1.1226,10.5396,0.4374,0.0,594.0,387.36,0.0,3.3589
adq,7,path,,UNLABELED,263.35,437.22,269.82,432.28,6.47,4.94,31.9618,9.0206,33.1009,266.585,434.75,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.0744,1.2609,67.9712,5.1457,0.0,594.0,387.36,0.0,22.2296
adq,8,compound,,UNLABELED,221.6,443.58,226.02,438.75,4.42,4.83,21.3486,5.9874,22.3124,223.81,441.165,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2258,1.2406,65.4132,5.3116,0.0,594.0,387.36,0.0,10.6743
adq,9,path,,UNLABELED,226.42,443.57,230.42,438.56,4.0,5.01,20.04,7.4867,27.5523,228.42,441.065,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7473,1.7657,133.053,4.9951,0.0,594.0,387.36,0.0,19.22
adq,10,path,,UNLABELED,231.23,443.57,235.23,438.56,4.0,5.01,20.04,7.503,27.5555,233.23,441.065,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.8116,1.7678,132.969,4.9882,0.0,594.0,387.36,0.0,19.22
adq,11,path,,UNLABELED,235.96,443.35,239.36,438.67,3.4,4.68,15.9119,6.0313,22.1309,237.66,441.01,0.7265,51,1,0,1,rgb,0,0,0,0,none,,,,0.0,105.3568,1.3766,90.0,2.91,0.0,594.0,387.36,0.0,14.7359
adq,12,compound,,UNLABELED,239.63,443.58,244.06,438.75,4.43,4.83,21.3969,5.9903,22.3405,241.845,441.165,0.9172,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.888,1.2328,65.3152,5.3158,0.0,594.0,387.36,0.0,10.6984
