airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
akr,0,path,,UNLABELED,50.69,265.57,60.41,219.89,9.72,45.68,444.0094,234.9619,95.9555,55.55,242.73,0.2128,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.2211,77.0204,84.1739,45.4146,0.0,594.0,387.36,0.0,234.9619
akr,1,path,,UNLABELED,337.25,455.22,348.64,436.34,11.39,18.88,215.0435,44.6433,42.5876,342.945,445.78,0.6033,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,117.8884,83.1924,117.8457,20.2102,0.0,594.0,387.36,0.0,44.6433
akr,2,path,,UNLABELED,69.42,311.47,80.37,293.96,10.95,17.51,191.7346,61.6435,39.0204,74.895,302.715,0.6254,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.1756,26.3352,116.1337,17.822,0.0,594.0,387.36,0.0,61.6435
akr,3,path,,UNLABELED,118.06,337.48,129.59,319.18,11.53,18.3,210.9992,64.1672,41.0592,123.825,328.33,0.6301,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.7867,30.3714,116.8781,18.8235,0.0,594.0,387.36,0.0,64.1672
akr,4,path,,UNLABELED,132.9,368.9,145.37,349.8,12.47,19.1,238.1771,65.7566,43.2133,139.135,359.35,0.6529,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,118.6918,36.7212,118.7089,19.9642,0.0,594.0,387.36,0.0,65.7566
akr,5,path,,UNLABELED,182.4,385.62,199.62,355.57,17.22,30.05,517.4611,110.6608,67.1188,191.01,370.595,0.573,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.2847,83.7605,116.292,31.9001,0.0,594.0,387.36,0.0,110.6608
akr,6,path,,UNLABELED,163.88,402.26,214.4,373.94,50.52,28.32,1430.7269,161.9784,113.9425,189.14,388.1,1.7839,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,27.6118,361.7809,27.5985,55.5395,0.0,594.0,387.36,0.0,161.9784
akr,7,path,,UNLABELED,156.17,406.58,172.1,378.84,15.93,27.74,441.8985,78.37,62.2369,164.135,392.71,0.5743,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,117.0955,128.8451,117.0029,29.8434,0.0,594.0,387.36,0.0,78.37
akr,8,path,,UNLABELED,165.97,406.3,179.52,382.66,13.55,23.64,320.3221,57.7384,52.9832,172.745,394.48,0.5732,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,117.0364,124.109,116.9989,25.398,0.0,594.0,387.36,0.0,57.7384
akr,9,path,,UNLABELED,173.61,408.1,186.29,386.7,12.68,21.4,271.3523,57.9799,48.0384,179.95,397.4,0.5925,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,117.2154,79.8716,117.3075,22.7785,0.0,594.0,387.36,0.0,57.9799
