airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
alw,0,0,0,201.28,262.615,55.0793,7.2322
alw,0,0,1,197.58,261.665,128.9705,5.1835
alw,0,0,2,194.61,264.735,141.7864,3.4109
alw,0,0,3,194.59,267.57,53.4404,4.4321
alw,0,0,4,197.305,268.375,145.0497,3.4039
alw,1,0,0,164.34,205.195,142.6596,5.3582
alw,1,0,1,163.295,199.215,53.9062,10.779
alw,1,0,2,158.1,196.57,139.7511,5.2932
alw,1,0,3,156.34,198.975,69.4892,1.4841
alw,1,0,4,156.25,200.1,129.1443,1.1089
alw,1,0,5,158.04,203.47,53.9495,7.2727
alw,1,0,6,160.715,206.205,159.034,1.1459
alw,2,0,0,194.89,270.14,142.242,2.5803
alw,2,0,1,194.59,267.57,53.4406,4.4321
alw,2,0,2,192.19,266.51,146.3097,2.596
alw,2,0,3,188.215,268.345,158.9359,6.2046
alw,2,0,4,184.85,269.07,39.6853,1.2215
alw,2,0,5,187.355,272.74,53.7675,10.0666
alw,2,0,6,190.14,276.295,69.3818,1.0791
alw,3,0,0,247.69,319.23,145.0253,5.443
alw,3,0,1,248.51,315.73,53.9902,4.7965
alw,3,0,2,245.805,311.78,57.2071,4.7821
alw,3,0,3,242.19,311.485,143.5273,5.7701
alw,3,0,4,240.005,313.54,68.3446,0.7316
alw,3,0,5,239.78,314.325,128.9715,1.1448
alw,3,0,6,241.525,317.7,54.3054,7.2155
alw,3,0,7,244.185,320.41,158.3767,1.194
alw,4,0,0,283.565,363.56,53.1266,0.05
alw,4,0,1,279.4,357.92,53.5566,13.9724
alw,4,0,2,268.53,343.1,53.8543,22.7858
alw,4,0,3,260.39,334.945,143.6504,3.5262
alw,4,0,4,261.605,339.615,53.9866,8.963
alw,4,0,5,266.96,346.95,53.7528,9.2005
alw,4,0,6,275.16,358.16,53.8457,18.5774
alw,4,0,7,280.655,365.675,45.0,0.0424
alw,4,0,8,282.125,364.635,144.0547,3.5945
alw,5,0,0,147.725,177.925,53.799,41.9729
alw,5,0,1,133.505,162.6,138.5815,4.8673
alw,5,0,2,132.85,165.17,39.3691,3.0269
alw,5,0,3,136.445,169.175,51.4666,7.7853
alw,5,0,4,141.06,175.02,51.9695,7.1095
alw,5,0,5,145.325,180.73,54.509,7.1481
alw,5,0,6,150.84,188.695,55.7642,12.2289
alw,5,0,7,155.18,196.015,68.3295,4.8745
alw,6,0,0,235.15,325.185,142.0667,2.5864
alw,6,0,1,234.855,322.59,53.85,4.4584
alw,6,0,2,232.475,321.52,145.5717,2.5823
alw,6,0,3,228.505,323.385,158.659,6.2377
alw,6,0,4,225.155,324.165,38.5821,1.1385
alw,6,0,5,227.655,327.835,53.808,9.9747
alw,6,0,6,230.415,331.335,70.5891,1.1133
alw,7,0,0,244.04,309.1,54.9505,1.6368
alw,7,0,1,241.31,305.375,53.5071,7.6002
alw,7,0,2,224.345,282.455,53.4894,49.4309
alw,7,0,3,207.53,264.245,141.8908,5.3633
alw,7,0,4,207.39,267.51,39.2578,5.0884
alw,7,0,5,213.955,274.92,51.6123,14.7992
alw,7,0,6,224.12,288.355,53.8879,18.9017
alw,7,0,7,233.775,302.035,55.9505,14.5917
alw,7,0,8,238.865,310.64,68.5661,5.5004
alw,8,0,0,291.62,374.635,53.9727,27.3389
alw,8,0,1,282.125,364.635,144.0547,3.5945
alw,8,0,2,288.545,376.445,53.7877,26.6598
alw,8,0,3,300.8,393.665,55.8827,15.618
alw,8,0,4,305.915,402.01,68.6466,4.0371
alw,8,0,5,308.755,402.415,144.9808,5.1407
alw,9,0,0,267.835,329.635,45.0,1.2869
alw,9,0,1,265.555,326.62,51.7554,8.8365
alw,9,0,2,263.115,323.64,58.9508,1.1439
alw,9,0,3,263.65,324.7,67.1656,1.2369
alw,9,0,4,263.91,325.415,82.1512,0.2928
alw,9,0,5,263.93,325.705,90.0,0.29
alw,9,0,6,263.92,325.995,93.9433,0.2907
alw,9,0,7,263.885,326.28,100.1223,0.2844
alw,9,0,8,263.82,326.555,106.5066,0.2816
alw,9,0,9,263.725,326.81,114.6216,0.264
alw,9,0,10,263.6,327.04,122.4738,0.2608
alw,9,0,11,263.37,327.345,129.3711,0.5045
alw,9,0,12,262.385,328.155,143.2968,2.058
alw,9,0,13,262.125,329.52,53.0079,1.878
alw,9,0,14,263.505,329.69,144.5622,2.0006
alw,9,0,15,264.61,328.96,152.6505,0.653
alw,9,0,16,265.15,328.745,165.4253,0.5166
alw,9,0,17,265.655,328.665,176.6337,0.5109
alw,9,0,18,266.16,328.69,9.0888,0.5064
alw,9,0,19,266.66,328.82,19.8012,0.5314
alw,10,0,0,299.655,418.73,143.4253,8.9281
alw,10,0,1,302.05,414.445,53.7843,4.0283
alw,10,0,2,299.785,413.56,145.4573,2.6102
alw,10,0,3,295.83,415.46,158.0616,6.2097
alw,10,0,4,292.43,416.16,41.4962,1.3885
alw,11,0,0,125.695,160.785,54.3586,5.1312
alw,11,0,1,121.185,160.895,143.9443,7.4588
alw,11,0,2,119.355,164.7,53.646,3.9982
alw,11,0,3,121.94,165.345,145.4222,3.4007
alw,12,0,0,134.855,160.38,52.0926,1.5463
alw,12,0,1,133.98,159.42,41.1863,1.063
alw,12,0,2,133.16,158.77,35.5367,1.0323
alw,12,0,3,132.305,158.23,28.8868,0.9936
alw,12,0,4,131.42,157.805,22.348,0.9731
alw,12,0,5,130.51,157.495,15.2024,0.9534
alw,12,0,6,129.585,157.31,7.352,0.9377
alw,12,0,7,128.655,157.245,0.6167,0.93
alw,12,0,8,127.72,157.3,172.7253,0.9476
alw,12,0,9,126.79,157.475,165.9631,0.9483
alw,12,0,10,125.88,157.77,158.1994,0.9693
alw,12,0,11,124.815,158.325,148.6269,1.4406
alw,12,0,12,125.695,160.785,54.3586,5.1312
alw,12,0,13,128.15,162.5,158.9227,2.0577
alw,12,0,14,130.395,163.17,38.9843,3.3062
alw,13,0,0,197.205,245.625,53.9065,22.2881
alw,13,0,1,189.505,235.065,53.8742,3.8503
alw,13,0,2,178.215,219.62,53.8294,34.4126
alw,13,0,3,167.265,204.65,53.6429,2.6821
alw,13,0,4,164.34,205.195,142.6596,5.3582
alw,13,0,5,164.135,208.35,38.4779,4.9179
alw,13,0,6,170.655,215.715,51.7799,14.8541
alw,13,0,7,182.205,231.065,53.8351,23.5718
alw,13,0,8,193.39,246.83,55.9098,15.0938
alw,13,0,9,198.51,255.375,68.8037,4.9231
alw,14,0,0,158.04,203.47,53.9495,7.2727
alw,14,0,1,154.295,202.51,129.0286,5.0976
alw,14,0,2,151.315,205.575,141.7232,3.5031
alw,14,0,3,151.245,208.435,53.6762,4.4062
alw,14,0,4,154.055,209.185,145.7429,3.6418
alw,15,0,0,207.53,264.245,141.8908,5.3633
alw,15,0,1,206.705,258.61,53.5935,9.8903
alw,15,0,2,201.585,256.15,145.1758,5.3234
alw,15,0,3,199.63,258.26,68.7027,1.2665
alw,15,0,4,199.535,259.25,129.0947,1.0308
alw,15,0,5,201.28,262.615,55.0793,7.2322
alw,15,0,6,203.91,265.36,158.5523,1.2033
alw,16,0,0,241.525,317.7,54.3053,7.2155
alw,16,0,1,237.81,316.755,129.045,5.1117
alw,16,0,2,234.87,319.765,142.3792,3.3583
alw,16,0,3,234.855,322.59,53.85,4.4584
alw,16,0,4,237.565,323.425,145.326,3.3925
alw,17,0,0,307.52,409.795,51.9763,5.065
alw,17,0,1,309.72,411.25,139.8439,1.6748
alw,17,0,2,310.875,409.955,124.2984,1.8278
alw,17,0,3,311.74,408.295,111.1439,1.9406
alw,17,0,4,312.215,406.505,98.0395,1.7876
alw,17,0,5,312.26,404.82,84.2893,1.608
alw,17,0,6,311.92,403.19,72.6071,1.7395
alw,17,0,7,311.26,401.65,60.6034,1.6299
alw,17,0,8,308.755,402.415,144.9806,5.1407
alw,17,0,9,307.055,404.925,68.6295,2.2228
alw,18,0,0,151.58,210.98,141.5568,2.4769
alw,18,0,1,151.245,208.435,53.6762,4.4062
alw,18,0,2,149.94,206.665,90.0,0.01
alw,18,0,3,148.925,207.34,146.5713,2.4324
alw,18,0,4,144.99,209.155,158.5889,6.2729
alw,18,0,5,141.61,209.94,38.0467,1.1683
alw,18,0,6,144.125,213.645,53.8012,10.0747
alw,18,0,7,146.89,217.15,69.444,1.1962
alw,19,0,0,119.355,164.7,53.646,3.9982
alw,19,0,1,115.07,165.34,144.0276,7.6609
alw,19,0,2,111.465,167.955,144.1413,1.2462
alw,19,0,3,113.03,171.15,53.8165,7.0125
alw,19,0,4,114.85,173.365,67.8782,1.3278
alw,19,0,5,116.565,170.335,129.1339,6.2269
alw,20,0,0,75.19,276.89,90.3287,251.0441
alw,20,0,1,77.605,151.395,0.8448,3.3904
alw,20,0,2,79.3,150.245,90.0,2.35
alw,20,0,3,74.005,149.03,0.4329,10.5903
alw,20,0,4,67.975,275.71,90.3323,253.4443
alw,21,0,0,103.045,410.915,92.2184,6.9752
alw,21,0,1,187.25,414.94,0.3668,168.6835
alw,21,0,2,271.6,414.895,90.9788,1.1702
alw,21,0,3,269.325,411.33,52.52,7.5104
alw,22,0,0,84.47,458.17,40.272,1.8873
alw,22,0,1,83.645,456.84,81.7029,1.4552
alw,22,0,2,83.2,456.16,173.29,0.6847
alw,22,0,3,82.525,456.175,4.2682,0.6719
alw,22,0,4,81.86,456.07,13.626,0.6791
alw,22,0,5,81.205,455.85,23.3061,0.7077
alw,22,0,6,80.575,455.515,32.5925,0.724
alw,22,0,7,79.98,455.07,40.7635,0.7658
alw,22,0,8,79.425,454.525,48.0664,0.7931
alw,22,0,9,78.92,453.885,55.1754,0.8405
alw,22,0,10,78.475,453.155,61.966,0.8723
alw,22,0,11,78.1,452.355,67.7239,0.8969
alw,22,0,12,77.895,451.42,86.1494,1.0424
alw,22,0,13,76.025,450.895,0.156,3.67
alw,22,0,14,70.575,450.855,0.5548,7.2303
alw,22,0,15,66.92,458.36,90.304,15.0802
alw,22,0,16,70.495,465.915,0.2377,7.2301
alw,22,0,17,75.9,465.94,0.3202,3.5801
alw,23,0,0,97.175,422.77,93.3017,0.5209
alw,23,0,1,97.29,422.13,104.744,0.7859
alw,23,0,2,97.52,421.39,109.8548,0.7655
alw,23,0,3,97.815,420.695,116.2222,0.7469
