airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
anc,0,0,0,204.32,387.415,82.6488,0.3126
anc,0,0,1,204.31,387.105,93.6894,0.3106
anc,0,0,2,204.365,386.805,107.2431,0.3037
anc,0,0,3,199.8,385.385,15.46,9.5661
anc,0,0,4,195.055,384.57,106.3558,0.9588
anc,0,0,5,194.085,384.8,15.4004,1.7322
anc,0,0,6,193.03,385.39,105.0184,1.698
anc,0,0,7,192.845,386.68,85.7416,0.9426
anc,0,0,8,192.45,388.74,105.1331,3.2942
anc,0,0,9,191.55,390.655,145.3358,1.1428
anc,0,0,10,190.805,391.985,105.3035,2.0839
anc,0,0,11,192.68,393.57,15.0972,4.4537
anc,0,0,12,194.215,396.415,105.191,4.694
anc,0,0,13,198.28,399.945,15.1255,9.6959
anc,0,0,14,203.34,401.005,151.6544,0.8635
anc,0,0,15,205.405,394.555,105.0997,12.9366
anc,1,0,0,185.705,386.275,105.1434,5.3974
anc,1,0,1,186.52,383.255,104.8458,0.8586
anc,1,0,2,185.91,382.64,15.5244,1.4945
anc,1,0,3,182.01,381.58,15.1331,6.5885
anc,1,0,4,178.78,380.53,75.2552,0.3929
anc,1,0,5,179.205,379.54,120.6995,1.8608
anc,1,0,6,180.535,378.75,0.6702,1.7101
anc,1,0,7,181.675,378.76,0.0,0.57
anc,1,0,8,182.335,378.78,3.0524,0.7511
anc,1,0,9,178.385,377.695,14.3319,8.9279
anc,1,0,10,174.18,376.695,41.1841,0.3189
anc,1,0,11,174.4,376.93,52.4312,0.328
anc,1,0,12,174.575,377.205,62.6518,0.3265
anc,1,0,13,174.695,377.505,73.8087,0.3228
anc,1,0,14,174.755,377.82,84.6445,0.3214
anc,1,0,15,174.755,378.145,95.1944,0.3313
anc,1,0,16,174.695,378.465,106.1905,0.3228
anc,1,0,17,174.58,378.765,115.7697,0.322
anc,1,0,18,174.45,378.98,130.6003,0.1844
anc,1,0,19,174.32,379.105,141.8425,0.178
anc,1,0,20,174.165,379.205,152.1034,0.1924
anc,1,0,21,173.995,379.275,163.6093,0.1772
anc,1,0,22,173.82,379.305,176.8221,0.1803
anc,1,0,23,173.635,379.305,3.0111,0.1903
anc,1,0,24,172.05,378.895,15.2063,3.0881
anc,1,0,25,168.805,385.0,105.0874,13.4848
anc,1,0,26,173.96,393.375,15.1042,14.3145
anc,1,0,27,181.81,391.755,105.0951,7.2191
anc,2,0,0,189.36,411.04,108.4393,0.0632
anc,2,0,1,189.39,410.985,128.6534,0.064
anc,2,0,2,189.43,410.94,135.0109,0.0566
anc,2,0,3,189.47,410.9,134.9891,0.0566
anc,2,0,4,189.52,410.87,161.5607,0.0632
anc,2,0,5,189.58,410.85,161.5738,0.0632
anc,2,0,6,189.64,410.84,0.0,0.06
anc,2,0,7,188.94,410.645,14.9558,1.5112
anc,2,0,8,187.58,412.79,105.0684,4.8466
anc,2,0,9,187.39,415.235,13.4224,0.9047
anc,2,0,10,189.185,415.705,15.076,2.8066
anc,2,0,11,191.235,416.27,16.054,1.4464
anc,2,0,12,191.965,416.705,81.5298,0.4752
anc,2,0,13,192.795,417.175,16.4675,1.658
anc,2,0,14,193.65,417.18,104.6206,0.4754
anc,2,0,15,194.055,417.045,15.3957,0.7157
anc,2,0,16,196.06,417.59,15.1674,3.4398
anc,2,0,17,198.01,418.115,14.4996,0.5991
anc,2,0,18,198.695,416.715,104.992,3.0539
anc,2,0,19,194.275,413.94,15.109,9.9748
anc,2,0,20,189.265,412.375,53.6533,0.658
anc,3,0,0,181.45,402.785,105.1498,8.1119
anc,3,0,1,174.655,396.75,15.1038,16.2721
anc,3,0,2,165.89,397.53,107.4216,6.0789
anc,3,0,3,164.785,400.35,22.3048,0.4215
anc,3,0,4,164.33,401.29,104.3,2.1052
anc,3,0,5,164.36,402.485,31.1098,0.6774
anc,3,0,6,167.59,403.615,17.9952,6.1824
anc,3,0,7,173.23,405.035,9.7718,5.4795
anc,4,0,0,184.715,401.86,14.9296,0.1552
anc,4,0,1,184.03,404.085,105.2012,4.6528
anc,4,0,2,183.37,406.46,111.038,0.2786
anc,4,0,3,183.24,406.705,124.8256,0.2802
anc,4,0,4,183.06,406.92,135.0,0.2828
anc,4,0,5,182.845,407.095,146.8892,0.2746
anc,4,0,6,182.595,407.22,159.676,0.2879
anc,4,0,7,185.095,407.98,15.0802,5.458
