airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
arb,0,path,,UNLABELED,259.89,416.56,272.71,400.9,12.82,15.66,200.7614,67.4509,40.8402,266.3,408.73,0.8186,5,1,0,0,none,,,,1,rgb,207,207,207,0.39,122.8837,15.9329,125.4476,16.277,0.0,594.0,387.36,0.0,67.4509
arb,1,path,,UNLABELED,259.89,416.56,272.71,400.9,12.82,15.66,200.7612,67.4508,40.8401,266.3,408.73,0.8186,5,1,0,0,none,,,,1,rgb,207,207,207,0.39,128.0608,15.9336,125.4477,16.277,0.0,594.0,387.36,0.0,67.4508
arb,2,path,,UNLABELED,86.02,378.8,213.42,346.3,127.4,32.5,4140.5,416.8198,298.3547,149.72,362.55,3.92,45,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.7119,36.6111,2.4536,56.0614,0.0,594.0,387.36,0.0,2287.3169
arb,3,path,,UNLABELED,128.21,369.3,190.11,349.53,61.9,19.77,1223.7625,813.5697,164.2004,159.16,359.415,3.131,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.994,8.9424,2.4497,52.4079,0.0,594.0,387.36,0.0,996.5434
arb,4,path,,UNLABELED,165.37,348.81,176.44,322.04,11.07,26.77,296.3443,68.2782,73.9577,170.905,335.425,0.4135,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.5955,14.201,92.7591,20.7741,0.0,594.0,387.36,0.0,208.4063
arb,5,compound,,UNLABELED,223.97,422.52,277.65,364.28,53.68,58.24,3126.3222,780.4499,737.0667,250.81,393.4,0.9217,511,2,0,1,rgb,207,207,207,0,none,,,,0.0,74.2256,1.1524,125.4699,17.6813,0.0,594.0,387.36,0.0,2244.7603
arb,6,path,,UNLABELED,168.33,324.8,182.94,308.3,14.61,16.5,241.065,38.6579,53.0491,175.635,316.55,0.8855,30,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.8417,3.8413,126.0014,6.4647,0.0,594.0,387.36,0.0,121.889
arb,7,path,,UNLABELED,286.57,376.09,296.55,366.96,9.98,9.13,91.1174,33.131,30.8593,291.56,371.525,1.0931,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,138.1631,6.7695,146.4556,5.4472,0.0,594.0,387.36,0.0,44.8621
arb,8,path,,UNLABELED,308.45,360.19,325.5,336.16,17.05,24.03,409.7119,193.5373,67.6464,316.975,348.175,0.7095,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.8628,6.7311,107.9933,23.7937,0.0,594.0,387.36,0.0,225.3295
arb,9,path,,UNLABELED,324.27,326.75,337.63,306.2,13.36,20.55,274.5475,67.4684,106.5218,330.95,316.475,0.6501,94,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.1698,3.3007,109.3219,5.1077,0.0,594.0,387.36,0.0,198.4466
arb,10,path,,UNLABELED,327.67,307.08,341.54,297.98,13.87,9.1,126.217,28.7641,50.6797,334.605,302.53,1.5242,42,1,0,1,rgb,207,207,207,0,none,,,,0.0,29.027,11.3588,19.3486,6.9421,0.0,594.0,387.36,0.0,65.5723
arb,11,path,,UNLABELED,323.25,315.74,326.61,313.51,3.36,2.23,7.4929,3.1558,9.0578,324.93,314.625,1.5067,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,18.6831,3.4066,19.4514,2.8528,0.0,594.0,387.36,0.0,3.9491
arb,12,path,,UNLABELED,322.06,319.13,325.42,316.9,3.36,2.23,7.4928,3.156,9.0553,323.74,318.015,1.5067,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,18.7435,3.4187,19.4514,2.8528,0.0,594.0,387.36,0.0,3.9488
arb,13,path,,UNLABELED,320.91,322.38,324.27,320.15,3.36,2.23,7.4929,3.1548,9.0628,322.59,321.265,1.5067,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,16.8912,3.174,19.4514,2.8528,0.0,594.0,387.36,0.0,3.948
arb,14,path,,UNLABELED,319.72,325.77,323.08,323.55,3.36,2.22,7.4592,3.1551,9.0409,321.4,324.66,1.5135,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,25.5715,3.5772,19.4514,2.8528,0.0,594.0,387.36,0.0,3.9323
arb,15,path,,UNLABELED,276.81,377.39,331.75,290.34,54.94,87.05,4782.5265,190.8866,217.5775,304.28,333.865,0.6311,35,1,0,1,rgb,207,207,207,0,none,,,,0.0,121.5228,50.3352,109.3692,69.048,0.0,594.0,387.36,0.0,1035.3638
arb,16,path,,UNLABELED,330.76,298.32,344.63,290.76,13.87,7.56,104.8571,24.3401,41.1177,337.695,294.54,1.8347,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,19.6375,37.8249,19.3772,13.6534,0.0,594.0,387.36,0.0,42.8797
arb,17,path,,UNLABELED,183.34,371.63,196.72,365.98,13.38,5.65,75.5972,65.5266,36.3668,190.03,368.805,2.3681,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,6.2453,5.2496,2.6958,13.3948,0.0,594.0,387.36,0.0,66.2952
arb,18,compound,,UNLABELED,42.8,419.72,125.0,377.45,82.2,42.27,3474.5944,1751.5253,648.4421,83.9,398.585,1.9446,55,8,0,1,rgb,207,207,207,0,none,,,,0.0,164.675,2.4505,2.4728,63.7393,0.0,594.0,387.36,0.0,2769.1001
arb,19,path,,UNLABELED,76.68,395.9,277.8,246.05,201.12,149.85,30137.8271,569.4414,536.7911,177.24,320.975,1.3421,68,1,0,1,rgb,207,207,207,0,none,,,,0.0,36.2762,279.3395,35.4709,106.7398,0.0,594.0,387.36,0.0,3847.5362
arb,20,path,,UNLABELED,187.46,366.49,196.24,351.93,8.78,14.56,127.8368,37.1511,42.9971,191.85,359.21,0.603,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,108.0747,14.5428,93.7734,11.2444,0.0,594.0,387.36,0.0,77.9813
arb,21,path,,UNLABELED,61.22,361.92,61.22,359.03,0.0,2.89,0.0,0.0,2.89,61.22,360.475,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.89,0.0,594.0,387.36,0.0,0.0
arb,22,path,,UNLABELED,121.27,361.91,121.27,359.03,0.0,2.88,0.0,0.0,2.88,121.27,360.47,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,23,path,,UNLABELED,151.3,361.91,151.3,359.03,0.0,2.88,0.0,0.0,2.88,151.3,360.47,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,24,path,,UNLABELED,181.32,361.91,181.32,359.03,0.0,2.88,0.0,0.0,2.88,181.32,360.47,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,25,path,,UNLABELED,211.35,361.91,211.35,359.03,0.0,2.88,0.0,0.0,2.88,211.35,360.47,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,26,path,,UNLABELED,271.4,361.92,271.4,359.03,0.0,2.89,0.0,0.0,2.89,271.4,360.475,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.89,0.0,594.0,387.36,0.0,0.0
arb,27,path,,UNLABELED,301.43,361.92,301.43,359.04,0.0,2.88,0.0,0.0,2.88,301.43,360.48,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,28,path,,UNLABELED,331.45,361.92,331.45,359.04,0.0,2.88,0.0,0.0,2.88,331.45,360.48,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,29,path,,UNLABELED,361.48,361.92,361.48,359.04,0.0,2.88,0.0,0.0,2.88,361.48,360.48,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,30,path,,UNLABELED,61.21,159.93,61.21,157.04,0.0,2.89,0.0,0.0,2.89,61.21,158.485,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.89,0.0,594.0,387.36,0.0,0.0
arb,31,path,,UNLABELED,121.27,159.92,121.27,157.04,0.0,2.88,0.0,0.0,2.88,121.27,158.48,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,32,path,,UNLABELED,151.3,159.92,151.3,157.04,0.0,2.88,0.0,0.0,2.88,151.3,158.48,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,33,path,,UNLABELED,181.33,159.92,181.33,157.04,0.0,2.88,0.0,0.0,2.88,181.33,158.48,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,34,path,,UNLABELED,211.36,159.92,211.36,157.04,0.0,2.88,0.0,0.0,2.88,211.36,158.48,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,35,path,,UNLABELED,271.41,159.92,271.41,157.04,0.0,2.88,0.0,0.0,2.88,271.41,158.48,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
arb,36,path,,UNLABELED,301.44,159.93,301.44,157.05,0.0,2.88,0.0,0.0,2.88,301.44,158.49,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,2.88,0.0,594.0,387.36,0.0,0.0
