airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
auo,0,path,,UNLABELED,113.7,349.12,125.24,343.75,11.54,5.37,61.9697,36.966,26.0698,119.47,346.435,2.149,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.9321,5.8984,15.4692,4.4616,0.0,594.0,387.36,0.0,46.676
auo,1,path,,UNLABELED,104.9,407.36,112.67,394.06,7.77,13.3,103.341,39.5362,35.7716,108.785,400.71,0.5842,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,81.2313,4.6694,89.0546,12.1216,0.0,594.0,387.36,0.0,62.6191
auo,2,path,,UNLABELED,104.15,394.09,107.35,350.95,3.2,43.14,138.0479,87.4787,88.6885,105.75,372.52,0.0742,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.7843,297.6949,89.0019,43.0565,0.0,594.0,387.36,0.0,115.8995
auo,3,path,,UNLABELED,107.85,286.44,112.63,281.77,4.78,4.67,22.3227,16.2574,12.4459,110.24,284.105,1.0236,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.2998,1.1966,162.3734,3.1373,0.0,594.0,387.36,0.0,17.5283
auo,4,path,,UNLABELED,101.34,280.64,106.28,274.33,4.94,6.31,31.1714,20.7799,16.49,103.81,277.485,0.7829,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,72.3162,2.4221,72.6922,3.6974,0.0,594.0,387.36,0.0,23.1628
auo,5,path,,UNLABELED,101.21,266.36,104.49,207.26,3.28,59.1,193.8479,116.9773,120.5603,102.85,236.81,0.0555,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.302,558.9374,88.9653,43.7472,0.0,594.0,387.36,0.0,160.4989
auo,6,path,,UNLABELED,112.58,286.54,124.11,281.16,11.53,5.38,62.0314,36.9459,26.059,118.345,283.85,2.1431,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.2101,5.9337,176.4939,4.5786,0.0,594.0,387.36,0.0,46.7105
auo,7,path,,UNLABELED,129.68,287.91,138.38,279.46,8.7,8.45,73.5151,28.9717,25.9669,134.03,283.685,1.0296,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.0562,1.3545,88.9831,8.4513,0.0,594.0,387.36,0.0,48.2166
auo,8,path,,UNLABELED,138.33,284.93,145.96,281.89,7.63,3.04,23.1953,20.9384,18.1984,142.145,283.41,2.5099,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,179.0127,4.8503,178.7308,6.7717,0.0,594.0,387.36,0.0,21.828
auo,9,path,,UNLABELED,148.76,325.9,160.12,287.59,11.36,38.31,435.2016,109.434,82.8211,154.44,306.745,0.2965,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,79.5217,22.5499,88.9134,22.6741,0.0,594.0,387.36,0.0,215.5132
