airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ayx,0,path,,UNLABELED,265.936,457.809,288.523,431.331,22.587,26.478,598.0587,345.9791,85.8245,277.2295,444.57,0.853,28,1,0,1,rgb,230,230,230,0,none,,,,0.0,61.874,1.0962,65.3695,14.0295,0.0,593.0,387.0,0.0,430.0314
ayx,1,path,,UNLABELED,239.948,461.682,267.936,446.267,27.988,15.415,431.4349,124.825,61.139,253.942,453.9745,1.8156,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,156.5964,29.7669,157.5123,20.3093,0.0,593.0,387.0,0.0,128.2535
ayx,2,path,,UNLABELED,230.457,465.015,241.626,454.522,11.169,10.493,117.1964,43.9352,32.2654,236.0415,459.7685,1.0644,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,42.1136,2.9978,65.121,11.5664,0.0,593.0,387.0,0.0,56.5784
ayx,3,compound,,UNLABELED,17.651,550.632,370.229,43.348,352.578,507.284,178857.1794,357714.3588,3439.448,193.94,296.99,0.695,10,2,0,0,none,,,,1,rgb,0,0,0,0.84,102.0704,2.236,90.0,507.284,0.0,593.0,387.0,0.0,178857.1794
ayx,4,path,,UNLABELED,365.225,102.8012,365.5848,99.923,0.3598,2.8782,1.0356,1.0356,6.476,365.4049,101.3621,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.212,65.8768,90.0,2.8782,0.0,593.0,387.0,0.0,1.0356
ayx,5,path,,UNLABELED,335.084,102.7962,335.4438,99.918,0.3597,2.8782,1.0354,1.0354,6.4759,335.2639,101.3571,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8992,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,6,path,,UNLABELED,320.014,102.7952,320.3738,99.917,0.3598,2.8782,1.0355,1.0355,6.476,320.1939,101.3561,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,7,path,,UNLABELED,304.943,102.7932,305.3028,99.915,0.3598,2.8782,1.0355,1.0355,6.476,305.1229,101.3541,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,8,path,,UNLABELED,289.873,102.7922,290.2328,99.914,0.3598,2.8782,1.0355,1.0355,6.476,290.0529,101.3531,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,9,path,,UNLABELED,274.803,102.7902,275.1628,99.912,0.3598,2.8782,1.0355,1.0355,6.476,274.9829,101.3511,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,10,path,,UNLABELED,259.732,102.7892,260.0918,99.911,0.3598,2.8782,1.0355,1.0355,6.4759,259.9119,101.3501,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.8866,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,11,path,,UNLABELED,244.662,102.7872,245.0218,99.909,0.3598,2.8782,1.0355,1.0355,6.4759,244.8419,101.3481,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,12,path,,UNLABELED,229.592,102.7852,229.9518,99.907,0.3598,2.8782,1.0355,1.0355,6.4759,229.7719,101.3461,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,13,path,,UNLABELED,214.521,102.7842,214.8808,99.906,0.3598,2.8782,1.0354,1.0354,6.4759,214.7009,101.3451,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8922,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,14,path,,UNLABELED,184.38,102.7822,184.7398,99.904,0.3598,2.8782,1.0355,1.0355,6.4759,184.5599,101.3431,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,15,path,,UNLABELED,169.31,102.7812,169.6698,99.903,0.3598,2.8782,1.0354,1.0354,6.4759,169.4899,101.3421,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8922,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,16,path,,UNLABELED,154.24,102.7812,154.5998,99.903,0.3598,2.8782,1.0354,1.0354,6.4759,154.4199,101.3421,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8922,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,17,path,,UNLABELED,139.169,102.7812,139.5288,99.903,0.3598,2.8782,1.0354,1.0354,6.4759,139.3489,101.3421,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8922,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,18,path,,UNLABELED,124.099,102.7802,124.4588,99.902,0.3598,2.8782,1.0355,1.0355,6.4759,124.2789,101.3411,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,19,path,,UNLABELED,109.029,102.7802,109.3888,99.902,0.3598,2.8782,1.0355,1.0355,6.4759,109.2089,101.3411,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,20,path,,UNLABELED,93.958,102.7802,94.3178,99.902,0.3598,2.8782,1.0355,1.0355,6.4759,94.1379,101.3411,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,21,path,,UNLABELED,78.888,102.7792,79.2478,99.901,0.3598,2.8782,1.0355,1.0355,6.4759,79.0679,101.3401,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,22,path,,UNLABELED,63.818,102.7792,64.1778,99.901,0.3598,2.8782,1.0355,1.0355,6.476,63.9979,101.3401,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,23,path,,UNLABELED,33.677,102.7792,34.0368,99.901,0.3598,2.8782,1.0355,1.0355,6.4759,33.8569,101.3401,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8922,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,24,path,,UNLABELED,18.606,102.7802,18.9658,99.902,0.3598,2.8782,1.0355,1.0355,6.4759,18.7859,101.3411,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.8887,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,25,path,,UNLABELED,18.612,286.8022,18.9718,283.924,0.3598,2.8782,1.0355,1.0355,6.4759,18.7919,285.3631,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.8887,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,26,path,,UNLABELED,33.681,286.8012,34.0408,283.923,0.3598,2.8782,1.0355,1.0355,6.476,33.8609,285.3621,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,27,path,,UNLABELED,63.819,286.8002,64.1788,283.922,0.3598,2.8782,1.0355,1.0355,6.476,63.9989,285.3611,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,28,path,,UNLABELED,78.888,286.8012,79.2478,283.923,0.3598,2.8782,1.0355,1.0355,6.4759,79.0679,285.3621,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,29,path,,UNLABELED,93.957,286.8012,94.3168,283.923,0.3598,2.8782,1.0355,1.0355,6.4759,94.1369,285.3621,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,30,path,,UNLABELED,109.026,286.8012,109.3858,283.923,0.3598,2.8782,1.0355,1.0355,6.4759,109.2059,285.3621,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,31,path,,UNLABELED,124.094,286.8022,124.4538,283.924,0.3598,2.8782,1.0355,1.0355,6.4759,124.2739,285.3631,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,32,path,,UNLABELED,139.163,286.8022,139.5228,283.924,0.3598,2.8782,1.0355,1.0355,6.4759,139.3429,285.3631,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,33,path,,UNLABELED,154.232,286.8022,154.5918,283.924,0.3598,2.8782,1.0355,1.0355,6.4759,154.4119,285.3631,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,34,path,,UNLABELED,169.301,286.8032,169.6608,283.925,0.3598,2.8782,1.0355,1.0355,6.4759,169.4809,285.3641,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,35,path,,UNLABELED,184.37,286.8032,184.7298,283.925,0.3598,2.8782,1.0355,1.0355,6.476,184.5499,285.3641,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,36,path,,UNLABELED,214.508,286.8052,214.8678,283.927,0.3598,2.8782,1.0355,1.0355,6.476,214.6879,285.3661,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,37,path,,UNLABELED,229.577,286.8072,229.9367,283.929,0.3597,2.8782,1.0354,1.0354,6.4759,229.7569,285.3681,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8992,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,38,path,,UNLABELED,244.645,286.8082,245.0048,283.93,0.3598,2.8782,1.0355,1.0355,6.4759,244.8249,285.3691,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8936,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,39,path,,UNLABELED,259.714,286.8102,260.0737,283.932,0.3597,2.8782,1.0354,1.0354,6.4759,259.8939,285.3711,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8992,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,40,path,,UNLABELED,274.783,286.8112,275.1427,283.933,0.3597,2.8782,1.0354,1.0354,6.4759,274.9629,285.3721,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8992,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,41,path,,UNLABELED,289.852,286.8132,290.2117,283.935,0.3597,2.8782,1.0354,1.0354,6.4759,290.0319,285.3741,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8992,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,42,path,,UNLABELED,304.921,286.8152,305.2807,283.937,0.3597,2.8782,1.0354,1.0354,6.4759,305.1009,285.3761,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8992,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,43,path,,UNLABELED,319.99,286.8162,320.3497,283.938,0.3597,2.8782,1.0354,1.0354,6.4759,320.1699,285.3771,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2118,65.8992,90.0,2.8782,0.0,593.0,387.0,0.0,1.0354
ayx,44,path,,UNLABELED,335.059,286.8182,335.4188,283.94,0.3598,2.8782,1.0355,1.0355,6.476,335.2389,285.3791,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,45,path,,UNLABELED,365.196,286.8222,365.5558,283.944,0.3598,2.8782,1.0355,1.0355,6.476,365.3759,285.3831,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,46,path,,UNLABELED,365.168,470.8442,365.5278,467.966,0.3598,2.8782,1.0355,1.0355,6.476,365.3479,469.4051,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,47,path,,UNLABELED,335.033,470.8402,335.3928,467.962,0.3598,2.8782,1.0355,1.0355,6.476,335.2129,469.4011,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
ayx,48,path,,UNLABELED,319.966,470.8382,320.3258,467.96,0.3598,2.8782,1.0355,1.0355,6.476,320.1459,469.3991,0.125,5,1,0,1,rgb,0,0,0,0,none,,,,0.0,91.2119,65.888,90.0,2.8782,0.0,593.0,387.0,0.0,1.0355
