airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bfl,0,0,0,139.505,213.98,135.6851,1.775
bfl,0,0,1,138.61,214.665,165.963,0.536
bfl,0,0,2,136.765,214.77,178.5541,3.171
bfl,0,0,3,133.57,216.415,135.0892,4.5467
bfl,0,0,4,131.785,218.265,125.5375,0.6021
bfl,0,0,5,131.61,218.66,90.0,0.3
bfl,0,0,6,131.605,220.945,90.1341,4.27
bfl,0,0,7,131.535,223.32,105.1543,0.4973
bfl,0,0,8,131.34,223.76,123.0253,0.4771
bfl,0,0,9,130.26,224.815,138.0128,2.5562
bfl,0,0,10,128.96,225.87,150.2554,0.8062
bfl,0,0,11,128.235,226.18,163.6517,0.7816
bfl,0,0,12,127.18,226.44,167.5597,1.3927
bfl,0,0,13,125.185,226.75,173.0633,2.6494
bfl,0,0,14,127.36,230.355,44.6282,9.8078
bfl,0,0,15,130.67,232.64,81.1796,2.3478
bfl,0,0,16,130.425,230.95,83.0078,1.0679
bfl,0,0,17,130.43,229.94,98.2972,0.9701
bfl,0,0,18,130.695,228.955,111.1133,1.0827
bfl,0,0,19,131.11,228.12,123.6901,0.7932
bfl,0,0,20,131.555,227.48,125.9724,0.7661
bfl,0,0,21,135.39,223.59,135.2391,10.1683
bfl,0,0,22,139.53,219.635,144.7187,1.2985
bfl,0,0,23,140.675,219.04,160.3165,1.3063
bfl,0,0,24,141.885,218.78,176.1546,1.1927
bfl,0,0,25,143.36,218.85,7.125,1.7737
bfl,0,0,26,144.81,219.09,12.8467,1.1693
bfl,0,0,27,145.645,219.29,14.7983,0.5482
bfl,0,0,28,146.325,219.625,32.5603,0.9848
bfl,1,0,0,188.07,261.05,54.6372,1.5205
bfl,1,0,1,188.75,262.13,62.4477,1.0377
bfl,1,0,2,189.1,263.01,75.3235,0.8683
bfl,1,0,3,189.255,264.065,85.9466,1.2732
bfl,1,0,4,189.295,265.32,90.4618,1.2401
bfl,1,0,5,189.115,266.53,106.5213,1.2308
bfl,1,0,6,188.675,267.67,115.7254,1.221
bfl,1,0,7,188.08,268.66,126.8699,1.1
bfl,1,0,8,184.885,272.135,133.3496,8.3473
bfl,1,0,9,181.425,275.585,145.1045,1.4509
bfl,1,0,10,180.17,276.285,156.644,1.4378
bfl,1,0,11,178.96,276.725,164.2614,1.1429
bfl,1,0,12,177.795,276.945,173.9679,1.2368
bfl,1,0,13,176.52,276.965,3.9003,1.3231
bfl,1,0,14,175.265,276.81,10.4743,1.2102
bfl,1,0,15,174.15,276.45,25.677,1.1539
bfl,1,0,16,177.775,280.305,44.7223,11.6674
bfl,1,0,17,181.615,283.59,69.5974,1.7498
bfl,1,0,18,181.2,282.4,73.4437,0.772
bfl,1,0,19,181.025,281.545,82.3664,0.9787
bfl,1,0,20,181.005,280.29,93.3445,1.5426
bfl,1,0,21,181.335,278.77,110.807,1.6047
bfl,1,0,22,181.93,277.56,123.9768,1.1094
bfl,1,0,23,182.66,276.66,133.6675,1.2166
bfl,1,0,24,185.945,273.365,135.1,8.0893
bfl,1,0,25,189.335,270.115,143.0437,1.314
bfl,1,0,26,190.41,269.455,154.2746,1.221
bfl,1,0,27,191.51,269.08,168.6899,1.1218
bfl,1,0,28,192.7,268.905,174.2006,1.2866
bfl,1,0,29,193.825,268.865,2.9501,0.9713
bfl,1,0,30,194.905,269.065,16.3898,1.2404
bfl,1,0,31,196.005,269.44,21.605,1.0863
bfl,1,0,32,197.085,270.005,32.4072,1.3621
bfl,2,0,0,231.8,304.47,61.4605,1.2977
bfl,2,0,1,232.265,305.455,69.5195,0.886
bfl,2,0,2,232.595,306.49,74.2375,1.2884
bfl,2,0,3,232.815,307.615,84.9081,1.014
bfl,2,0,4,232.795,308.67,96.7395,1.1077
bfl,2,0,5,232.615,309.66,104.648,0.9096
bfl,2,0,6,232.37,310.625,103.9077,1.0817
bfl,2,0,7,231.995,311.635,116.8011,1.0867
bfl,2,0,8,231.445,312.56,124.7289,1.0708
bfl,2,0,9,226.05,318.05,135.226,14.3402
bfl,2,0,10,221.59,323.725,44.7719,1.7748
bfl,2,0,11,227.34,319.135,134.4733,14.6165
bfl,2,0,12,232.875,313.57,139.8574,1.0858
bfl,2,0,13,233.8,312.935,150.8023,1.1685
bfl,2,0,14,234.815,312.52,165.5634,1.0429
bfl,2,0,15,235.825,312.325,172.6653,1.0183
bfl,2,0,16,237.015,312.26,0.0,1.37
bfl,2,0,17,238.315,312.26,0.0,1.23
bfl,2,0,18,239.415,312.435,19.841,1.0312
bfl,2,0,19,240.49,313.01,34.1367,1.4256
bfl,3,0,0,271.93,362.595,134.8706,15.6483
bfl,3,0,1,277.745,356.83,143.2855,0.736
bfl,3,0,2,278.435,356.455,158.5751,0.8487
bfl,3,0,3,279.285,356.175,164.638,0.9437
bfl,3,0,4,280.16,356.015,175.236,0.8429
bfl,3,0,5,281.21,355.965,178.6361,1.2603
bfl,3,0,6,282.23,355.97,2.9363,0.781
bfl,3,0,7,283.0,356.1,16.1442,0.7912
bfl,3,0,8,283.705,356.32,18.698,0.6862
bfl,3,0,9,284.45,356.62,24.3415,0.922
bfl,3,0,10,280.585,352.565,44.7314,12.0634
bfl,3,0,11,276.595,348.86,61.3526,1.2307
bfl,3,0,12,277.045,350.01,75.7431,1.2588
bfl,3,0,13,277.25,351.06,83.5166,0.8857
bfl,3,0,14,277.265,351.985,94.128,0.9725
bfl,3,0,15,277.135,353.285,96.6487,1.641
bfl,3,0,16,276.9,354.585,106.1015,1.0096
bfl,3,0,17,276.43,355.635,120.288,1.3086
bfl,3,0,18,270.675,361.595,135.1589,15.3019
bfl,4,0,0,306.15,414.695,44.5344,0.8698
bfl,4,0,1,308.26,413.2,135.0,5.0912
bfl,4,0,2,309.765,411.105,45.0,0.8344
bfl,4,0,3,309.775,410.5,134.5337,0.8698
bfl,4,0,4,312.94,413.05,45.0,8.0893
bfl,4,0,5,313.375,418.33,135.0592,6.8519
bfl,4,0,6,308.085,417.88,45.0501,8.1105
bfl,4,0,7,305.53,414.7,135.0,0.8768
bfl,5,0,0,259.915,317.655,45.0,0.1839
bfl,5,0,1,262.98,320.7,44.8083,8.457
bfl,5,0,2,266.175,323.725,12.9946,0.4002
bfl,5,0,3,266.7,323.77,0.0,0.66
bfl,5,0,4,267.47,323.705,171.5964,0.8896
bfl,5,0,5,268.135,323.575,163.89,0.4684
bfl,5,0,6,268.445,323.4,127.6913,0.278
bfl,5,0,7,270.56,320.41,125.1785,7.0471
bfl,5,0,8,272.415,316.825,76.0604,1.4528
bfl,5,0,9,272.215,316.105,30.9535,0.0583
bfl,8,0,0,317.86,376.805,165.974,0.0412
bfl,8,0,1,317.95,376.78,164.0497,0.1456
bfl,8,0,2,318.115,376.73,162.4753,0.1993
bfl,8,0,3,318.215,376.7,0.0,0.01
bfl,8,0,4,318.455,376.63,163.4128,0.4904
bfl,8,0,5,318.565,376.595,164.3562,0.2596
bfl,8,0,6,318.33,376.66,164.7456,0.228
bfl,8,0,7,318.12,376.725,160.7131,0.2119
bfl,8,0,8,317.93,376.785,164.4744,0.1868
bfl,8,0,9,318.01,374.255,93.8066,5.1213
bfl,8,0,10,318.19,371.56,94.0834,0.2807
bfl,8,0,11,318.255,360.565,90.2903,21.7103
bfl,8,0,12,319.1,349.69,178.55,1.5805
bfl,8,0,13,319.91,348.605,91.0761,2.1304
bfl,8,0,14,319.8,347.125,72.6061,0.8698
bfl,8,0,15,319.43,346.355,55.9399,0.857
bfl,8,0,16,318.88,345.67,46.7903,0.9055
bfl,8,0,17,318.195,345.1,32.619,0.8904
bfl,8,0,18,317.47,344.795,10.521,0.712
bfl,8,0,19,316.81,344.73,0.0,0.62
bfl,8,0,20,314.17,344.815,177.9108,4.6631
bfl,8,0,21,311.465,345.12,149.6011,0.8695
bfl,8,0,22,310.805,345.58,139.8997,0.7452
bfl,8,0,23,310.275,346.13,128.3191,0.7903
bfl,8,0,24,308.41,348.8,124.4672,5.725
bfl,8,0,25,307.085,352.755,79.5215,3.2441
bfl,8,0,26,306.14,356.075,125.7103,4.2489
bfl,8,0,27,304.39,358.58,123.1783,1.8639
bfl,8,0,28,303.68,359.74,117.7584,0.8588
bfl,8,0,29,303.875,360.77,58.714,1.5212
bfl,8,0,30,309.805,367.0,45.232,15.7191
bfl,8,0,31,315.655,372.72,23.9622,0.6894
bfl,8,0,32,316.585,372.89,2.7926,1.2314
bfl,8,0,33,317.62,372.5,135.001,1.188
bfl,8,0,34,318.11,371.89,110.2225,0.405
bfl,8,0,35,318.005,374.26,93.9107,5.1319
bfl,8,0,36,316.715,375.655,46.2566,3.2252
bfl,8,0,37,315.195,374.115,42.7975,1.1039
bfl,8,0,38,314.57,373.54,42.2731,0.5946
bfl,8,0,39,313.67,372.635,46.0338,1.959
bfl,8,0,40,312.275,371.23,44.3927,2.0012
bfl,8,0,41,307.86,366.955,44.0156,10.2899
bfl,8,0,42,303.025,362.435,39.7807,2.9538
bfl,8,0,43,301.405,361.125,36.9641,1.214
bfl,8,0,44,300.625,360.685,14.264,0.6088
bfl,8,0,45,299.995,360.825,147.3078,0.7961
bfl,8,0,46,298.985,361.845,129.9803,2.1011
bfl,8,0,47,298.22,362.98,105.2544,0.6841
bfl,8,0,48,298.155,363.685,86.1869,0.7517
bfl,8,0,49,298.265,364.52,79.53,0.9356
bfl,8,0,50,298.525,365.4,67.3797,0.91
bfl,8,0,51,295.31,362.46,44.7452,9.546
bfl,8,0,52,292.43,359.465,35.5901,1.2543
bfl,8,0,53,293.38,360.03,24.4435,0.9666
bfl,8,0,54,294.305,360.275,5.3007,0.9742
bfl,8,0,55,295.12,360.275,172.2352,0.6661
bfl,8,0,56,296.0,360.1,166.7014,1.1303
bfl,8,0,57,297.055,359.685,150.5614,1.1598
bfl,8,0,58,297.71,359.26,136.9739,0.4104
bfl,8,0,59,298.0,358.82,115.0166,0.6621
