airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
bix,0,compound,,UNLABELED,121.892,440.663,288.961,206.97,167.069,233.693,39042.8573,6719.6471,1065.5076,205.4265,323.8165,0.7149,53,2,0,1,rgb,230,230,230,0,none,,,,0.0,63.2912,6.047,54.5607,144.4552,0.0,593.0,387.0,0.0,20107.7723
bix,1,path,,UNLABELED,232.387,320.624,235.251,317.582,2.864,3.042,8.7123,4.3562,6.7265,233.819,319.103,0.9415,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,54.8481,2.0191,54.8664,2.4883,0.0,593.0,387.0,0.0,4.3562
bix,2,path,,UNLABELED,17.651,550.632,370.229,43.348,352.578,507.284,178857.1794,178857.1794,1719.724,193.94,296.99,0.695,5,1,0,0,none,,,,1,rgb,0,0,0,0.84,102.0704,2.236,90.0,507.284,0.0,593.0,387.0,0.0,178857.1794
bix,3,path,,UNLABELED,168.057,404.275,280.89,244.96,112.833,159.315,17975.9909,0.0,195.2244,224.4735,324.6175,0.7082,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,54.6924,1000000.0,54.6924,195.2244,0.0,593.0,387.0,0.0,0.0
bix,4,path,,UNLABELED,228.991,225.909,240.668,214.289,11.677,11.62,135.6867,66.3751,25.9323,234.8295,220.099,1.0049,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,135.9384,1.8156,135.9296,9.4574,0.0,593.0,387.0,0.0,66.3751
bix,5,path,,UNLABELED,238.554,216.699,250.504,204.817,11.95,11.882,141.9899,68.8274,26.7597,244.529,210.758,1.0057,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,135.9299,2.0325,135.9284,9.9058,0.0,593.0,387.0,0.0,68.8274
bix,6,path,,UNLABELED,204.379,282.657,206.542,280.476,2.163,2.181,4.7175,2.4423,4.7232,205.4605,281.5665,0.9917,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,55.73,1.0914,55.7135,1.5976,0.0,593.0,387.0,0.0,2.4423
bix,7,path,,UNLABELED,216.747,315.173,233.76,295.19,17.013,19.983,339.9708,97.1568,48.2692,225.2535,305.1815,0.8514,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,51.8976,24.4492,51.8983,21.9185,0.0,593.0,387.0,0.0,97.1568
bix,8,path,,UNLABELED,223.707,306.972,229.911,299.371,6.204,7.601,47.1566,7.2632,18.8614,226.809,303.1715,0.8162,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,51.8983,125.9423,51.9002,9.0287,0.0,593.0,387.0,0.0,7.2632
bix,9,path,,UNLABELED,248.4,346.425,259.785,335.562,11.385,10.863,123.6754,60.0832,22.1389,254.0925,340.9935,1.0481,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,141.5624,2.2872,141.5636,9.5328,0.0,593.0,387.0,0.0,60.0832
bix,10,path,,UNLABELED,262.541,371.011,275.662,358.371,13.121,12.64,165.8495,71.4341,33.7853,269.1015,364.691,1.0381,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,45.1806,3.4558,55.8627,6.6788,0.0,593.0,387.0,0.0,78.0767
bix,11,path,,UNLABELED,96.65,217.361,99.823,212.867,3.173,4.494,14.2594,0.0,5.5013,98.2365,215.114,0.7061,2,1,0,0,none,,,,1,rgb,0,0,0,0.6,54.7759,1000000.0,54.7759,5.5013,0.0,593.0,387.0,0.0,0.0
bix,12,path,,UNLABELED,271.639,466.627,275.784,460.755,4.145,5.872,24.3394,0.0,7.1876,273.7115,463.691,0.7059,2,1,0,0,none,,,,1,rgb,0,0,0,0.6,54.7821,1000000.0,54.7821,7.1876,0.0,593.0,387.0,0.0,0.0
bix,13,compound,,UNLABELED,297.125,262.658,302.375,257.768,5.25,4.89,25.6726,9.8037,23.0995,299.75,260.213,1.0736,17,2,0,1,rgb,0,0,0,0,none,,,,0.0,96.6436,1.1654,85.4206,1.8038,0.0,593.0,387.0,0.0,17.5798
bix,14,path,,UNLABELED,93.108,212.49,94.84,210.758,1.732,1.732,2.9998,1.4999,4.8988,93.974,211.624,1.0,5,1,0,0,none,,,,1,rgb,0,0,0,0.6,0.0,1.4,44.9997,1.2247,0.0,593.0,387.0,0.0,1.4999
bix,15,path,,UNLABELED,285.068,484.603,286.8,482.871,1.732,1.732,2.9998,1.4999,4.8988,285.934,483.737,1.0,5,1,0,0,none,,,,1,rgb,0,0,0,0.6,0.0,1.4,135.0,1.2247,0.0,593.0,387.0,0.0,1.4999
bix,16,path,,UNLABELED,268.84,461.491,272.557,456.789,3.717,4.702,17.4774,4.713,7.1508,270.6985,459.14,0.7905,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,54.7804,9.9573,43.9403,5.1621,0.0,593.0,387.0,0.0,4.922
bix,17,path,,UNLABELED,98.905,221.327,102.622,216.625,3.717,4.702,17.4773,4.713,7.1508,100.7635,218.976,0.7905,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,54.7805,9.9572,43.9404,5.1621,0.0,593.0,387.0,0.0,4.9221
bix,18,compound,,UNLABELED,106.015,296.686,229.126,158.963,123.111,137.723,16955.2163,508.9561,148.7489,167.5705,227.8245,0.8939,15,6,0,0,none,,,,1,rgb,0,0,0,0.6,46.2563,37.2587,90.0,23.589,0.0,593.0,387.0,0.0,5648.949
bix,19,path,,UNLABELED,140.572,220.012,143.284,214.928,2.712,5.084,13.7879,4.7144,7.1519,141.928,217.47,0.5334,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,110.849,9.9533,100.0061,5.1625,0.0,593.0,387.0,0.0,4.9237
bix,20,path,,UNLABELED,224.224,278.235,229.348,276.297,5.124,1.938,9.9304,4.7149,7.1522,226.786,277.266,2.6439,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,3.8311,9.95,172.9906,5.1626,0.0,593.0,387.0,0.0,4.9243
bix,21,path,,UNLABELED,210.202,283.906,215.364,281.993,5.162,1.913,9.8749,4.7133,7.1518,212.783,282.9495,2.6984,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,9.8504,9.9558,179.0124,5.1628,0.0,593.0,387.0,0.0,4.9226
bix,22,path,,UNLABELED,289.699,422.793,313.499,417.883,23.8,4.91,116.858,0.0,24.3012,301.599,420.338,4.8472,2,1,0,0,none,,,,1,rgb,0,0,0,0.6,168.3433,1000000.0,168.3433,24.3012,0.0,593.0,387.0,0.0,0.0
bix,23,path,,UNLABELED,284.945,423.774,290.107,421.799,5.162,1.975,10.195,4.711,7.1514,287.526,422.7865,2.6137,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,168.3417,9.964,157.5081,5.1627,0.0,593.0,387.0,0.0,4.921
bix,24,path,,UNLABELED,43.1,537.837,46.84,534.24,3.74,3.597,13.4528,5.8533,11.9261,44.97,536.0385,1.0398,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,115.2922,1.0428,149.4935,1.4183,0.0,593.0,387.0,0.0,9.4577
bix,25,path,,UNLABELED,54.883,54.152,56.623,52.412,1.74,1.7401,3.0277,1.5,4.899,55.753,53.282,1.0,5,1,0,0,none,,,,1,rgb,0,0,0,0.6,90.5642,1.4,135.4956,1.2255,0.0,593.0,387.0,0.0,1.5
bix,26,path,,UNLABELED,304.804,53.4581,306.544,51.718,1.74,1.7401,3.0277,1.5,4.899,305.674,52.588,1.0,5,1,0,0,none,,,,1,rgb,0,0,0,0.6,90.5653,1.4,135.4964,1.2255,0.0,593.0,387.0,0.0,1.5
bix,27,path,,UNLABELED,349.385,135.805,351.125,134.065,1.74,1.74,3.0276,1.5,4.899,350.255,134.935,1.0,5,1,0,0,none,,,,1,rgb,0,0,0,0.6,90.4654,1.4,135.4634,1.2248,0.0,593.0,387.0,0.0,1.5
bix,28,path,,UNLABELED,349.049,439.1,350.789,437.36,1.74,1.74,3.0276,1.5,4.899,349.919,438.23,1.0,5,1,0,0,none,,,,1,rgb,0,0,0,0.6,90.4629,1.4,135.4639,1.2248,0.0,593.0,387.0,0.0,1.5
bix,29,path,,UNLABELED,173.422,483.129,175.162,481.389,1.74,1.74,3.0276,1.5,4.899,174.292,482.259,1.0,5,1,0,0,none,,,,1,rgb,0,0,0,0.6,90.5624,1.4,135.4956,1.2255,0.0,593.0,387.0,0.0,1.5
bix,30,path,,UNLABELED,221.903,270.2,242.108,250.126,20.205,20.074,405.5953,202.6911,41.9414,232.0055,260.163,1.0065,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,138.1343,1.2675,138.1261,15.1058,0.0,593.0,387.0,0.0,202.6911
bix,31,path,,UNLABELED,195.891,244.983,216.765,223.726,20.874,21.257,443.7186,190.1429,50.3203,206.328,234.3545,0.982,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,134.3406,4.9125,134.6645,20.5277,0.0,593.0,387.0,0.0,190.1429
bix,32,path,,UNLABELED,106.642,528.301,106.642,458.54,0.0,69.761,0.0,0.0,69.761,106.642,493.4205,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.36,90.0,1000000.0,90.0,69.761,0.0,593.0,387.0,0.0,0.0
