airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
bjc,0,path,,UNLABELED,93.7,99.71,126.12,66.07,32.42,33.64,1090.6092,253.8322,146.4342,109.91,82.89,0.9637,34,1,0,1,rgb,207,207,207,0,none,,,,0.0,69.9476,1.6273,55.4488,30.4509,0.0,594.0,387.36,0.0,599.3565
bjc,1,path,,UNLABELED,104.49,276.81,236.32,96.76,131.83,180.05,23735.9956,1126.1001,680.8293,170.405,186.785,0.7322,95,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.1102,137.0806,55.6997,200.7879,0.0,594.0,387.36,0.0,4183.1912
bjc,2,path,,UNLABELED,226.72,368.15,298.03,274.7,71.31,93.45,6663.9201,478.7053,307.8862,262.375,321.425,0.7631,63,1,0,1,rgb,207,207,207,0,none,,,,0.0,55.4857,42.2157,55.6795,85.7008,0.0,594.0,387.36,0.0,1775.9166
bjc,3,path,,UNLABELED,225.56,284.53,226.46,283.05,0.9,1.48,1.332,0.3435,3.7735,226.01,283.79,0.6081,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.1552,3.7789,145.871,1.0873,0.0,594.0,387.36,0.0,0.5745
bjc,4,path,,UNLABELED,192.84,306.87,193.74,305.38,0.9,1.49,1.341,0.3517,3.7817,193.29,306.125,0.604,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.3184,3.8442,145.438,1.0929,0.0,594.0,387.36,0.0,0.5775
bjc,5,path,,UNLABELED,74.49,137.31,107.63,92.72,33.14,44.59,1477.7128,213.8582,170.1127,91.06,115.015,0.7432,47,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.8856,1.6222,145.7179,26.8434,0.0,594.0,387.36,0.0,828.0907
bjc,6,path,,UNLABELED,113.53,196.71,148.34,168.6,34.81,28.11,978.5094,116.3823,97.1402,130.935,182.655,1.2383,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,145.4938,26.5589,145.718,26.8434,0.0,594.0,387.36,0.0,349.4244
bjc,7,path,,UNLABELED,227.8842,294.5316,227.8842,294.5316,0.0,0.0,0.0,0.0,0.0,227.8842,294.5316,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
bjc,8,path,,UNLABELED,199.5267,309.2267,199.5267,309.2267,0.0,0.0,0.0,0.0,0.0,199.5267,309.2267,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
bjc,9,path,,UNLABELED,193.99,314.36,199.53,307.51,5.54,6.85,37.949,14.4525,20.3256,196.76,310.935,0.8088,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,66.4748,2.3718,55.6812,8.088,0.0,594.0,387.36,0.0,18.8272
