airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bkh,0,0,0,294.8565,459.859,66.5481,11.7921
bkh,0,0,1,292.3525,454.9145,108.7309,0.9809
bkh,0,0,2,292.035,455.672,118.6378,0.6677
bkh,0,0,3,290.964,456.6795,141.8927,2.3155
bkh,0,0,4,287.3835,459.4375,142.5661,6.7237
bkh,0,0,5,282.2325,463.363,142.8228,6.2289
bkh,0,0,6,279.657,465.524,108.6211,0.5888
bkh,0,0,7,279.3615,466.38,109.2496,1.2223
bkh,0,0,8,279.1145,467.4615,95.1537,1.0131
bkh,0,0,9,278.9865,468.849,95.338,1.7737
bkh,0,0,10,278.7625,471.1395,95.7406,2.8292
bkh,0,0,11,278.7125,472.8885,74.9996,0.7071
bkh,0,0,12,279.06,473.5355,50.0383,0.7972
bkh,0,0,13,282.32,474.0475,3.9324,6.0222
bkh,0,0,14,286.46,473.5425,147.9403,2.6808
bkh,0,0,15,288.363,472.165,139.0315,2.0316
bkh,0,0,16,291.3695,469.7725,142.3703,5.6555
bkh,1,0,0,263.9185,335.8985,86.4933,2.5017
bkh,1,0,1,263.583,331.252,85.6415,6.8157
bkh,1,0,2,262.941,322.829,85.6413,10.0791
bkh,1,0,3,262.5345,317.5015,85.5582,0.6068
bkh,1,0,4,262.1665,317.119,13.0739,0.7073
bkh,1,0,5,260.171,317.6735,158.9774,3.5375
bkh,1,0,6,257.707,318.6055,159.901,1.7315
bkh,1,0,7,255.6225,319.386,159.1997,2.7203
bkh,1,0,8,252.6795,320.491,159.5889,3.567
bkh,1,0,9,245.959,323.3655,155.957,11.0573
bkh,1,0,10,243.011,330.5995,67.1319,10.8129
bkh,1,0,11,246.7655,339.4715,66.9741,8.4546
bkh,1,0,12,250.2695,345.545,49.7125,5.7236
bkh,1,0,13,252.5565,347.7835,7.2466,0.88
bkh,1,0,14,253.363,347.811,175.6724,0.7421
bkh,1,0,15,256.6825,346.461,155.8575,6.4644
bkh,1,0,16,260.0285,344.621,127.4317,1.3047
bkh,1,0,17,260.633,343.603,112.5881,1.0831
bkh,1,0,18,261.9075,343.7825,32.5027,2.5291
bkh,1,0,19,263.1755,343.885,109.2494,1.2223
bkh,1,0,20,263.524,342.639,102.393,1.3699
bkh,1,0,21,263.769,340.7615,94.6365,2.4249
bkh,2,0,0,257.065,349.053,154.8575,3.6388
bkh,2,0,1,258.927,348.2025,160.1774,0.4571
bkh,2,0,2,259.4005,348.1105,176.7904,0.5178
bkh,2,0,3,259.9725,348.1315,6.4603,0.631
bkh,2,0,4,260.5365,348.349,36.0013,0.6193
bkh,2,0,5,261.048,348.7595,41.2013,0.6938
bkh,2,0,6,261.7535,349.924,64.597,2.0724
bkh,2,0,7,264.331,355.8395,66.8119,10.8342
bkh,2,0,8,266.516,361.343,84.3325,1.0532
bkh,2,0,9,266.4225,362.3375,107.1833,0.985
bkh,2,0,10,265.9015,363.2175,132.5202,1.1112
bkh,2,0,11,267.697,362.65,155.7713,4.7614
bkh,2,0,12,266.9295,354.7165,67.1002,15.1033
bkh,2,0,13,263.488,346.502,68.2063,2.7097
bkh,2,0,14,262.9625,345.0665,82.7783,0.3578
bkh,2,0,15,262.957,344.6755,94.5521,0.4284
bkh,2,0,16,261.9075,343.782,32.5216,2.5297
bkh,2,0,17,260.633,343.6025,112.5679,1.084
bkh,2,0,18,260.0285,344.621,127.4317,1.3047
bkh,2,0,19,258.94,345.5545,149.0182,1.6143
bkh,2,0,20,258.132,346.031,152.2595,0.2621
bkh,2,0,21,256.8245,346.6265,155.8392,2.6118
bkh,2,0,22,255.0285,347.396,158.7569,1.2971
bkh,2,0,23,254.079,347.707,167.5761,0.7065
bkh,2,0,24,253.3635,347.811,175.6782,0.7431
bkh,2,0,25,252.5565,347.7835,7.2466,0.88
bkh,2,0,26,251.783,347.6005,20.7229,0.7206
bkh,2,0,27,251.174,347.376,19.6269,0.5776
bkh,2,0,28,250.6095,347.0975,31.821,0.6885
bkh,2,0,29,250.056,346.6455,46.0238,0.7518
bkh,2,0,30,249.5615,346.003,57.8844,0.8784
bkh,2,0,31,248.8735,344.4965,68.1682,2.4443
bkh,2,0,32,246.766,339.4715,66.9803,8.4542
bkh,2,0,33,243.0115,330.5995,67.127,10.8133
bkh,2,0,34,238.153,319.1495,66.9153,14.0631
bkh,2,0,35,234.322,310.0605,67.714,5.6641
bkh,2,0,36,233.1245,306.862,77.9394,1.1821
bkh,2,0,37,232.8875,305.772,77.5008,1.0489
