airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
bpt,0,path,,UNLABELED,40.67,403.34,89.71,352.87,49.04,50.47,2475.0484,580.8009,204.6917,65.19,378.105,0.9717,43,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.3603,1.6178,162.3808,32.872,0.0,594.0,387.36,0.0,1476.814
bpt,1,path,,UNLABELED,151.09,240.37,223.06,133.28,71.97,107.09,7707.2694,993.6839,266.1153,187.075,186.825,0.6721,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.2644,169.7503,59.0422,115.6672,0.0,594.0,387.36,0.0,1453.9304
bpt,2,path,,UNLABELED,127.79,269.64,173.58,226.85,45.79,42.79,1959.3542,303.8075,146.2103,150.685,248.245,1.0701,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,45.601,17.1885,57.3797,37.4349,0.0,594.0,387.36,0.0,815.3922
bpt,3,compound,,UNLABELED,88.59,496.58,359.18,162.67,270.59,333.91,90352.7087,6822.3336,1867.6832,223.885,329.625,0.8104,279,9,0,1,rgb,207,207,207,0,none,,,,0.0,129.6042,8.1922,59.0354,110.4159,0.0,594.0,387.36,0.0,40550.42
bpt,4,path,,UNLABELED,291.59,535.24,291.59,465.35,0.0,69.89,0.0,0.0,69.89,291.59,500.295,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,90.0,1000000.0,90.0,69.89,0.0,594.0,387.36,0.0,0.0
bpt,5,path,,UNLABELED,291.59,530.84,311.69,465.35,20.1,65.49,1316.3494,0.0,68.5051,301.64,498.095,0.3069,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,72.9378,1000000.0,72.9378,68.5051,0.0,594.0,387.36,0.0,0.0
bpt,6,path,,UNLABELED,308.88,530.84,311.69,521.69,2.81,9.15,25.7115,8.0615,18.0229,310.285,526.265,0.3071,10,1,0,1,rgb,0,0,0,0,none,,,,0.0,78.5218,27.6123,72.9281,9.5718,0.0,594.0,387.36,0.0,9.9916
bpt,7,path,,UNLABELED,289.14,536.9,294.04,526.23,4.9,10.67,52.2833,22.8186,20.4339,291.59,531.565,0.4592,6,1,0,1,rgb,0,0,0,0,none,,,,0.0,89.8987,5.0376,102.5423,4.651,0.0,594.0,387.36,0.0,26.1416
bpt,8,path,,UNLABELED,298.93,485.74,302.94,482.79,4.01,2.95,11.8295,3.0066,14.6444,300.935,484.265,1.3593,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,170.6373,1.9257,5.555,4.0289,0.0,594.0,387.36,0.0,5.7447
bpt,9,compound,,UNLABELED,300.14,487.9,304.2,484.64,4.06,3.26,13.2357,3.5611,17.2017,302.17,486.27,1.2454,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,163.5022,1.2396,7.5761,4.0958,0.0,594.0,387.36,0.0,6.3496
bpt,10,compound,,UNLABELED,300.91,490.85,304.94,488.19,4.03,2.66,10.7198,3.7971,18.0507,302.925,489.52,1.515,45,2,0,1,rgb,0,0,0,0,none,,,,0.0,165.0009,3.0683,163.0523,3.5335,0.0,594.0,387.36,0.0,7.0568
bpt,11,path,,UNLABELED,302.6,495.46,306.2,494.05,3.6,1.41,5.076,1.5855,8.9168,304.4,494.755,2.5532,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,168.2755,22.8696,163.0523,3.5335,0.0,594.0,387.36,0.0,2.5562
bpt,12,path,,UNLABELED,306.29,496.47,306.81,495.95,0.52,0.52,0.2704,0.2083,1.6289,306.55,496.21,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,162.7005,1.1161,41.1797,0.1063,0.0,594.0,387.36,0.0,0.2083
bpt,13,compound,,UNLABELED,303.79,499.93,307.44,497.35,3.65,2.58,9.417,3.3886,17.2706,305.615,498.64,1.4147,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,162.9655,2.6339,148.7364,0.3276,0.0,594.0,387.36,0.0,7.2123
bpt,14,compound,,UNLABELED,304.61,502.01,306.21,500.41,1.6,1.6,2.56,1.4232,7.7047,305.41,501.21,1.0,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,162.4467,1.1179,83.0873,0.3324,0.0,594.0,387.36,0.0,1.9853
bpt,15,path,,UNLABELED,305.85,507.16,309.79,504.28,3.94,2.88,11.3472,3.3191,16.702,307.82,505.72,1.3681,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,155.3269,2.6748,162.8973,3.5364,0.0,594.0,387.36,0.0,6.8016
bpt,16,path,,UNLABELED,144.93,186.02,146.3,182.56,1.37,3.46,4.7402,2.0381,4.7528,145.615,184.29,0.396,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,102.829,10.7307,92.4823,3.4632,0.0,594.0,387.36,0.0,2.1323
bpt,17,path,,UNLABELED,144.93,186.02,146.3,182.56,1.37,3.46,4.7402,2.0381,4.7528,145.615,184.29,0.396,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,102.829,10.7307,92.4823,3.4632,0.0,594.0,387.36,0.0,2.1323
bpt,18,path,,UNLABELED,305.04,176.82,308.21,174.51,3.17,2.31,7.3227,2.0556,4.706,306.625,175.665,1.3723,4,1,0,1,rgb,0,0,0,0,none,,,,0.0,147.9268,10.2256,137.4895,3.4185,0.0,594.0,387.36,0.0,2.1242
bpt,19,path,,UNLABELED,82.61,402.19,84.55,112.02,1.94,290.17,562.9305,0.0,290.1765,83.58,257.105,0.0067,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,89.6169,1000000.0,89.6169,290.1765,0.0,594.0,387.36,0.0,0.0
bpt,20,path,,UNLABELED,82.25,85.65,82.39,65.18,0.14,20.47,2.8658,0.0,20.4705,82.32,75.415,0.0068,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,89.6081,1000000.0,89.6081,20.4705,0.0,594.0,387.36,0.0,0.0
