airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
bqk,0,0,0,226.52,395.19,24.8465,23.5609
bqk,0,0,1,215.095,391.83,114.8095,3.5033
bqk,0,0,2,218.51,395.34,24.8276,9.1453
bqk,0,0,3,221.425,399.93,114.8227,5.8836
bqk,1,0,0,211.0,391.75,26.4284,7.5043
bqk,2,0,0,239.055,396.19,115.0368,8.7193
bqk,2,0,1,228.38,386.515,24.5731,27.5337
bqk,2,0,2,216.05,380.375,114.6004,0.9128
bqk,2,0,3,215.275,379.515,24.7568,2.1253
bqk,2,0,4,214.41,378.85,114.4443,0.4833
bqk,2,0,5,213.79,378.305,24.2942,1.5799
bqk,2,0,6,213.165,377.77,114.3415,0.461
bqk,2,0,7,212.115,377.105,21.6719,2.4642
bqk,3,0,0,210.335,381.06,24.153,2.4439
bqk,3,0,1,208.335,388.54,114.05,15.2871
bqk,4,0,0,207.395,406.505,24.9497,2.0625
bqk,4,0,1,206.45,406.09,116.5738,0.0447
bqk,4,0,2,204.47,405.215,24.4329,4.3276
bqk,4,0,3,202.685,403.83,110.6836,1.0475
bqk,4,0,4,201.645,398.425,76.0049,10.1307
bqk,4,0,5,203.18,387.49,114.6301,13.2451
bqk,4,0,6,205.45,381.53,173.0192,0.9873
bqk,4,0,7,204.84,381.1,76.2389,1.009
bqk,4,0,8,205.64,380.3,161.3785,1.9416
bqk,4,0,9,213.93,363.41,113.9657,36.2885
bqk,4,0,10,221.3,346.335,90.0,0.99
bqk,4,0,11,221.3,345.165,90.0,1.35
bqk,4,0,12,221.29,344.455,74.053,0.0728
bqk,4,0,13,223.965,345.65,24.6126,5.9066
bqk,4,0,14,226.555,346.915,159.776,0.2025
bqk,4,0,15,225.66,347.07,171.4691,1.6179
bqk,4,0,16,224.43,347.685,130.9803,1.3114
bqk,4,0,17,223.51,348.915,123.6902,1.7667
bqk,4,0,18,216.995,363.15,114.051,29.5669
bqk,4,0,19,212.115,377.105,21.672,2.4642
bqk,4,0,20,213.165,377.77,114.339,0.461
bqk,4,0,21,213.79,378.305,24.2939,1.5799
bqk,4,0,22,214.41,378.85,114.4435,0.4833
bqk,4,0,23,215.275,379.515,24.7562,2.1253
bqk,4,0,24,216.05,380.375,114.6,0.9129
bqk,4,0,25,228.38,386.515,24.5731,27.5337
bqk,4,0,26,239.055,396.19,115.0367,8.7193
bqk,4,0,27,226.52,395.19,24.8465,23.5609
bqk,4,0,28,215.095,391.83,114.8095,3.5033
bqk,4,0,29,211.0,391.75,26.4284,7.5043
bqk,4,0,30,209.545,385.82,114.0934,9.3331
bqk,4,0,31,210.335,381.06,24.153,2.4439
bqk,4,0,32,206.415,386.85,114.0343,13.7742
bqk,4,0,33,203.55,393.57,97.9431,0.8683
bqk,4,0,34,203.675,394.43,66.7213,0.9362
bqk,4,0,35,204.165,394.98,21.4772,0.6555
bqk,4,0,36,204.845,395.31,29.2487,0.8596
bqk,4,0,37,205.5,395.67,28.1789,0.6353
bqk,4,0,38,212.985,399.21,25.1973,15.9253
bqk,4,0,39,218.47,406.715,112.6841,8.92
bqk,4,0,40,212.535,408.905,24.5463,9.2675
bqk,4,0,41,208.325,406.96,104.0311,0.0412
bqk,5,0,0,223.475,339.24,163.4568,1.0536
bqk,6,0,0,204.17,290.815,90.0,0.01
bqk,6,0,1,206.43,285.48,112.9777,11.5787
bqk,6,0,2,209.925,280.595,19.8156,2.6255
bqk,6,0,3,208.665,286.395,114.9818,11.8154
bqk,6,0,4,205.17,291.285,24.9383,2.2056
bqk,7,0,0,216.335,282.075,25.5597,2.2946
bqk,7,0,1,214.795,288.575,113.2101,13.0676
bqk,7,0,2,211.1,294.06,24.9049,2.4697
bqk,7,0,3,212.64,287.56,113.9803,13.0898
bqk,8,0,0,207.75,292.495,90.0,0.01
bqk,8,0,1,209.985,293.54,24.9536,4.9302
bqk,8,0,2,209.555,300.275,115.0774,12.5754
bqk,8,0,3,197.88,302.035,23.5927,19.6636
bqk,8,0,4,184.675,296.01,26.483,9.3736
bqk,8,0,5,164.615,286.705,24.4548,34.8571
bqk,8,0,6,148.43,279.49,0.0,0.64
bqk,8,0,7,144.71,277.84,25.8869,7.5584
bqk,8,0,8,125.18,268.825,24.5416,35.4638
bqk,8,0,9,105.765,259.985,24.1807,7.2019
bqk,8,0,10,98.935,256.63,27.938,8.0253
bqk,8,0,11,95.24,254.53,55.713,0.5325
bqk,8,0,12,94.11,252.375,63.1396,4.338
bqk,8,0,13,93.455,249.83,118.0481,1.3824
bqk,8,0,14,80.185,242.96,24.7244,29.934
bqk,8,0,15,68.345,232.885,114.7038,8.3986
bqk,8,0,16,73.545,230.655,24.7064,7.5843
bqk,8,0,17,77.105,231.995,115.1448,0.5413
bqk,8,0,18,86.185,235.975,25.2334,19.8214
bqk,8,0,19,94.995,240.535,114.8293,0.7383
bqk,8,0,20,96.155,241.495,25.421,2.9119
bqk,8,0,21,98.295,244.515,70.9927,5.0662
bqk,8,0,22,99.815,245.445,115.3798,3.243
bqk,8,0,23,101.725,244.5,23.1703,2.6432
bqk,8,0,24,105.485,246.21,25.0601,5.6189
bqk,8,0,25,111.405,239.965,114.4149,16.3303
bqk,8,0,26,116.19,233.17,24.4133,3.0969
bqk,8,0,27,114.14,241.25,114.9409,16.4104
bqk,8,0,28,113.16,249.8,24.1121,5.4341
bqk,8,0,29,115.85,250.355,110.7257,1.1868
bqk,8,0,30,116.925,250.245,27.2239,1.9455
bqk,8,0,31,117.57,251.14,116.0538,1.0018
bqk,8,0,32,124.095,254.755,25.1376,14.9013
bqk,8,0,33,131.27,257.745,157.8562,0.9285
bqk,8,0,34,131.955,257.19,123.8631,0.9153
bqk,8,0,35,132.25,256.465,96.6148,0.6946
bqk,8,0,36,132.12,255.78,63.4339,0.7603
bqk,8,0,37,130.33,254.54,29.0548,3.7064
bqk,8,0,38,129.3,252.335,114.3283,2.8643
bqk,8,0,39,129.94,250.925,115.4622,0.2326
bqk,8,0,40,130.15,250.92,32.0024,0.3774
bqk,8,0,41,130.295,251.045,120.9535,0.0583
bqk,8,0,42,130.55,251.205,26.5638,0.6037
bqk,8,0,43,131.43,251.72,31.9201,1.4373
bqk,8,0,44,132.635,252.275,16.3898,1.2404
bqk,8,0,45,133.615,252.45,0.0,0.77
bqk,8,0,46,134.3,252.065,127.9271,0.9762
bqk,8,0,47,135.2,250.44,115.8208,2.7551
bqk,8,0,48,137.465,249.925,23.5302,3.632
bqk,8,0,49,139.43,250.095,118.3929,1.2618
bqk,8,0,50,140.795,250.01,23.8127,2.3282
bqk,8,0,51,140.195,253.94,115.6975,7.6796
bqk,8,0,52,138.78,257.565,33.4237,0.5991
bqk,8,0,53,138.595,258.535,118.3852,1.83
bqk,8,0,54,140.78,260.595,25.5946,5.8101
bqk,8,0,55,143.815,260.96,114.9997,1.964
bqk,8,0,56,144.41,260.145,22.619,0.39
bqk,8,0,57,145.96,257.315,115.2485,6.4237
bqk,8,0,58,150.275,255.82,25.5841,6.5303
bqk,8,0,59,151.635,260.515,115.7571,7.2948
bqk,8,0,60,150.01,264.27,94.8646,0.9434
bqk,8,0,61,150.14,265.295,72.9698,1.1609
bqk,8,0,62,150.565,266.32,61.5174,1.0694
bqk,8,0,63,152.83,267.815,27.0196,4.5125
bqk,8,0,64,155.05,268.455,118.6097,0.8771
bqk,8,0,65,156.025,268.41,23.963,1.6743
bqk,8,0,66,156.78,268.765,123.6968,0.0361
bqk,8,0,67,157.87,269.265,23.7932,2.4043
bqk,8,0,68,158.975,269.735,108.4262,0.0316
bqk,8,0,69,159.725,270.05,23.8911,1.6296
bqk,8,0,70,160.3,270.765,113.8243,0.8417
bqk,8,0,71,164.38,273.115,24.8136,9.3646
bqk,8,0,72,168.945,275.24,26.9286,0.7066
bqk,8,0,73,169.265,275.385,108.4524,0.0316
bqk,8,0,74,173.03,277.105,24.7703,8.282
bqk,8,0,75,177.215,278.885,6.0439,0.8547
bqk,8,0,76,178.37,278.845,173.358,1.4699
bqk,8,0,77,179.57,278.505,151.5189,1.0694
bqk,8,0,78,180.465,277.865,137.8261,1.1469
bqk,8,0,79,181.145,277.265,139.8647,0.6671
bqk,8,0,80,186.78,279.485,24.3516,11.8108
bqk,8,0,81,191.535,283.265,114.9235,2.9662
bqk,8,0,82,191.245,284.77,25.5303,0.7425
bqk,8,0,83,195.005,286.53,25.0399,7.5606
bqk,8,0,84,199.335,288.555,25.1546,1.9997
bqk,8,0,85,203.205,290.365,25.0382,6.5451
bqk,8,0,86,206.96,292.12,25.0959,1.7447
bqk,9,0,0,146.795,279.68,164.2789,1.4025
bqk,9,0,1,145.705,280.32,132.6827,1.2243
bqk,9,0,2,144.84,281.975,110.478,2.5726
bqk,9,0,3,144.465,283.855,83.6595,1.3583
bqk,9,0,4,144.765,284.945,61.5346,0.9441
bqk,9,0,5,145.255,285.77,57.124,0.9764
bqk,9,0,6,161.57,293.47,24.4278,35.256
bqk,9,0,7,178.26,300.76,0.0,1.28
bqk,9,0,8,179.54,300.61,166.8099,1.3147
bqk,9,0,9,180.745,300.01,141.4644,1.4446
bqk,9,0,10,181.685,298.845,117.676,1.6147
bqk,9,0,11,182.1,297.415,93.202,1.4323
bqk,9,0,12,182.025,296.1,79.1499,1.2218
bqk,9,0,13,181.195,294.71,47.8531,2.1311
bqk,9,0,14,184.675,296.01,26.483,9.3736
bqk,9,0,15,188.695,298.09,3.2688,0.3506
bqk,9,0,16,187.395,297.87,10.5731,2.2889
bqk,9,0,17,186.1,297.56,30.4662,0.3945
bqk,9,0,18,185.76,297.505,165.1739,0.3517
bqk,9,0,19,185.16,298.02,132.4551,1.2741
bqk,9,0,20,184.39,299.215,115.1245,1.6015
bqk,9,0,21,184.045,299.955,108.4262,0.0316
bqk,9,0,22,183.79,300.81,106.5741,1.7528
bqk,9,0,23,183.75,302.205,69.2743,1.1868
bqk,9,0,24,184.475,303.315,47.1413,1.5143
bqk,9,0,25,248.325,333.14,24.8038,139.5429
bqk,9,0,26,308.255,369.68,115.0967,16.0558
bqk,9,0,27,301.375,375.355,24.6548,7.6471
bqk,9,0,28,298.375,373.595,160.8453,1.0057
bqk,9,0,29,299.575,373.045,152.0297,1.6418
bqk,9,0,30,300.855,372.19,139.7413,1.4545
bqk,9,0,31,303.035,368.385,115.9779,7.4197
bqk,9,0,32,304.7,364.495,94.1216,1.1129
bqk,9,0,33,304.53,363.385,69.2752,1.1868
bqk,9,0,34,303.89,362.275,52.2325,1.4042
bqk,9,0,35,268.42,345.49,24.8529,77.2325
bqk,9,0,36,232.995,329.43,156.1761,0.8417
bqk,9,0,37,232.18,330.025,135.3349,1.2092
bqk,9,0,38,229.83,334.595,114.8539,9.1362
bqk,9,0,39,227.91,339.21,90.0,0.94
bqk,9,0,40,228.04,340.155,74.6941,0.9849
bqk,9,0,41,228.455,341.335,67.989,1.5209
bqk,9,0,42,225.855,340.715,24.6681,6.3494
bqk,9,0,43,223.475,339.24,163.4578,1.0536
bqk,9,0,44,224.62,338.705,148.9703,1.4938
bqk,9,0,45,227.355,333.875,115.2353,9.8279
bqk,9,0,46,229.45,329.085,90.0,0.69
bqk,9,0,47,229.365,328.315,78.6893,0.8668
bqk,9,0,48,228.98,327.59,45.0,0.8485
bqk,9,0,49,210.91,319.0,25.0098,39.2172
bqk,9,0,50,192.46,310.75,176.6341,1.3624
bqk,9,0,51,190.965,311.09,159.7913,1.7369
bqk,9,0,52,189.77,311.775,134.6257,1.0819
bqk,9,0,53,187.765,315.665,114.8735,7.7268
bqk,9,0,54,186.27,319.81,78.5182,1.3061
bqk,9,0,55,186.695,321.09,65.2528,1.4094
bqk,9,0,56,187.635,322.605,53.6046,2.1741
bqk,9,0,57,184.025,321.525,24.6767,9.3652
bqk,9,0,58,180.735,319.37,168.2903,1.971
bqk,9,0,59,182.51,318.785,154.5783,1.7937
bqk,9,0,60,183.835,317.63,123.7757,1.8527
bqk,9,0,61,185.715,313.655,113.069,6.9671
bqk,9,0,62,186.995,309.81,82.4348,1.2912
bqk,9,0,63,186.565,308.655,56.1816,1.2398
bqk,9,0,64,185.71,307.585,47.419,1.5075
bqk,9,0,65,145.075,288.79,24.4456,88.1524
bqk,9,0,66,104.44,270.595,174.9577,1.024
bqk,9,0,67,103.375,270.85,159.2738,1.1868
bqk,9,0,68,102.39,271.49,135.0003,1.2162
bqk,9,0,69,100.425,275.55,112.9218,7.8824
bqk,9,0,70,98.93,279.865,86.658,1.3723
bqk,9,0,71,99.355,281.105,55.2514,1.3509
bqk,9,0,72,100.4,282.56,53.7461,2.2321
bqk,9,0,73,96.785,281.5,24.6306,9.4058
bqk,9,0,74,92.92,279.445,166.9542,0.8417
bqk,9,0,75,94.185,279.095,163.3936,1.7844
bqk,9,0,76,95.555,278.415,140.4689,1.3354
bqk,9,0,77,97.82,274.355,115.7076,8.0686
bqk,9,0,78,99.525,270.08,85.9778,1.2832
bqk,9,0,79,99.185,268.97,57.8854,1.1098
bqk,9,0,80,98.505,267.945,55.2517,1.3509
bqk,9,0,81,81.42,259.655,24.8523,36.8087
