airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
btl,0,0,0,277.065,300.125,47.5447,1.9111
btl,0,0,1,276.38,299.47,128.6534,0.1281
btl,0,0,2,275.39,300.405,137.0288,2.5967
btl,0,0,3,273.88,301.695,144.1257,1.3822
btl,0,0,4,273.075,302.2,157.7949,0.5292
btl,0,0,5,272.575,302.37,164.6518,0.5289
btl,0,0,6,272.065,302.485,169.9887,0.5179
btl,0,0,7,271.045,302.515,1.1233,1.5303
btl,0,0,8,267.575,302.39,2.3287,5.4145
btl,0,0,9,262.77,302.175,2.8627,4.2053
btl,0,0,10,256.09,301.915,1.9383,9.1652
btl,0,0,11,250.985,301.705,5.9798,1.0557
btl,0,0,12,250.4,301.635,14.0362,0.1237
btl,0,0,13,247.74,301.095,11.416,5.305
btl,0,0,14,245.095,300.545,29.0497,0.1029
btl,0,0,15,245.085,301.94,88.5879,2.8409
btl,0,0,16,257.73,303.825,2.1118,25.2371
btl,0,0,17,271.15,304.305,1.0609,1.6203
btl,0,0,18,272.25,304.3,176.0569,0.5814
btl,0,0,19,272.83,304.225,169.2599,0.5904
btl,0,0,20,273.4,304.075,161.2584,0.5914
btl,0,0,21,273.95,303.845,153.4362,0.6037
btl,0,0,22,274.485,303.54,147.3197,0.6297
btl,0,0,23,275.995,302.265,138.4089,3.3293
btl,0,0,24,277.355,301.07,141.9554,0.2921
btl,1,0,0,308.39,296.06,47.1959,4.7977
btl,1,0,1,306.485,294.105,35.3417,0.6742
btl,1,0,2,305.92,293.755,28.1228,0.6577
btl,1,0,3,305.33,293.49,20.1372,0.639
btl,1,0,4,304.725,293.31,12.9243,0.6259
btl,1,0,5,304.11,293.22,3.6922,0.6213
btl,1,0,6,303.485,293.225,175.4634,0.632
btl,1,0,7,302.865,293.32,167.0724,0.6258
btl,1,0,8,302.26,293.505,159.0283,0.6426
btl,1,0,9,301.67,293.775,151.8772,0.6577
btl,1,0,10,300.535,294.535,144.3973,2.0785
btl,1,0,11,300.45,296.215,54.7407,2.633
btl,1,0,12,302.065,296.665,143.8333,2.1182
btl,1,0,13,303.105,295.975,160.6401,0.3922
btl,1,0,14,303.48,295.88,171.0278,0.3847
btl,1,0,15,303.865,295.86,2.934,0.3905
btl,1,0,16,304.25,295.915,13.3282,0.3905
