airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
bvu,0,path,,UNLABELED,209.03,235.21,216.32,119.73,7.29,115.48,841.8503,264.5513,232.7226,212.675,177.47,0.0631,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.802,1866.4847,92.5312,32.832,0.0,594.0,387.36,0.0,269.8398
bvu,1,path,,UNLABELED,273.38,289.53,307.72,278.58,34.34,10.95,376.0234,79.2849,73.1442,290.55,284.055,3.1361,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.5973,144.3999,14.3868,15.8573,0.0,594.0,387.36,0.0,81.5745
bvu,2,path,,UNLABELED,224.63,404.49,250.1,277.09,25.47,127.4,3244.8776,475.4939,261.0488,237.365,340.79,0.1999,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,80.6011,817.3881,80.2543,71.1264,0.0,594.0,387.36,0.0,486.4944
bvu,3,path,,UNLABELED,208.47,407.04,235.65,267.4,27.18,139.64,3795.4137,350.6735,288.9266,222.06,337.22,0.1946,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,80.121,1791.4912,80.4112,57.331,0.0,594.0,387.36,0.0,445.7124
bvu,4,path,,UNLABELED,206.13,245.87,212.24,235.15,6.11,10.72,65.4992,24.6679,24.1183,209.185,240.51,0.57,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.4789,2.3903,92.3811,5.0544,0.0,594.0,387.36,0.0,41.9433
bvu,5,path,,UNLABELED,214.41,120.11,219.12,116.13,4.71,3.98,18.7459,7.9482,11.224,216.765,118.12,1.1834,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.5233,3.4931,71.988,1.714,0.0,594.0,387.36,0.0,9.1916
bvu,6,path,,UNLABELED,218.59,117.76,228.05,114.22,9.46,3.54,33.4885,16.4288,22.7185,223.32,115.99,2.6723,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.4443,15.7851,168.075,8.9532,0.0,594.0,387.36,0.0,19.819
bvu,7,path,,UNLABELED,206.1,260.69,214.21,249.17,8.11,11.52,93.4271,34.1237,31.8479,210.155,254.93,0.704,40,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.42,2.7488,14.5603,7.9555,0.0,594.0,387.36,0.0,65.5391
bvu,8,path,,UNLABELED,203.39,267.81,215.43,259.65,12.04,8.16,98.2465,54.6871,31.249,209.41,263.73,1.4755,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,27.2154,3.7736,12.1029,4.9602,0.0,594.0,387.36,0.0,63.7037
bvu,9,path,,UNLABELED,214.78,272.34,241.8,263.14,27.02,9.2,248.5844,64.0135,59.1465,228.29,267.74,2.937,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.7745,97.8684,14.4086,24.6349,0.0,594.0,387.36,0.0,66.9428
bvu,10,path,,UNLABELED,89.97,262.62,203.96,230.85,113.99,31.77,3621.461,275.0222,235.2734,146.965,246.735,3.588,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,14.4268,1390.6795,14.5236,54.7495,0.0,594.0,387.36,0.0,307.3502
bvu,11,path,,UNLABELED,240.98,277.1,255.52,269.34,14.54,7.76,112.8305,38.722,39.9227,248.25,273.22,1.8737,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.6048,3.4165,14.5742,6.1995,0.0,594.0,387.36,0.0,66.7489
bvu,12,path,,UNLABELED,259.65,280.71,273.99,273.6,14.34,7.11,101.9576,38.0474,30.9653,266.82,277.155,2.0169,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,14.1067,4.7459,14.0162,6.8953,0.0,594.0,387.36,0.0,57.0556
bvu,13,path,,UNLABELED,307.05,290.57,314.82,286.77,7.77,3.8,29.5259,21.3097,18.8898,310.935,288.67,2.0447,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.8677,3.1378,177.7455,3.8129,0.0,594.0,387.36,0.0,22.001
bvu,14,path,,UNLABELED,311.71,287.64,317.2,276.98,5.49,10.66,58.5236,27.5419,24.0348,314.455,282.31,0.515,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.2197,6.8476,105.055,6.2754,0.0,594.0,387.36,0.0,35.6911
bvu,15,path,,UNLABELED,251.0,423.25,259.48,415.66,8.48,7.59,64.363,29.5371,21.3076,255.24,419.455,1.1173,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,139.0053,2.6822,79.2508,4.6109,0.0,594.0,387.36,0.0,31.678
bvu,16,path,,UNLABELED,271.04,427.83,281.07,420.54,10.03,7.29,73.1186,29.9596,27.3445,276.055,424.185,1.3759,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,170.9843,3.3388,170.5072,6.1847,0.0,594.0,387.36,0.0,44.0928
bvu,17,path,,UNLABELED,260.52,429.63,271.37,423.4,10.85,6.23,67.5955,47.1607,29.8101,265.945,426.515,1.7416,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.6289,4.8253,169.5906,6.863,0.0,594.0,387.36,0.0,49.9735
bvu,18,path,,UNLABELED,253.52,412.77,263.48,407.02,9.96,5.75,57.27,39.7082,24.1153,258.5,409.895,1.7322,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,6.6956,4.4971,171.0175,9.0307,0.0,594.0,387.36,0.0,41.2106
bvu,19,path,,UNLABELED,258.62,421.8,265.58,413.9,6.96,7.9,54.9839,36.1732,21.9675,262.1,417.85,0.881,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,58.755,1.8463,173.3065,4.1181,0.0,594.0,387.36,0.0,39.8554
bvu,20,path,,UNLABELED,261.61,424.04,266.82,421.17,5.21,2.87,14.9527,10.3366,11.3025,264.215,422.605,1.8153,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.7699,4.0388,172.9968,5.2492,0.0,594.0,387.36,0.0,10.3366
bvu,21,path,,UNLABELED,259.43,414.38,263.78,412.21,4.35,2.17,9.4395,6.7183,11.122,261.605,413.295,2.0046,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.5549,7.5032,173.3065,4.1181,0.0,594.0,387.36,0.0,6.8611
