airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
cez,0,0,0,121.845,257.06,106.9911,1.1293
cez,0,0,1,121.945,255.96,83.3791,1.1275
cez,0,0,2,82.575,211.1,48.4191,118.4462
cez,0,0,3,43.305,165.615,91.692,2.371
cez,0,0,4,45.915,162.045,137.1938,7.0196
cez,0,0,5,49.62,160.82,45.7506,3.2388
cez,0,0,6,51.08,162.13,24.443,0.725
cez,0,0,7,51.71,162.25,174.2896,0.603
cez,0,0,8,52.355,162.145,167.7356,0.7061
cez,0,0,9,53.08,161.845,149.3694,0.8832
cez,0,0,10,53.805,161.38,145.1767,0.8405
cez,0,0,11,56.33,159.035,136.0026,6.0608
cez,0,0,12,61.34,160.09,48.1534,8.484
cez,0,0,13,63.62,163.015,23.1358,1.1962
cez,0,0,14,61.475,162.52,9.2581,3.2321
cez,0,0,15,58.33,162.72,163.4708,3.2336
cez,0,0,16,53.895,165.745,138.3603,7.7207
cez,0,0,17,51.03,169.55,89.0759,2.4803
cez,0,0,18,51.665,171.59,52.4489,2.0181
cez,0,0,19,53.43,174.01,54.6298,3.9734
cez,0,0,20,55.12,176.36,53.5085,1.816
cez,0,0,21,79.225,203.67,48.4408,71.0438
cez,0,0,22,103.64,231.21,48.478,2.5645
cez,0,0,23,105.565,232.56,19.9403,2.2871
cez,0,0,24,107.785,232.98,1.5008,2.2908
cez,0,0,25,112.075,229.995,136.209,8.7135
cez,0,0,26,115.49,225.52,100.4774,2.9695
cez,0,0,27,115.595,222.58,83.6385,2.9783
cez,0,0,28,119.435,225.615,48.4256,12.0707
cez,0,0,29,121.97,229.895,9.0827,2.9773
cez,0,0,30,119.055,230.015,166.1974,2.9759
cez,0,0,31,114.48,233.225,137.6307,8.473
cez,0,0,32,111.22,237.14,96.992,2.1359
cez,0,0,33,111.375,239.235,74.6043,2.1471
cez,0,0,34,134.18,265.54,48.2934,67.697
cez,0,0,35,157.54,291.175,23.4863,1.8318
cez,0,0,36,159.3,291.545,0.3117,1.84
cez,0,0,37,164.165,288.195,139.6206,10.3574
cez,0,0,38,168.325,283.59,99.7596,2.5367
cez,0,0,39,168.37,281.08,82.3157,2.5428
cez,0,0,40,171.71,284.055,50.3478,11.001
cez,0,0,41,174.06,287.99,14.5003,2.3963
cez,0,0,42,171.725,287.905,169.6309,2.389
cez,0,0,43,166.675,291.425,139.539,10.186
cez,0,0,44,162.91,296.51,86.4637,3.5668
cez,0,0,45,164.66,300.22,49.644,5.0654
cez,0,0,46,187.82,326.415,48.431,64.866
cez,0,0,47,240.445,385.645,48.3436,93.5964
cez,0,0,48,272.415,420.93,20.3014,1.8446
cez,0,0,49,274.2,421.185,175.959,1.8446
cez,0,0,50,278.995,417.69,138.486,10.35
cez,0,0,51,282.97,412.105,92.657,4.3146
cez,0,0,52,284.97,412.26,50.5624,5.982
cez,0,0,53,283.345,417.655,138.8083,9.3686
cez,0,0,54,279.83,421.18,88.6988,0.8802
cez,0,0,55,280.805,422.675,47.5512,2.8595
