airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
cfj,0,0,0,287.69,404.69,47.0296,9.184
cfj,0,0,1,283.55,402.335,135.1421,2.8496
cfj,0,0,2,282.575,403.37,40.6044,0.0922
cfj,0,0,3,285.72,406.72,46.8706,9.0982
cfj,1,0,0,298.34,416.255,56.3234,0.036
cfj,1,0,1,298.155,415.97,57.0507,0.6435
cfj,1,0,2,297.85,415.4,66.5702,0.6539
cfj,1,0,3,297.625,414.77,73.9399,0.6868
cfj,1,0,4,297.475,414.095,80.9433,0.6987
cfj,1,0,5,297.415,413.4,89.1807,0.7001
cfj,1,0,6,297.445,412.705,95.7934,0.6935
cfj,1,0,7,297.56,412.025,103.4314,0.6888
cfj,1,0,8,297.765,411.375,111.6443,0.6778
cfj,1,0,9,298.05,410.78,119.7432,0.645
cfj,1,0,10,298.4,410.255,127.7949,0.6201
cfj,1,0,11,298.815,409.81,138.3666,0.6021
cfj,1,0,12,299.285,409.46,148.5224,0.5745
cfj,1,0,13,298.565,408.255,47.5512,2.8595
cfj,1,0,14,297.49,407.3,137.7247,0.2973
cfj,1,0,15,296.755,407.92,140.2397,1.6261
cfj,1,0,16,295.79,408.67,145.9221,0.821
cfj,1,0,17,295.09,409.055,156.7056,0.7839
cfj,1,0,18,294.35,409.285,168.8357,0.7747
cfj,1,0,19,293.59,409.35,1.5066,0.7603
cfj,1,0,20,292.835,409.25,13.4963,0.7713
cfj,1,0,21,292.1,408.99,25.2784,0.7962
cfj,1,0,22,291.41,408.575,36.5912,0.822
cfj,1,0,23,290.95,408.19,47.1199,0.3821
cfj,1,0,24,289.825,409.045,134.9998,2.8143
cfj,1,0,25,288.99,410.215,47.5651,0.4742
cfj,1,0,26,289.265,410.65,66.139,0.5686
cfj,1,0,27,289.46,411.19,74.0542,0.5824
cfj,1,0,28,289.585,411.765,81.3271,0.5968
cfj,1,0,29,289.635,412.36,89.0442,0.6001
cfj,1,0,30,289.615,412.955,94.8458,0.5921
cfj,1,0,31,289.525,413.54,102.6338,0.5944
cfj,1,0,32,289.365,414.1,109.3816,0.5724
cfj,1,0,33,290.565,415.72,46.1912,3.7414
cfj,1,0,34,292.285,416.98,168.0426,0.8688
cfj,1,0,35,293.145,416.875,178.0252,0.8705
cfj,1,0,36,294.01,416.935,9.8947,0.873
cfj,1,0,37,294.855,417.16,19.8711,0.8826
cfj,1,0,38,295.665,417.54,30.2124,0.9142
cfj,1,0,39,296.2,417.92,46.9753,0.4104
cfj,2,0,0,323.17,434.82,46.1935,2.7159
cfj,2,0,1,322.14,433.925,136.6332,0.2476
cfj,2,0,2,321.71,434.34,135.8553,0.9476
cfj,2,0,3,320.995,434.93,145.2649,0.9126
cfj,2,0,4,320.22,435.375,155.1802,0.8814
cfj,2,0,5,319.4,435.655,167.2545,0.8612
cfj,2,0,6,318.555,435.77,177.3052,0.8509
cfj,2,0,7,317.71,435.72,9.4623,0.8516
cfj,2,0,8,316.885,435.495,20.9435,0.8673
cfj,2,0,9,316.09,435.105,31.0709,0.9107
cfj,2,0,10,315.35,434.565,41.0706,0.9285
cfj,2,0,11,314.075,435.145,136.2663,2.5603
cfj,2,0,12,315.6,438.655,46.975,7.1814
cfj,3,0,0,174.105,282.625,41.0997,0.6237
cfj,3,0,1,139.0,244.865,47.1231,102.4948
cfj,3,0,2,103.735,206.87,48.0849,1.1826
cfj,3,0,3,103.32,206.395,60.2571,0.0806
cfj,3,0,4,102.275,207.245,139.1918,2.7084
cfj,3,0,5,103.135,210.16,47.1211,5.5404
cfj,3,0,6,138.745,248.465,47.0863,99.0606
cfj,4,0,0,180.81,289.48,66.2504,0.5463
cfj,4,0,1,180.625,288.955,74.7452,0.5701
cfj,4,0,2,180.505,288.395,81.0263,0.5771
cfj,4,0,3,180.46,287.82,90.0,0.58
cfj,4,0,4,180.49,287.245,96.0105,0.5731
cfj,4,0,5,180.59,286.685,104.2806,0.5676
cfj,4,0,6,180.765,286.15,111.9907,0.5608
cfj,4,0,7,181.0,285.66,119.4773,0.5284
cfj,4,0,8,181.295,285.23,129.5198,0.5186
cfj,4,0,9,181.645,284.865,138.2724,0.4958
cfj,4,0,10,182.035,284.47,131.7115,0.6162
cfj,4,0,11,182.465,284.035,137.6626,0.6088
cfj,4,0,12,181.695,282.725,47.9983,2.9739
cfj,4,0,13,180.595,281.72,136.3986,0.29
cfj,4,0,14,179.85,282.39,138.3109,1.7141
cfj,4,0,15,178.82,283.18,150.5724,0.8955
cfj,4,0,16,178.02,283.525,163.0445,0.8573
cfj,4,0,17,177.185,283.685,175.2937,0.8529
cfj,4,0,18,176.34,283.66,8.1298,0.8485
cfj,4,0,19,175.51,283.45,20.0943,0.8732
cfj,4,0,20,174.72,283.065,31.7338,0.8936
cfj,4,0,21,173.405,283.785,134.3936,2.673
cfj,4,0,22,172.84,285.135,46.8713,1.0824
cfj,4,0,23,176.025,288.565,47.1537,8.279
cfj,5,0,0,56.345,157.405,140.7344,3.397
cfj,5,0,1,74.315,179.195,47.0475,56.6047
cfj,5,0,2,94.995,198.635,137.5732,3.7798
cfj,5,0,3,95.815,197.005,31.6906,1.3515
cfj,5,0,4,94.07,195.705,38.9277,3.008
cfj,5,0,5,90.375,192.255,44.7722,7.1136
cfj,5,0,6,86.34,188.25,44.8094,4.2568
cfj,5,0,7,71.72,172.425,47.5358,38.837
cfj,6,0,0,103.185,206.11,65.2973,0.5504
cfj,6,0,1,102.99,205.585,73.7798,0.5728
cfj,6,0,2,102.86,205.03,79.8754,0.5689
cfj,6,0,3,102.8,204.455,88.0582,0.5904
cfj,6,0,4,102.815,203.87,94.9275,0.5821
cfj,6,0,5,102.895,203.3,101.1131,0.5707
cfj,6,0,6,103.045,202.755,109.7218,0.563
cfj,6,0,7,103.26,202.245,116.0964,0.5456
cfj,6,0,8,103.535,201.785,125.7873,0.5301
cfj,6,0,9,103.865,201.39,134.1941,0.5021
cfj,6,0,10,104.235,201.065,143.365,0.486
cfj,6,0,11,104.955,200.435,137.268,1.4295
cfj,6,0,12,104.19,198.595,46.4076,3.7417
cfj,6,0,13,101.015,198.155,154.1077,4.1907
cfj,6,0,14,97.76,198.215,31.9676,3.2298
cfj,6,0,15,94.995,198.635,137.5734,3.7797
cfj,6,0,16,97.425,204.02,47.057,11.229
cfj,7,0,0,56.315,153.82,61.815,5.6953
cfj,7,0,1,56.02,149.43,119.1837,4.3067
cfj,7,0,2,55.775,146.295,44.1014,3.6067
cfj,7,0,3,51.285,148.03,136.8983,8.7517
cfj,7,0,4,51.56,154.75,47.0681,10.189
cfj,8,0,0,242.495,404.05,42.3334,2.5837
cfj,8,0,1,252.53,396.555,137.347,24.6917
cfj,8,0,2,262.045,387.905,146.7685,1.0401
cfj,8,0,3,261.43,386.615,43.746,2.9069
cfj,9,0,0,268.675,386.405,139.9697,2.9385
cfj,9,0,1,266.335,381.74,47.0326,10.1675
cfj,9,0,2,261.86,379.025,135.1425,2.8497
cfj,9,0,3,261.005,380.275,57.6809,0.5798
cfj,9,0,4,261.28,380.795,66.4236,0.6001
cfj,9,0,5,261.48,381.365,74.8267,0.6113
cfj,9,0,6,261.6,381.97,82.6488,0.6251
cfj,9,0,7,261.635,382.595,90.9103,0.6301
cfj,9,0,8,261.59,383.22,97.3512,0.6251
cfj,9,0,9,261.465,383.825,106.0745,0.614
cfj,9,0,10,261.255,384.39,114.8427,0.5951
cfj,9,0,11,260.975,384.9,122.8557,0.5714
cfj,9,0,12,260.635,385.34,132.7678,0.5449
cfj,9,0,13,260.415,385.575,135.0062,0.099
cfj,9,0,14,261.43,386.615,43.7456,2.9069
cfj,9,0,15,262.55,387.58,150.2571,0.1613
cfj,9,0,16,262.945,387.315,145.3048,0.7906
cfj,9,0,17,263.62,386.935,156.113,0.7656
cfj,9,0,18,264.335,386.695,166.8906,0.7495
cfj,9,0,19,265.065,386.595,177.6468,0.7306
cfj,9,0,20,265.8,386.64,9.2119,0.7497
cfj,9,0,21,266.525,386.83,20.1124,0.7561
cfj,10,0,0,273.775,389.735,47.0825,11.675
cfj,10,0,1,268.675,386.405,139.9697,2.9385
cfj,10,0,2,267.765,387.52,38.3315,0.5482
cfj,10,0,3,271.505,391.49,47.1501,10.3664
cfj,10,0,4,275.3,395.575,46.5481,0.7852
cfj,11,0,0,241.405,413.94,139.7764,2.6325
cfj,11,0,1,240.82,415.21,45.0,1.1879
cfj,11,0,2,244.305,418.97,47.4585,9.0664
cfj,11,0,3,247.575,422.525,46.3642,0.5941
cfj,11,0,4,247.96,422.99,54.2461,0.6161
cfj,11,0,5,248.285,423.525,63.0339,0.6395
cfj,11,0,6,248.54,424.125,70.7505,0.6673
cfj,11,0,7,248.72,424.765,77.845,0.6649
cfj,11,0,8,248.82,425.43,84.9577,0.6826
