airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
crg,0,path,,UNLABELED,119.04,481.13,127.84,471.66,8.8,9.47,83.336,33.8679,19.5738,123.44,476.395,0.9293,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,124.5308,3.6357,88.952,8.2014,0.0,594.0,387.36,0.0,43.3727
crg,1,path,,UNLABELED,119.3,471.8,122.03,459.36,2.73,12.44,33.9612,31.551,19.9508,120.665,465.58,0.2195,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.2445,20.6068,89.9068,12.3,0.0,594.0,387.36,0.0,32.4408
crg,2,path,,UNLABELED,99.71,446.89,109.9,436.69,10.19,10.2,103.938,29.1057,18.6072,104.805,441.79,0.999,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,43.3671,21.9385,45.3386,11.9645,0.0,594.0,387.36,0.0,29.5581
crg,3,path,,UNLABELED,92.6,438.54,101.49,430.23,8.89,8.31,73.876,36.7265,25.6276,97.045,434.385,1.0698,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.2338,3.3903,138.0128,9.4175,0.0,594.0,387.36,0.0,44.8681
crg,4,path,,UNLABELED,132.91,420.87,140.37,413.15,7.46,7.72,57.5913,30.849,16.3007,136.64,417.01,0.9663,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,133.1868,2.9584,51.4469,2.5191,0.0,594.0,387.36,0.0,34.9866
crg,5,path,,UNLABELED,122.61,414.82,134.53,402.78,11.92,12.04,143.5167,33.3192,35.2211,128.57,408.8,0.99,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,53.769,1.6303,46.9282,7.7755,0.0,594.0,387.36,0.0,65.1237
crg,6,path,,UNLABELED,138.76,415.39,150.64,403.37,11.88,12.02,142.7977,36.4216,31.3998,144.7,409.38,0.9884,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,136.3071,27.0936,134.1168,14.2216,0.0,594.0,387.36,0.0,37.9073
crg,7,path,,UNLABELED,148.66,405.66,157.52,396.16,8.86,9.5,84.17,45.3504,27.102,153.09,400.91,0.9326,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,128.4488,2.6711,130.815,4.3603,0.0,594.0,387.36,0.0,53.9506
crg,8,path,,UNLABELED,155.99,396.12,165.1,387.46,9.11,8.66,78.8925,42.5512,25.65,160.545,391.79,1.052,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,127.2393,2.2541,135.1094,7.4105,0.0,594.0,387.36,0.0,43.3669
crg,9,path,,UNLABELED,154.73,398.52,159.64,393.22,4.91,5.3,26.023,13.0329,11.3716,157.185,395.87,0.9264,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.2901,1.5489,42.2736,4.3112,0.0,594.0,387.36,0.0,13.0329
crg,10,path,,UNLABELED,155.51,415.81,167.62,403.69,12.11,12.12,146.7731,36.1781,32.0501,161.565,409.75,0.9992,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,43.7142,19.2376,45.5255,9.2493,0.0,594.0,387.36,0.0,40.4111
crg,11,path,,UNLABELED,165.59,425.54,177.34,413.81,11.75,11.73,137.8276,43.9525,27.7536,171.465,419.675,1.0017,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,43.0339,4.7551,43.0831,8.6669,0.0,594.0,387.36,0.0,53.2899
crg,12,path,,UNLABELED,161.97,390.64,184.61,369.4,22.64,21.24,480.8737,77.638,58.0479,173.29,380.02,1.0659,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,137.4265,68.5333,135.0147,27.5842,0.0,594.0,387.36,0.0,91.3893
