airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
cxy,0,path,,UNLABELED,167.44,212.3,188.64,190.66,21.2,21.64,458.7682,158.6192,62.5642,178.04,201.48,0.9797,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,145.5915,3.0379,153.4782,23.6934,0.0,594.0,387.36,0.0,238.408
cxy,1,path,,UNLABELED,233.85,179.17,245.96,171.77,12.11,7.4,89.6139,38.2072,16.5426,239.905,175.47,1.6365,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,155.5137,11.1508,176.2574,2.1446,0.0,594.0,387.36,0.0,38.2072
cxy,2,path,,UNLABELED,157.37,252.14,257.39,178.31,100.02,73.83,7384.4798,580.0559,343.5528,207.38,215.225,1.3547,103,1,0,1,rgb,207,207,207,0,none,,,,0.0,149.6419,10.1707,153.7712,23.6222,0.0,594.0,387.36,0.0,3177.9615
cxy,3,compound,,UNLABELED,43.78,343.07,333.07,214.89,289.29,128.18,37081.1912,6688.2337,1744.0802,188.425,278.98,2.2569,580,6,0,1,rgb,207,207,207,0,none,,,,0.0,11.1406,14.2208,108.9496,28.5154,0.0,594.0,387.36,0.0,18758.1934
cxy,4,compound,,UNLABELED,118.85,222.2,163.34,134.54,44.49,87.66,3899.994,1111.5496,455.4356,141.095,178.37,0.5075,153,2,0,1,rgb,207,207,207,0,none,,,,0.0,74.8625,8.1474,74.9721,32.5119,0.0,594.0,387.36,0.0,2136.0223
cxy,5,path,,UNLABELED,253.04,341.96,274.29,324.17,21.25,17.79,378.038,169.8266,70.9715,263.665,333.065,1.1945,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.7919,1.4006,178.624,7.9123,0.0,594.0,387.36,0.0,249.1625
cxy,6,compound,,UNLABELED,260.29,438.96,263.44,434.1,3.15,4.86,15.309,5.728,22.4423,261.865,436.53,0.6481,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9932,2.6329,105.0163,0.4245,0.0,594.0,387.36,0.0,12.1844
cxy,7,path,,UNLABELED,264.17,434.78,264.85,434.1,0.68,0.68,0.4624,0.3544,2.1254,264.51,434.44,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.225,1.1166,53.967,0.136,0.0,594.0,387.36,0.0,0.3544
cxy,8,compound,,UNLABELED,265.6,438.96,268.75,434.1,3.15,4.86,15.309,5.733,22.4415,267.175,436.53,0.6481,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,89.9959,2.6344,74.9837,0.4245,0.0,594.0,387.36,0.0,12.1838
cxy,9,compound,,UNLABELED,269.25,438.8,271.32,436.72,2.07,2.08,4.3056,2.4021,10.0287,270.285,437.76,0.9952,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.1231,1.1194,10.5396,0.4374,0.0,594.0,387.36,0.0,3.3577
cxy,10,path,,UNLABELED,273.79,438.79,276.29,434.19,2.5,4.6,11.5,5.6057,21.72,275.04,436.49,0.5435,13,1,0,1,rgb,0,0,0,0,none,,,,0.0,82.5058,2.6707,90.0,4.6,0.0,594.0,387.36,0.0,11.5
cxy,11,compound,,UNLABELED,229.8,445.32,234.22,440.49,4.42,4.83,21.3486,5.9874,22.3124,232.01,442.905,0.9151,12,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.2258,1.2406,65.4132,5.3116,0.0,594.0,387.36,0.0,10.6743
cxy,12,path,,UNLABELED,234.62,445.31,238.62,440.3,4.0,5.01,20.04,7.4867,27.5523,236.62,442.805,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7473,1.7657,133.053,4.9951,0.0,594.0,387.36,0.0,19.22
cxy,13,path,,UNLABELED,239.43,445.31,243.43,440.3,4.0,5.01,20.04,7.4867,27.5523,241.43,442.805,0.7984,9,1,0,1,rgb,0,0,0,0,none,,,,0.0,67.7473,1.7657,133.053,4.9951,0.0,594.0,387.36,0.0,19.22
