airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
dca,0,path,,UNLABELED,185.62,484.42,198.54,458.07,12.92,26.35,340.4418,134.842,40.0092,192.08,471.245,0.4903,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,74.4159,25.0684,73.8601,25.9008,0.0,594.0,387.36,0.0,134.842
dca,1,path,,UNLABELED,159.91,182.62,178.82,144.66,18.91,37.96,717.823,475.7,79.5193,169.365,163.64,0.4982,16,1,0,1,rgb,207,207,207,0,none,,,,0.0,102.8787,9.4176,99.2482,31.6717,0.0,594.0,387.36,0.0,488.7513
dca,2,path,,UNLABELED,73.27,447.35,203.79,162.91,130.52,284.44,37125.1103,10707.891,1205.4011,138.53,305.13,0.4589,334,1,0,1,rgb,207,207,207,0,none,,,,0.0,90.3906,17.4813,37.4177,52.0884,0.0,594.0,387.36,0.0,25846.0418
dca,3,path,,UNLABELED,268.08,261.3,307.29,249.08,39.21,12.22,479.1465,259.1834,83.6472,287.685,255.19,3.2087,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.9212,15.5205,169.6709,33.9095,0.0,594.0,387.36,0.0,259.896
dca,4,path,,UNLABELED,83.59,197.79,157.17,158.4,73.58,39.39,2898.3151,1479.3472,194.5059,120.38,178.095,1.868,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,10.4031,2.2474,37.1886,44.2227,0.0,594.0,387.36,0.0,1695.4941
dca,5,path,,UNLABELED,112.17,462.32,146.35,434.47,34.18,27.85,951.913,613.2237,93.3862,129.26,448.395,1.2273,34,1,0,1,rgb,207,207,207,0,none,,,,0.0,5.0947,10.8243,17.6016,30.6552,0.0,594.0,387.36,0.0,625.9372
dca,6,path,,UNLABELED,270.41,363.25,284.85,348.76,14.44,14.49,209.2355,115.7213,48.8412,277.63,356.005,0.9966,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,33.195,3.1937,25.6292,13.9639,0.0,594.0,387.36,0.0,134.4422
dca,7,path,,UNLABELED,122.58,485.43,140.43,458.57,17.85,26.86,479.451,289.2336,66.5596,131.505,472.0,0.6646,29,1,0,1,rgb,207,207,207,0,none,,,,0.0,70.0861,1.7139,17.7004,12.3339,0.0,594.0,387.36,0.0,331.6378
dca,8,path,,UNLABELED,212.15,124.23,242.2,101.65,30.05,22.58,678.5287,220.8993,81.6569,227.175,112.94,1.3308,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.5138,11.9076,156.3871,21.9695,0.0,594.0,387.36,0.0,272.9719
dca,9,path,,UNLABELED,194.72,390.02,198.54,383.29,3.82,6.73,25.7086,15.6754,16.5315,196.63,386.655,0.5676,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,109.413,9.56,97.3232,5.021,0.0,594.0,387.36,0.0,15.6843
dca,10,path,,UNLABELED,201.25,329.09,207.35,304.5,6.1,24.59,149.9991,99.2109,51.9043,204.3,316.795,0.2481,38,1,0,1,rgb,207,207,207,0,none,,,,0.0,94.4545,102.9471,95.6642,11.0439,0.0,594.0,387.36,0.0,99.2323
dca,11,path,,UNLABELED,197.33,373.88,204.33,342.12,7.0,31.76,222.32,138.4138,67.0591,200.83,358.0,0.2204,38,1,0,1,rgb,207,207,207,0,none,,,,0.0,96.8328,123.7908,94.5942,12.3597,0.0,594.0,387.36,0.0,138.4242
dca,12,path,,UNLABELED,194.67,214.17,207.05,192.5,12.38,21.67,268.2745,108.391,51.2786,200.86,203.335,0.5713,40,1,0,1,rgb,207,207,207,0,none,,,,0.0,63.8058,54.9196,54.5188,8.2524,0.0,594.0,387.36,0.0,108.436
dca,13,path,,UNLABELED,208.57,238.05,213.19,222.9,4.62,15.15,69.9929,50.3868,33.1113,210.88,230.475,0.305,41,1,0,1,rgb,207,207,207,0,none,,,,0.0,91.8428,25.1953,94.5513,8.0654,0.0,594.0,387.36,0.0,50.3868
