airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
dca,0,0,0,191.425,459.78,73.8556,2.7692
dca,0,0,1,188.33,458.26,4.0104,5.4333
dca,0,0,2,189.22,470.51,73.8601,25.9008
dca,0,0,3,195.68,483.685,14.4127,5.9059
dca,1,0,0,178.4,148.27,99.2814,5.2082
dca,1,0,1,177.985,145.77,175.2075,1.6759
dca,1,0,2,176.06,145.96,173.7177,2.1932
dca,1,0,3,170.415,145.37,8.8594,9.22
dca,1,0,4,163.315,160.29,99.2482,31.6717
dca,1,0,5,160.345,176.895,113.5519,2.1272
dca,1,0,6,159.915,179.28,90.2031,2.82
dca,1,0,7,162.015,181.655,24.6282,4.6313
dca,1,0,8,167.37,182.395,176.0396,6.5156
dca,1,0,9,170.85,182.16,177.5118,0.4604
dca,1,0,10,171.155,181.96,111.5399,0.4085
dca,1,0,11,171.235,181.76,116.5651,0.0223
dca,1,0,12,171.4,181.34,111.3182,0.8802
dca,1,0,13,172.785,178.135,113.667,6.1033
dca,1,0,14,174.455,172.585,99.1754,5.5814
dca,2,0,0,160.925,435.425,127.2626,2.6261
dca,2,0,1,166.535,428.065,127.3244,15.8825
dca,2,0,2,171.35,419.28,90.0,4.94
dca,2,0,3,170.89,416.675,16.3552,0.9588
dca,2,0,4,169.77,416.345,16.4605,1.3764
dca,2,0,5,170.0,413.42,108.0564,5.7428
dca,2,0,6,171.61,410.895,15.8929,1.4972
dca,2,0,7,173.715,411.5,16.1089,2.8832
dca,2,0,8,175.475,411.935,5.3327,0.7533
dca,2,0,9,176.22,411.95,176.9052,0.7411
dca,2,0,10,176.96,411.85,167.8005,0.7571
dca,2,0,11,177.69,411.64,160.1452,0.7655
dca,2,0,12,178.395,411.33,152.4462,0.7783
dca,2,0,13,179.065,410.92,144.7135,0.7963
dca,2,0,14,179.695,410.41,137.4472,0.8281
dca,2,0,15,180.275,409.81,130.6751,0.8439
dca,2,0,16,181.19,408.655,127.469,2.1041
dca,2,0,17,184.67,404.13,127.5836,9.3127
dca,2,0,18,187.74,400.145,127.9418,0.7481
dca,2,0,19,188.165,399.52,120.579,0.7666
dca,2,0,20,188.52,398.82,113.3855,0.8062
dca,2,0,21,188.795,398.06,106.429,0.8132
dca,2,0,22,188.98,397.26,99.6888,0.8319
dca,2,0,23,189.065,396.625,93.8138,0.451
dca,2,0,24,189.185,395.39,95.9354,2.0309
dca,2,0,25,189.29,393.325,90.0,2.11
dca,2,0,26,188.595,387.82,81.1233,9.0079
dca,2,0,27,187.52,380.98,80.9657,4.84
dca,2,0,28,188.275,374.68,106.1871,8.1428
dca,2,0,29,189.475,370.55,106.4605,0.4588
dca,2,0,30,189.84,369.005,102.7573,2.7171
dca,2,0,31,190.53,367.49,154.0266,0.8676
dca,2,0,32,191.8,366.23,129.4348,2.7708
dca,2,0,33,193.245,362.54,102.1693,5.3605
dca,2,0,34,193.935,359.33,101.962,1.2062
dca,2,0,35,194.38,357.06,100.7846,3.4204
dca,2,0,36,194.535,352.825,86.305,5.1206
dca,2,0,37,194.145,346.515,86.571,7.5235
dca,2,0,38,193.445,340.715,76.9234,4.1989
dca,2,0,39,193.425,332.74,94.3876,11.8949
dca,2,0,40,194.125,326.625,142.9441,0.614
dca,2,0,41,194.575,326.19,129.351,0.6466
dca,2,0,42,195.01,324.8,101.4067,2.3259
dca,2,0,43,196.51,317.57,101.7795,12.442
dca,2,0,44,197.825,311.255,101.3111,0.4589
dca,2,0,45,198.18,309.33,100.3344,3.4561
dca,2,0,46,198.53,307.15,94.7636,0.9633
dca,2,0,47,198.91,302.49,94.6501,8.3876
dca,2,0,48,199.495,295.155,94.4404,6.329
dca,2,0,49,199.99,288.77,94.4258,6.4793
dca,2,0,50,200.385,283.69,94.4815,3.7114
dca,2,0,51,201.54,269.155,94.5524,25.4503
dca,2,0,52,202.725,254.31,94.632,4.3342
dca,2,0,53,203.3,247.35,94.7637,9.6333
dca,2,0,54,203.745,241.495,92.4423,2.1119
dca,2,0,55,203.79,239.265,90.0,2.35
dca,2,0,56,203.79,237.905,90.0,0.37
dca,2,0,57,203.79,235.035,90.0,5.37
dca,2,0,58,203.79,231.885,90.0,0.93
dca,2,0,59,203.765,230.78,87.7628,1.2809
dca,2,0,60,203.665,229.505,83.2637,1.2788
dca,2,0,61,203.465,228.25,78.6011,1.2649
dca,2,0,62,203.165,227.03,73.7404,1.25
dca,2,0,63,202.77,225.85,69.2272,1.2406
dca,2,0,64,200.905,221.15,68.2347,8.8725
dca,2,0,65,196.62,211.325,65.1676,12.5725
dca,2,0,66,193.025,203.6,64.6964,4.4687
dca,2,0,67,191.71,200.99,58.6102,1.3823
dca,2,0,68,190.085,199.385,38.7426,3.2437
dca,2,0,69,186.965,196.89,38.5843,4.7461
dca,2,0,70,181.96,193.505,31.1639,7.3625
dca,2,0,71,175.59,189.975,26.7782,7.2136
dca,2,0,72,170.985,188.085,10.8318,2.8203
dca,2,0,73,164.085,186.77,10.7796,11.2281
dca,2,0,74,157.705,185.555,10.7991,1.7612
dca,2,0,75,156.315,185.265,13.3925,1.0794
dca,2,0,76,155.26,185.065,8.0557,1.0706
dca,2,0,77,154.195,184.96,3.2093,1.0717
dca,2,0,78,153.13,184.945,178.3773,1.0604
dca,2,0,79,152.04,185.025,173.3805,1.1275
dca,2,0,80,150.93,185.21,167.691,1.1259
dca,2,0,81,149.835,185.495,163.1568,1.1389
dca,2,0,82,148.76,185.88,157.4568,1.1477
dca,2,0,83,147.71,186.365,152.9962,1.1673
dca,2,0,84,146.685,186.945,148.0453,1.1904
dca,2,0,85,137.255,197.125,132.1361,26.6063
dca,2,0,86,126.99,205.75,42.7802,3.6514
dca,2,0,87,128.51,201.03,129.4146,9.0089
dca,2,0,88,130.375,197.67,173.1226,2.0044
dca,2,0,89,128.3,197.125,31.622,2.5366
dca,2,0,90,126.12,195.445,42.699,2.9935
dca,2,0,91,121.92,192.04,37.6311,7.8287
dca,2,0,92,101.205,176.28,37.1989,44.2287
dca,2,0,93,78.43,170.295,124.9425,18.0182
dca,2,0,94,79.265,182.265,37.4089,15.0947
dca,2,0,95,105.945,202.675,37.4177,52.0884
dca,2,0,96,132.97,223.33,37.3013,15.9404
dca,2,0,97,139.475,227.95,128.1565,0.5341
dca,2,0,98,141.03,228.815,37.7179,3.5144
dca,2,0,99,143.785,228.07,126.8697,4.55
dca,2,0,100,148.575,228.895,37.6777,8.6549
dca,2,0,101,151.12,232.7,127.1849,2.912
dca,2,0,102,151.525,234.845,37.472,3.2382
dca,2,0,103,153.145,236.085,37.2765,0.842
dca,2,0,104,154.35,236.165,168.6265,1.7748
dca,2,0,105,155.08,233.895,86.1769,4.1993
dca,2,0,106,154.32,231.285,39.7139,1.612
dca,2,0,107,153.435,227.29,85.6453,6.9802
dca,2,0,108,154.25,222.525,130.0459,3.3572
dca,2,0,109,155.925,221.185,174.7195,1.1951
dca,2,0,110,156.39,218.51,87.1595,5.2464
dca,2,0,111,155.985,215.92,173.7745,0.5533
dca,2,0,112,155.585,214.92,83.0805,2.0751
dca,2,0,113,154.78,213.77,10.0088,1.381
dca,2,0,114,153.965,214.825,96.5543,2.3655
dca,2,0,115,153.445,215.945,8.129,0.7778
dca,2,0,116,153.48,213.68,100.7606,4.4991
dca,2,0,117,153.68,211.35,28.6124,0.5012
dca,2,0,118,153.255,211.075,37.0924,0.514
dca,2,0,119,152.855,210.735,43.4922,0.5376
dca,2,0,120,151.04,211.935,139.4714,4.2627
dca,2,0,121,149.135,213.055,42.9178,0.7783
dca,2,0,122,150.56,211.42,141.2991,4.3822
dca,2,0,123,152.11,209.815,55.75,0.5686
dca,2,0,124,151.815,209.315,63.0051,0.5948
dca,2,0,125,151.585,208.765,71.5651,0.6008
dca,2,0,126,151.425,208.175,77.9687,0.6237
dca,2,0,127,149.125,208.06,175.1408,4.4861
dca,2,0,128,146.88,207.855,88.5505,0.7902
dca,2,0,129,149.095,207.325,176.5276,4.4582
dca,2,0,130,151.325,206.945,91.1685,0.4901
dca,2,0,131,151.37,206.46,99.4623,0.4866
dca,2,0,132,151.475,205.995,106.1146,0.4684
dca,2,0,133,151.63,205.555,112.7125,0.4662
dca,2,0,134,151.84,205.145,121.6091,0.4579
dca,2,0,135,149.9,203.735,30.5323,4.7832
dca,2,0,136,148.035,202.21,122.1701,0.7325
dca,2,0,137,150.26,203.13,31.2121,4.7471
dca,2,0,138,152.49,204.11,128.6594,0.6403
dca,2,0,139,152.915,203.645,136.3022,0.6224
