airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
det,0,path,,UNLABELED,154.81,178.93,164.07,172.21,9.26,6.72,62.2272,24.7357,21.4274,159.44,175.57,1.378,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.492,10.7401,26.7018,9.3691,0.0,594.0,387.36,0.0,24.7357
det,1,path,,UNLABELED,163.18,180.99,168.17,175.57,4.99,5.42,27.0459,15.0619,16.1801,165.675,178.28,0.9207,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,34.9374,1.3536,26.7328,4.5795,0.0,594.0,387.36,0.0,17.5911
det,2,path,,UNLABELED,166.55,176.24,171.8,166.77,5.25,9.47,49.7175,12.1262,21.4402,169.175,171.505,0.5544,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.8984,47.4723,115.3978,7.9039,0.0,594.0,387.36,0.0,13.109
det,3,path,,UNLABELED,93.29,209.52,192.53,155.82,99.24,53.7,5329.1891,619.736,222.6236,142.91,182.67,1.848,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,26.6168,243.8467,26.4868,104.7107,0.0,594.0,387.36,0.0,620.8382
det,4,path,,UNLABELED,72.17,479.44,82.94,464.21,10.77,15.23,164.0271,87.5445,35.2353,77.555,471.825,0.7072,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,105.1611,2.2252,126.7029,10.976,0.0,594.0,387.36,0.0,93.3054
det,5,path,,UNLABELED,228.24,308.08,242.1,285.25,13.86,22.83,316.4236,111.8898,60.3358,235.17,296.665,0.6071,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,107.3574,6.2871,126.7668,17.776,0.0,594.0,387.36,0.0,167.4729
det,6,path,,UNLABELED,173.86,395.04,184.61,379.95,10.75,15.09,162.2175,33.4812,20.725,179.235,387.495,0.7124,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,123.3156,58.0868,122.82,7.3062,0.0,594.0,387.36,0.0,33.5247
det,7,path,,UNLABELED,187.77,373.86,206.16,346.13,18.39,27.73,509.9546,64.1954,35.3255,196.965,359.995,0.6632,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.6078,231.4394,122.6645,31.1459,0.0,594.0,387.36,0.0,64.1954
det,8,path,,UNLABELED,149.74,432.46,167.06,406.73,17.32,25.73,445.644,57.9628,42.7845,158.4,419.595,0.6731,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,122.39,185.5383,122.6049,29.5819,0.0,594.0,387.36,0.0,57.9628
det,9,path,,UNLABELED,139.3,436.85,166.05,394.74,26.75,42.11,1126.4425,181.1889,95.776,152.675,415.795,0.6352,22,1,0,1,rgb,207,207,207,0,none,,,,0.0,121.9573,60.5531,117.6541,20.9423,0.0,594.0,387.36,0.0,222.0396
det,10,path,,UNLABELED,251.92,245.94,265.74,235.58,13.82,10.36,143.1751,69.8327,29.9983,258.83,240.76,1.334,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,28.5277,4.9255,26.7679,12.6339,0.0,594.0,387.36,0.0,69.8327
