airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
dov,0,0,0,279.3785,171.706,79.7796,4.5482
dov,0,0,1,278.6515,169.396,12.546,0.6628
dov,0,0,2,277.2865,169.5375,168.4151,2.1263
dov,0,0,3,275.86,170.3145,124.3431,1.3649
dov,0,0,4,275.2235,170.8755,0.5701,0.503
dov,0,0,5,274.7675,170.8535,5.443,0.4108
dov,0,0,6,274.3605,170.7925,11.5828,0.4134
dov,0,0,7,272.8845,172.554,125.2345,4.4148
dov,0,0,8,273.7825,173.975,170.0228,4.4097
dov,0,0,9,276.5695,174.0165,34.5303,1.4943
dov,1,0,0,199.7085,389.1215,11.8296,1.9463
dov,1,0,1,198.187,392.2745,99.6327,6.8009
dov,1,0,2,197.5945,395.911,94.73,0.5699
dov,1,0,3,199.903,397.5315,29.8176,5.3757
dov,1,0,4,202.49,398.7265,150.9747,0.5832
dov,1,0,5,202.9845,398.4035,142.8438,0.601
dov,1,0,6,202.214,394.292,75.587,8.1154
dov,1,0,7,201.064,390.149,56.6838,0.5098
dov,1,0,8,200.839,389.7755,62.0947,0.3632
dov,2,0,0,213.567,439.3825,86.7031,1.5996
dov,2,0,1,209.0005,438.757,177.8084,9.0476
dov,2,0,2,204.927,450.198,87.7283,22.5537
dov,2,0,3,209.552,461.296,177.67,8.3629
dov,2,0,4,213.349,451.4685,87.7408,19.33
dov,2,0,5,212.968,441.5175,90.0,0.587
dov,2,0,6,212.9935,441.0465,98.177,0.3586
dov,2,0,7,213.107,440.714,119.5849,0.3565
dov,3,0,0,149.9935,349.076,144.3143,5.8937
dov,3,0,1,166.57,337.1095,144.1511,34.9954
dov,3,0,2,181.162,326.366,129.5099,1.2857
dov,3,0,3,181.7085,325.5795,115.3278,0.6428
dov,3,0,4,181.9195,325.023,105.4471,0.5519
dov,3,0,5,182.0055,324.43,92.1886,0.6545
dov,3,0,6,181.988,323.778,84.7265,0.6528
dov,3,0,7,181.7195,322.885,67.2223,1.2321
dov,3,0,8,179.636,319.7355,54.4465,6.3461
dov,3,0,9,177.281,316.7335,39.5063,1.322
dov,3,0,10,176.5075,316.1885,25.2891,0.5829
