airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ear,0,0,0,340.815,278.29,128.754,4.7446
ear,0,0,1,349.77,282.23,37.7793,18.9024
ear,0,0,2,357.775,288.65,49.6619,1.653
ear,0,0,3,358.62,289.81,59.6765,1.228
ear,0,0,4,359.15,290.94,69.8633,1.2781
ear,0,0,5,359.49,292.155,78.9596,1.2532
ear,0,0,6,359.87,294.67,82.2081,3.8354
ear,0,0,7,361.68,308.045,82.3073,23.1584
ear,0,0,8,363.405,320.94,82.9742,2.8615
ear,0,0,9,290.175,417.465,127.6621,240.277
ear,0,0,10,214.205,510.545,38.2901,6.536
ear,0,0,11,281.75,417.405,127.5771,229.9335
ear,0,0,12,352.4,325.49,124.0189,1.9304
ear,0,0,13,352.94,324.1,90.0,1.18
ear,0,0,14,352.825,323.11,73.9611,0.8324
ear,0,0,15,352.355,322.36,44.5945,0.997
ear,0,0,16,343.28,315.295,37.5987,22.0118
ear,0,0,17,336.515,305.685,124.0312,6.9866
ear,0,0,18,345.33,308.125,37.8722,17.3806
ear,0,0,19,352.665,313.58,14.1773,0.9799
ear,0,0,20,353.715,313.735,3.4837,1.1521
ear,0,0,21,354.645,313.77,0.0,0.71
ear,0,0,22,355.34,313.63,157.6197,0.7354
ear,0,0,23,356.105,312.96,128.7259,1.3587
ear,0,0,24,356.845,311.875,119.5765,1.2763
ear,0,0,25,357.22,310.835,97.0538,0.9774
ear,0,0,26,357.105,308.715,83.8906,3.2887
ear,0,0,27,356.03,300.37,82.3605,13.5402
ear,0,0,28,355.025,293.105,79.2872,1.1297
ear,0,0,29,354.64,292.14,55.6701,0.993
ear,0,0,30,353.63,291.095,41.0187,1.9351
ear,0,0,31,346.115,285.3,37.253,17.0484
ear,1,0,0,60.94,217.785,90.0,0.01
ear,1,0,1,63.515,237.545,82.5736,39.8442
ear,1,0,2,66.1,257.365,81.2523,0.1315
ear,1,0,3,66.11,257.49,90.0,0.12
ear,1,0,4,66.535,260.75,82.4347,6.4562
ear,1,0,5,68.555,276.17,82.5636,24.6473
ear,1,0,6,70.155,288.45,85.2388,0.1204
ear,1,0,7,70.165,288.575,85.6005,0.1304
ear,1,0,8,70.595,291.835,82.423,6.4463
ear,1,0,9,77.85,347.38,82.5667,105.5873
ear,1,0,10,84.875,399.7,171.2542,0.3946
ear,1,0,11,88.83,430.32,83.0062,61.7595
ear,1,0,12,92.855,461.655,68.8504,1.4689
ear,1,0,13,93.735,463.0,47.0214,1.8043
ear,1,0,14,98.84,467.315,39.1466,11.5791
ear,1,0,15,104.015,471.38,30.9021,1.5966
ear,1,0,16,105.475,471.96,12.3725,1.5869
ear,1,0,17,106.835,472.1,177.0637,1.1715
ear,1,0,18,114.435,471.16,172.6088,14.1476
ear,1,0,19,121.94,469.875,142.573,1.2341
ear,1,0,20,122.19,467.67,82.5284,3.6913
ear,1,0,21,121.485,466.4,129.7047,1.4558
ear,1,0,22,119.91,467.375,159.5005,2.3701
ear,1,0,23,117.6,468.025,168.9198,2.4456
ear,1,0,24,114.99,468.5,170.3399,2.8606
ear,1,0,25,111.065,468.975,174.662,5.0519
ear,1,0,26,107.26,469.115,4.2116,2.587
ear,1,0,27,104.415,468.125,29.9232,3.5883
ear,1,0,28,101.475,466.155,37.8175,3.5065
ear,1,0,29,99.755,464.715,47.4539,0.9909
ear,1,0,30,97.89,462.925,42.965,4.1816
ear,1,0,31,96.045,461.115,50.7105,0.9949
ear,1,0,32,95.33,459.46,72.5177,2.663
ear,1,0,33,93.5,449.855,80.2648,16.9136
ear,1,0,34,89.445,421.05,82.6925,41.2753
ear,1,0,35,86.82,400.035,90.0,1.09
ear,1,0,36,86.97,398.98,106.3892,1.0632
ear,1,0,37,87.27,398.15,115.1151,0.7068
ear,1,0,38,88.28,397.615,165.9635,1.7729
ear,1,0,39,89.76,397.325,173.1028,1.249
ear,1,0,40,93.5,396.905,173.69,6.278
ear,1,0,41,97.16,396.595,3.7088,1.0823
ear,1,0,42,98.14,396.74,14.0362,0.9071
ear,1,0,43,99.255,397.235,29.6988,1.5541
ear,1,0,44,101.26,398.42,31.0272,3.1041
ear,1,0,45,103.215,398.25,122.7949,2.3078
ear,1,0,46,103.685,397.18,32.8283,0.3689
ear,1,0,47,103.195,397.14,169.8461,0.6807
ear,1,0,48,102.525,397.165,5.9638,0.6736
ear,1,0,49,101.73,396.84,32.2289,1.0876
ear,1,0,50,100.87,396.215,39.946,1.0435
ear,1,0,51,99.85,395.595,24.6874,1.3647
ear,1,0,52,98.63,395.17,13.134,1.2322
ear,1,0,53,97.535,394.965,7.4811,0.9985
ear,1,0,54,96.675,394.885,2.3532,0.7306
ear,1,0,55,95.22,395.005,172.9396,2.1967
ear,1,0,56,90.785,395.545,173.0965,6.7389
ear,1,0,57,86.995,395.765,22.5739,0.9638
ear,1,0,58,86.24,395.325,39.4405,0.8028
ear,1,0,59,85.72,394.75,56.7247,0.7655
ear,1,0,60,85.41,393.695,82.2524,1.4835
ear,1,0,61,83.935,382.535,82.4864,21.0306
ear,1,0,62,82.55,371.685,88.6523,0.8502
ear,1,0,63,82.88,370.665,119.7448,1.3706
ear,1,0,64,83.735,369.715,145.421,1.251
ear,1,0,65,85.505,369.175,171.6145,2.5371
ear,1,0,66,95.75,367.775,172.3031,18.1435
ear,1,0,67,105.41,366.55,179.1447,1.3402
ear,1,0,68,106.505,366.68,18.2324,0.8949
ear,1,0,69,107.275,367.13,41.942,0.9276
ear,1,0,70,108.565,368.785,54.9081,3.2876
ear,1,0,71,108.795,364.615,82.613,11.1223
ear,1,0,72,107.96,359.115,172.8754,0.2419
ear,1,0,73,107.6,360.905,97.7003,3.5823
ear,1,0,74,107.27,362.955,108.1218,0.5787
ear,1,0,75,106.985,363.505,125.3404,0.6742
ear,1,0,76,106.515,364.025,138.3013,0.7366
ear,1,0,77,105.8,364.475,155.0193,0.9708
ear,1,0,78,104.295,364.82,172.5112,2.1483
ear,1,0,79,94.485,366.105,172.5406,17.6393
ear,1,0,80,84.765,367.295,177.3576,1.9521
ear,1,0,81,83.33,367.225,14.0359,0.9483
ear,1,0,82,82.57,366.845,41.4552,0.8006
ear,1,0,83,81.995,365.985,65.1946,1.311
ear,1,0,84,81.51,363.49,83.6929,3.8231
ear,1,0,85,78.455,340.11,82.4552,43.3352
ear,1,0,86,75.645,318.045,93.4238,1.1721
ear,1,0,87,75.83,317.115,113.4982,0.7524
ear,1,0,88,76.36,316.46,140.7931,0.9808
ear,1,0,89,77.175,315.93,153.1721,0.9749
ear,1,0,90,79.28,315.46,171.486,3.3772
ear,1,0,91,90.055,313.825,171.3508,18.4195
