airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ege,0,0,0,146.11,246.13,88.1853,65.0526
ege,0,0,1,142.485,213.545,1.6554,5.1922
ege,0,0,2,139.925,216.5,89.3381,6.0604
ege,0,0,3,140.935,220.25,36.4445,2.4241
ege,0,0,4,142.805,249.86,88.2256,57.8077
ege,0,0,5,145.42,278.695,178.1687,3.4418
ege,1,0,0,120.76,386.59,87.605,5.2646
ege,1,0,1,120.29,389.325,169.7383,1.1789
ege,1,0,2,119.675,387.525,88.9474,3.8106
ege,1,0,3,120.145,384.79,121.3177,1.9431
ege,2,0,0,124.61,394.155,90.0,2.81
ege,2,0,1,124.865,392.535,139.8641,0.6671
ege,2,0,2,125.19,394.08,87.7224,3.5228
ege,2,0,3,124.935,395.7,23.3048,0.7077
ege,3,0,0,115.445,398.165,130.2355,0.1703
ege,3,0,1,115.57,398.045,141.8425,0.178
ege,3,0,2,115.635,397.775,88.6675,0.4301
ege,3,0,3,115.6,396.705,87.9905,1.7111
ege,3,0,4,120.09,395.705,178.1626,9.0447
ege,3,0,5,124.935,395.7,23.3048,0.7077
ege,3,0,6,129.155,395.71,178.0884,7.7943
ege,3,0,7,133.17,397.855,86.9807,4.5563
ege,3,0,8,129.085,400.295,177.7529,8.4165
ege,3,0,9,124.885,400.615,88.152,0.3102
ege,3,0,10,123.935,400.765,0.2998,1.91
ege,3,0,11,119.23,400.74,0.3055,7.5001
ege,3,0,12,115.435,399.475,87.9301,2.4916
ege,4,0,0,151.515,411.035,88.1329,34.0681
ege,4,0,1,150.265,428.06,0.0,3.61
ege,4,0,2,147.995,411.005,88.4382,34.1227
ege,4,0,3,149.245,393.98,1.0021,3.4305
ege,5,0,0,132.77,415.36,90.0,0.1
ege,5,0,1,132.85,415.76,77.1247,0.7181
ege,5,0,2,133.085,416.3,50.7923,0.4904
ege,5,0,3,133.465,416.51,5.0807,0.4518
ege,5,0,4,133.915,416.5,172.4056,0.454
ege,5,0,5,134.33,416.31,139.8988,0.4968
ege,5,0,6,134.765,415.86,130.1923,0.7593
ege,5,0,7,135.125,415.325,115.1448,0.5413
ege,5,0,8,135.26,414.675,92.8267,0.811
ege,5,0,9,135.27,413.15,89.4887,2.2401
ege,5,0,10,135.26,411.77,90.0,0.52
ege,5,0,11,135.05,411.31,43.6025,0.58
ege,5,0,12,134.525,410.93,29.7447,0.7256
ege,5,0,13,133.93,410.74,2.0459,0.5604
ege,5,0,14,133.445,410.74,177.2067,0.4105
ege,5,0,15,133.085,410.885,138.9445,0.4111
ege,5,0,16,132.83,411.455,102.9464,0.8927
ege,5,0,17,130.255,411.94,178.8428,4.951
ege,5,0,18,127.75,410.0,89.1362,3.9804
ege,5,0,19,127.79,408.005,175.9166,0.1404
