airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
esn,0,0,0,143.8,158.6,149.25,5.5154
esn,0,0,1,137.01,162.565,149.9698,10.2107
esn,0,0,2,129.59,167.03,147.5164,7.1128
esn,0,0,3,124.82,170.03,148.3745,4.1574
esn,0,0,4,125.19,174.705,59.1657,8.3503
esn,0,0,5,127.75,178.545,31.2628,0.9827
esn,0,0,6,129.03,179.055,16.516,1.794
esn,0,0,7,131.335,179.425,4.5505,2.8991
esn,0,0,8,133.36,179.52,178.0247,1.1607
esn,0,0,9,134.29,179.59,14.4203,0.7228
esn,0,0,10,135.01,179.96,37.1165,0.928
esn,0,0,11,136.8,182.52,58.0851,5.3721
esn,0,0,12,144.535,195.72,59.9594,25.229
esn,0,0,13,155.77,214.69,58.5675,18.8689
esn,0,0,14,167.275,234.01,59.7025,26.1056
esn,0,0,15,177.525,251.66,60.1247,14.7155
esn,0,0,16,182.75,260.595,58.5931,5.9872
esn,0,0,17,184.515,263.57,63.9829,0.9347
esn,0,0,18,184.84,264.41,74.0557,0.8736
esn,0,0,19,184.935,265.225,93.6207,0.7916
esn,0,0,20,184.765,266.13,105.8713,1.0604
esn,0,0,21,186.725,264.34,132.4653,6.2357
esn,0,0,22,188.36,262.04,0.0,0.94
esn,0,0,23,187.565,262.015,4.4002,0.6519
esn,0,0,24,186.865,261.945,6.8425,0.7554
esn,0,0,25,186.095,261.735,22.6707,0.8561
esn,0,0,26,185.375,261.315,38.1191,0.8262
esn,0,0,27,184.26,259.69,60.0303,3.1629
esn,0,0,28,178.665,250.165,59.493,18.9306
esn,0,0,29,167.075,230.575,59.317,26.5929
esn,0,0,30,158.01,215.245,59.6568,9.0265
esn,0,0,31,155.45,210.72,66.0378,1.3788
esn,0,0,32,155.145,209.79,85.2361,0.6021
esn,0,0,33,155.165,209.07,96.1153,0.8448
esn,0,0,34,155.54,208.165,124.232,1.1732
esn,0,0,35,156.24,207.215,128.5097,1.1885
esn,0,0,36,157.655,206.075,147.1401,2.4881
esn,0,0,37,160.11,204.605,150.5845,3.2374
esn,0,0,38,162.59,203.435,160.6861,2.2676
esn,0,0,39,164.545,202.85,166.6517,1.8191
esn,0,0,40,166.29,202.57,175.3462,1.7257
esn,0,0,41,167.92,202.57,5.1949,1.5464
esn,0,0,42,169.575,202.895,16.073,1.842
esn,0,0,43,171.435,203.57,23.3047,2.1232
esn,0,0,44,173.54,204.785,35.1284,2.7633
esn,0,0,45,171.76,200.64,59.499,11.4668
esn,0,0,46,168.47,196.24,125.1349,1.3206
esn,0,0,47,167.69,197.27,129.2255,1.2651
