airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
eug,0,path,,UNLABELED,161.12,108.75,169.97,99.76,8.85,8.99,79.5613,57.9821,29.1882,165.545,104.255,0.9844,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,86.8387,2.3001,90.2549,8.9901,0.0,594.0,387.36,0.0,66.1634
eug,1,path,,UNLABELED,169.94,106.43,175.33,102.42,5.39,4.01,21.614,20.6893,18.4855,172.635,104.425,1.3441,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,2.9586,1.8345,178.628,5.0114,0.0,594.0,387.36,0.0,20.7766
eug,2,path,,UNLABELED,171.88,74.57,175.74,70.76,3.86,3.81,14.7066,14.0517,11.3342,173.81,72.665,1.0131,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,59.454,1.1787,0.0,3.86,0.0,594.0,387.36,0.0,14.3018
eug,3,path,,UNLABELED,161.29,76.64,171.9,70.7499,10.61,5.89,62.4931,40.3204,25.1276,166.595,73.6949,1.8014,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,162.1372,2.7579,89.6834,3.6201,0.0,594.0,387.36,0.0,45.9638
eug,4,path,,UNLABELED,165.45,168.95,168.67,164.04,3.22,4.91,15.8102,8.6547,9.9876,167.06,166.495,0.6558,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,68.3533,3.6811,90.7848,2.1902,0.0,594.0,387.36,0.0,11.3816
eug,5,path,,UNLABELED,166.91,258.35,184.28,246.99,17.37,11.36,197.3229,83.5291,39.3331,175.595,252.67,1.5291,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,176.064,1.9311,90.2737,6.2801,0.0,594.0,387.36,0.0,130.6615
eug,6,path,,UNLABELED,187.79,351.14,199.23,343.2,11.44,7.94,90.8336,57.4675,32.4871,193.51,347.17,1.4408,27,1,0,1,rgb,207,207,207,0,none,,,,0.0,4.3772,2.8704,0.5054,9.0704,0.0,594.0,387.36,0.0,69.2814
eug,7,path,,UNLABELED,186.44,390.82,252.17,351.14,65.73,39.68,2608.1668,200.9088,204.8621,219.305,370.98,1.6565,56,1,0,1,rgb,207,207,207,0,none,,,,0.0,18.6246,2.0928,179.1167,14.2717,0.0,594.0,387.36,0.0,1380.9093
eug,8,path,,UNLABELED,212.87,347.54,216.55,343.44,3.68,4.1,15.088,13.1801,14.1875,214.71,345.49,0.8976,24,1,0,1,rgb,207,207,207,0,none,,,,0.0,164.0434,1.2281,0.6226,3.6802,0.0,594.0,387.36,0.0,13.8883
eug,9,path,,UNLABELED,199.16,346.82,212.87,343.3,13.71,3.52,48.2593,46.5073,30.7619,206.015,345.06,3.8949,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,0.4995,11.042,0.3951,8.7002,0.0,594.0,387.36,0.0,46.5073
