airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
evb,0,0,0,253.175,385.675,25.7804,1.6325
evb,0,0,1,250.335,389.615,116.1096,9.5662
evb,0,0,2,247.74,394.915,115.9924,2.2362
evb,0,0,3,247.98,396.27,25.6153,1.6191
evb,0,0,4,249.23,395.55,115.9187,2.3793
evb,1,0,0,236.415,356.725,115.7754,8.7617
evb,1,0,1,237.585,352.415,26.4088,1.6413
evb,1,0,2,235.9,354.0,115.9744,4.3382
evb,1,0,3,233.83,358.235,116.1119,5.0895
evb,1,0,4,232.415,360.9,127.8228,0.9621
evb,1,0,5,232.5,362.55,73.3422,2.6513
evb,2,0,0,244.75,337.685,26.8828,1.6145
evb,2,0,1,242.215,341.055,115.9171,8.3053
evb,2,0,2,238.625,348.42,116.0577,8.0815
evb,2,0,3,237.585,352.415,26.4088,1.6413
evb,2,0,4,240.09,349.12,115.8087,8.131
evb,2,0,5,243.48,342.15,116.0783,7.3704
evb,3,0,0,249.56,335.635,75.169,3.6723
evb,3,0,1,250.11,330.665,107.7057,6.7078
evb,3,0,2,250.215,327.04,25.1706,2.022
evb,3,0,3,249.185,326.855,115.1463,0.5413
evb,3,0,4,248.625,327.665,128.2242,1.4384
evb,3,0,5,248.15,328.27,126.8734,0.1
evb,3,0,6,248.08,328.345,138.8118,0.1063
evb,3,0,7,248.0,328.41,143.1319,0.1
evb,3,0,8,247.915,328.46,156.0321,0.0985
evb,3,0,9,247.82,328.49,168.6951,0.102
evb,3,0,10,247.72,328.505,174.2842,0.1005
evb,3,0,11,247.625,328.505,6.3466,0.0906
evb,3,0,12,247.53,328.485,16.6976,0.1044
evb,3,0,13,247.435,328.445,29.0497,0.1029
evb,3,0,14,247.35,328.39,36.8681,0.1
evb,3,0,15,247.275,328.32,48.8234,0.1063
evb,3,0,16,247.21,328.235,56.3032,0.1082
evb,3,0,17,246.805,327.46,62.8104,1.6414
evb,3,0,18,245.65,326.955,163.9098,1.6236
evb,3,0,19,245.31,328.65,73.3364,3.0689
evb,3,0,20,245.85,330.48,74.4761,0.7473
evb,3,0,21,245.995,331.215,83.1575,0.7554
evb,3,0,22,246.035,331.97,90.7534,0.7601
evb,3,0,23,245.975,332.72,98.4552,0.7481
evb,3,0,24,245.82,333.45,105.5239,0.7473
evb,3,0,25,245.565,334.145,114.8287,0.7383
evb,3,0,26,244.72,335.9,115.9159,3.1575
evb,3,0,27,244.75,337.685,26.8823,1.6145
