airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ewn,0,path,,UNLABELED,153.51,226.08,173.25,212.47,19.74,13.61,268.661,74.6305,48.6768,163.38,219.275,1.4504,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,147.5917,33.6297,148.8634,21.0413,0.0,594.0,387.36,0.0,74.6305
ewn,1,path,,UNLABELED,105.6,418.4,296.25,125.64,190.65,292.76,55814.6905,1277.8276,720.8946,200.925,272.02,0.6512,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,57.4672,428.3004,59.3113,338.2625,0.0,594.0,387.36,0.0,4582.4593
ewn,2,path,,UNLABELED,119.06,134.0,125.98,128.88,6.92,5.12,35.4304,14.5692,18.9083,122.52,131.44,1.3516,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,2.6464,3.0312,46.6984,5.249,0.0,594.0,387.36,0.0,19.0755
ewn,3,path,,UNLABELED,155.6,229.83,163.02,220.54,7.42,9.29,68.9318,35.0868,28.3918,159.31,225.185,0.7987,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.2372,4.2507,106.0421,6.5136,0.0,594.0,387.36,0.0,44.1826
ewn,4,path,,UNLABELED,169.22,221.73,177.29,214.63,8.07,7.1,57.2971,22.9466,24.946,173.255,218.18,1.1366,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,24.0757,5.1773,48.3482,5.2061,0.0,594.0,387.36,0.0,32.3706
ewn,5,path,,UNLABELED,152.64,222.55,160.65,216.69,8.01,5.86,46.9387,24.7842,25.1765,156.645,219.62,1.3669,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.3714,3.4467,179.4327,7.0703,0.0,594.0,387.36,0.0,33.9624
ewn,6,path,,UNLABELED,166.53,215.78,173.83,208.51,7.3,7.27,53.0709,21.9207,24.4732,170.18,212.145,1.0041,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.512,2.2475,167.6426,4.7193,0.0,594.0,387.36,0.0,31.7277
ewn,7,path,,UNLABELED,116.26,382.16,116.26,381.51,0.0,0.65,0.0,0.0,0.65,116.26,381.835,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,0.65,0.0,594.0,387.36,0.0,0.0
ewn,8,path,,UNLABELED,111.64,389.58,208.49,321.41,96.85,68.17,6602.2662,343.9124,264.0961,160.065,355.495,1.4207,39,1,0,1,rgb,207,207,207,0,none,,,,0.0,143.8562,192.6869,142.3578,81.1654,0.0,594.0,387.36,0.0,1153.9332
ewn,9,path,,UNLABELED,191.7,443.33,274.56,329.34,82.86,113.99,9445.2107,464.4997,308.0622,233.13,386.335,0.7269,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,56.146,156.4054,59.3319,124.3175,0.0,594.0,387.36,0.0,1595.1966
ewn,10,path,,UNLABELED,238.39,394.84,280.33,334.17,41.94,60.67,2544.5002,420.0964,201.4358,259.36,364.505,0.6913,31,1,0,1,rgb,207,207,207,0,none,,,,0.0,54.2509,4.4893,57.2344,28.3627,0.0,594.0,387.36,0.0,914.822
ewn,11,path,,UNLABELED,226.21,386.77,242.28,375.46,16.07,11.31,181.7516,54.299,45.8039,234.245,381.115,1.4209,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,150.1312,3.7665,59.5085,8.9474,0.0,594.0,387.36,0.0,103.0581
ewn,12,path,,UNLABELED,226.86,308.23,300.79,250.51,73.93,57.72,4267.2401,318.946,187.7093,263.825,279.37,1.2808,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,142.5532,672.0689,142.1853,90.8484,0.0,594.0,387.36,0.0,318.946
ewn,13,path,,UNLABELED,287.82,256.13,298.63,243.74,10.81,12.39,133.936,33.7513,39.275,293.225,249.935,0.8725,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.5393,2.0926,140.6333,8.8604,0.0,594.0,387.36,0.0,68.8315
ewn,14,path,,UNLABELED,224.12,305.13,239.26,295.26,15.14,9.87,149.4317,26.5952,45.4124,231.69,300.195,1.5339,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,13.1629,1.5562,140.5932,13.0588,0.0,594.0,387.36,0.0,74.7817
ewn,15,path,,UNLABELED,208.42,322.71,234.79,297.27,26.37,25.44,670.8531,153.1226,95.0395,221.605,309.99,1.0366,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,146.8927,1.5845,58.7889,22.2504,0.0,594.0,387.36,0.0,358.8396
ewn,16,path,,UNLABELED,232.63,341.23,267.28,284.67,34.65,56.56,1959.8036,809.2297,155.5782,249.955,312.95,0.6126,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.474,4.4772,59.5823,34.0114,0.0,594.0,387.36,0.0,1042.463
ewn,17,path,,UNLABELED,141.26,394.77,192.06,348.79,50.8,45.98,2335.7839,795.4647,139.3933,166.66,371.78,1.1048,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,144.3319,13.9609,142.1907,58.1858,0.0,594.0,387.36,0.0,795.4647
ewn,18,path,,UNLABELED,131.39,408.46,142.84,393.69,11.45,14.77,169.1165,0.0,18.6884,137.115,401.075,0.7752,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,52.2165,1000000.0,52.2165,18.6884,0.0,594.0,387.36,0.0,0.0
ewn,19,path,,UNLABELED,131.39,408.46,143.64,393.04,12.25,15.42,188.895,19.1879,38.4137,137.515,400.75,0.7944,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.2088,331.5216,52.1922,18.6945,0.0,594.0,387.36,0.0,19.1879
ewn,20,path,,UNLABELED,136.5,404.49,148.75,389.07,12.25,15.42,188.895,19.1345,38.4075,142.625,396.78,0.7944,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,52.2175,333.6441,52.2352,18.6963,0.0,594.0,387.36,0.0,19.1345
ewn,21,path,,UNLABELED,152.57,371.85,163.67,358.67,11.1,13.18,146.2978,35.5252,33.3251,158.12,365.26,0.8422,15,1,0,1,rgb,207,207,207,0,none,,,,0.0,60.4874,1.6601,141.1061,9.1737,0.0,594.0,387.36,0.0,75.0729
ewn,22,path,,UNLABELED,129.66,384.46,149.4,372.43,19.74,12.03,237.4721,52.0667,55.9145,139.53,378.445,1.6409,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,174.8031,3.672,144.5553,15.0367,0.0,594.0,387.36,0.0,122.962
ewn,23,path,,UNLABELED,128.72,393.69,137.3,381.58,8.58,12.11,103.9038,22.2815,38.5199,133.01,387.635,0.7085,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,77.4189,3.2503,91.7823,7.0734,0.0,594.0,387.36,0.0,51.2946
ewn,24,path,,UNLABELED,135.49,393.54,140.54,388.86,5.05,4.68,23.6341,10.151,11.7382,138.015,391.2,1.0791,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,140.9693,5.2162,141.1543,4.8149,0.0,594.0,387.36,0.0,10.151
