airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ewn,0,0,0,162.515,217.91,148.8634,21.0413
ewn,0,0,1,154.555,224.715,52.5633,3.4382
ewn,0,0,2,164.425,220.965,149.9033,20.4004
ewn,0,0,3,172.385,214.16,62.8952,3.797
ewn,1,0,0,114.605,130.98,149.3319,20.9385
ewn,1,0,1,209.93,271.085,59.3113,338.2625
ewn,1,0,2,294.16,417.465,155.8978,4.5792
ewn,1,0,3,290.38,414.87,64.417,7.8274
ewn,1,0,4,205.86,271.155,59.4228,325.6541
ewn,1,0,5,114.78,135.835,149.4722,19.1552
ewn,1,0,6,106.065,138.51,78.0125,4.4776
ewn,2,0,0,119.75,132.875,153.4348,1.5429
ewn,2,0,1,121.275,132.47,175.8902,1.6743
ewn,2,0,2,122.895,132.69,19.6306,1.6669
ewn,2,0,3,124.255,133.485,41.8494,1.5438
ewn,2,0,4,125.405,133.35,131.4968,1.7356
ewn,2,0,5,124.18,130.79,46.6984,5.249
ewn,2,0,6,121.085,130.355,131.2822,3.9256
ewn,2,0,7,119.425,132.525,117.7074,1.57
ewn,3,0,0,162.245,222.04,132.024,2.3154
ewn,3,0,1,161.01,224.04,111.9745,2.4586
ewn,3,0,2,160.525,226.41,91.1645,2.4605
ewn,3,0,3,160.875,228.735,71.0954,2.3149
ewn,3,0,4,158.425,229.72,2.2299,5.6543
ewn,3,0,5,156.5,226.48,106.0421,6.5136
ewn,3,0,6,159.235,221.945,142.5596,4.6222
ewn,3,0,7,162.045,220.86,18.1705,2.0523
ewn,4,0,0,170.385,217.695,175.3381,2.3377
ewn,4,0,1,172.75,217.935,15.5983,2.4918
ewn,4,0,2,174.95,219.02,36.8699,2.5
ewn,4,0,3,176.58,220.75,57.2645,2.3301
ewn,4,0,4,177.25,220.125,91.4277,3.211
ewn,4,0,5,175.56,216.575,48.3482,5.2061
ewn,4,0,6,171.525,215.135,167.6423,4.7193
ewn,4,0,7,169.22,216.715,90.0,2.15
ewn,5,0,0,160.185,219.44,155.6946,1.0204
ewn,5,0,1,159.185,219.765,167.8698,1.0944
ewn,5,0,2,157.505,219.76,5.9827,2.3025
ewn,5,0,3,155.38,219.035,31.6887,2.3034
ewn,5,0,4,154.05,218.01,50.1955,1.0935
ewn,5,0,5,153.46,217.14,61.9276,1.02
ewn,5,0,6,152.93,219.62,95.6525,5.8886
ewn,5,0,7,156.175,222.515,179.4327,7.0703
ewn,5,0,8,160.18,220.855,106.1315,3.3832
ewn,6,0,0,166.54,215.765,56.3032,0.0361
ewn,6,0,1,166.99,215.54,155.4615,1.0113
ewn,6,0,2,167.89,215.01,143.9735,1.0881
ewn,6,0,3,168.995,213.745,125.134,2.3111
ewn,6,0,4,169.85,211.67,99.5447,2.2917
ewn,6,0,5,169.955,210.0,81.0549,1.0933
ewn,6,0,6,169.695,208.985,69.7745,1.0124
ewn,6,0,7,171.205,209.55,31.6832,3.9602
ewn,6,0,8,173.145,212.43,82.1096,3.7152
ewn,6,0,9,173.615,214.45,39.9381,0.5608
ewn,6,0,10,171.525,215.135,167.6426,4.7193
ewn,6,0,11,167.885,215.71,176.9982,2.6737
ewn,7,0,0,116.26,381.835,90.0,0.65
ewn,8,0,0,114.06,383.06,144.8335,5.3824
ewn,8,0,1,111.75,385.04,104.3494,0.8877
ewn,8,0,2,112.65,386.66,49.6772,3.1217
ewn,8,0,3,114.49,388.355,31.318,1.9431
ewn,8,0,4,116.22,389.22,21.8014,1.9387
ewn,8,0,5,118.31,389.505,176.3935,2.3847
ewn,8,0,6,120.365,389.07,157.4037,1.8738
ewn,8,0,7,153.365,363.925,142.3578,81.1654
ewn,8,0,8,189.14,336.33,142.3327,9.1969
ewn,8,0,9,195.265,332.04,149.2229,5.7847
ewn,8,0,10,199.91,329.085,145.6722,5.2311
ewn,8,0,11,203.475,326.745,148.3809,3.2999
ewn,8,0,12,206.685,326.06,5.6951,3.6279
ewn,8,0,13,206.94,323.825,57.3068,5.7393
ewn,8,0,14,205.245,322.025,103.2661,1.2637
ewn,8,0,15,204.705,323.18,126.1854,1.3381
ewn,8,0,16,197.175,328.295,147.3318,16.9515
ewn,8,0,17,189.355,333.195,154.617,1.5164
