airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
exx,0,path,,UNLABELED,67.61,193.49,79.94,178.89,12.33,14.6,180.0181,51.6863,33.6229,73.775,186.19,0.8445,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,131.1885,10.0929,128.0755,13.7831,0.0,594.0,387.36,0.0,65.7728
exx,1,path,,UNLABELED,76.84,184.22,87.97,177.61,11.13,6.61,73.5695,39.5002,23.7008,82.405,180.915,1.6838,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,22.8282,3.5932,23.2934,5.5635,0.0,594.0,387.36,0.0,40.9316
exx,2,path,,UNLABELED,85.91,229.92,142.75,181.78,56.84,48.14,2736.2765,194.1299,78.2834,114.33,205.85,1.1807,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.9728,448.7183,39.4572,41.0698,0.0,594.0,387.36,0.0,258.6212
exx,3,path,,UNLABELED,131.4,247.45,146.07,231.76,14.67,15.69,230.1723,70.1275,38.3638,138.735,239.605,0.935,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,130.2426,3.7206,39.2616,7.2843,0.0,594.0,387.36,0.0,101.5826
exx,4,path,,UNLABELED,140.06,236.43,150.64,226.82,10.58,9.61,101.674,49.8223,24.9803,145.35,231.625,1.1009,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.1881,4.2472,38.3397,10.0593,0.0,594.0,387.36,0.0,49.8223
exx,5,path,,UNLABELED,147.94,241.2,158.81,233.06,10.87,8.14,88.4819,36.7808,23.9506,153.375,237.13,1.3354,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,27.6882,3.597,25.591,5.7878,0.0,594.0,387.36,0.0,40.7231
exx,6,path,,UNLABELED,155.97,246.37,165.31,237.46,9.34,8.91,83.2194,42.517,22.0695,160.64,241.915,1.0483,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.9801,3.0809,39.5077,8.1266,0.0,594.0,387.36,0.0,42.9294
exx,7,path,,UNLABELED,159.93,241.74,169.93,231.26,10.0,10.48,104.8001,40.111,26.4682,164.93,236.5,0.9542,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,48.2068,1.2929,39.0158,8.546,0.0,594.0,387.36,0.0,53.0028
exx,8,path,,UNLABELED,162.24,259.65,181.14,243.01,18.9,16.64,314.4964,74.6331,45.8784,171.69,251.33,1.1358,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.0763,25.0029,38.7104,21.235,0.0,594.0,387.36,0.0,90.6255
exx,9,path,,UNLABELED,178.81,265.29,188.41,256.01,9.6,9.28,89.0883,44.8464,23.2704,183.61,260.65,1.0345,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,40.5069,4.1417,40.0905,8.7578,0.0,594.0,387.36,0.0,45.2621
exx,10,path,,UNLABELED,182.52,260.6,191.08,249.89,8.56,10.71,91.6778,37.0674,26.461,186.8,255.245,0.7993,12,1,0,1,rgb,207,207,207,0,none,,,,0.0,85.7654,2.3543,41.2713,6.9585,0.0,594.0,387.36,0.0,47.6578
exx,11,path,,UNLABELED,185.51,286.54,214.28,262.0,28.77,24.54,706.0162,108.624,71.6849,199.895,274.27,1.1724,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,39.379,71.4169,39.1947,33.6257,0.0,594.0,387.36,0.0,144.684
exx,12,path,,UNLABELED,211.57,293.19,221.87,283.07,10.3,10.12,104.236,54.9684,29.2808,216.72,288.13,1.0178,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,42.1261,3.5407,41.6763,10.0012,0.0,594.0,387.36,0.0,56.5135
