airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
eye,0,0,0,130.175,242.08,63.9639,1.9365
eye,0,0,1,128.515,241.89,151.1627,2.8197
eye,0,0,2,127.345,242.705,64.2921,0.2997
eye,0,0,3,127.695,243.425,64.0253,1.3014
eye,0,0,4,128.05,244.165,65.6942,0.3401
eye,1,0,0,128.735,239.11,64.1871,2.0439
eye,1,0,1,127.03,238.835,152.8918,2.831
eye,1,0,2,125.875,239.7,64.4855,0.4875
eye,1,0,3,126.3,240.575,63.9622,1.458
eye,1,0,4,126.645,241.28,63.4315,0.1118
eye,1,0,5,127.925,240.68,152.6193,2.8267
eye,2,0,0,127.315,236.195,64.0787,1.9902
eye,2,0,1,125.64,235.985,151.0829,2.8332
eye,2,0,2,124.505,236.89,64.4864,0.4875
eye,2,0,3,124.89,237.68,63.8388,1.2701
eye,2,0,4,125.22,238.355,64.5361,0.2326
eye,2,0,5,126.51,237.775,151.083,2.8332
eye,3,0,0,125.84,233.15,63.9705,1.9142
eye,3,0,1,124.18,232.98,150.9061,2.8381
eye,3,0,2,123.08,233.955,63.8388,0.6351
eye,3,0,3,123.5,234.815,64.0359,1.2791
eye,3,0,4,125.02,234.7,150.9061,2.8381
eye,4,0,0,118.24,234.6,63.4335,0.2683
eye,4,0,1,116.94,235.095,153.6204,2.7683
eye,4,0,2,116.055,236.44,64.0666,1.6235
eye,4,0,3,117.645,236.54,152.9727,2.7728
eye,5,0,0,120.29,238.815,64.3585,0.2773
eye,5,0,1,120.01,238.24,63.9466,1.0018
eye,5,0,2,119.75,237.705,64.8001,0.1879
eye,5,0,3,118.44,238.235,154.1611,2.8222
eye,5,0,4,117.47,239.465,63.9969,1.3685
eye,6,0,0,121.185,240.65,0.0,0.01
eye,6,0,1,119.895,241.24,155.3382,2.8279
eye,6,0,2,118.89,242.39,63.4346,1.2522
eye,6,0,3,120.45,242.365,155.4384,2.8147
eye,6,0,4,121.715,241.74,69.4487,0.0855
eye,7,0,0,122.595,243.545,71.5607,0.0316
eye,7,0,1,121.3,244.11,155.7906,2.8288
eye,7,0,2,120.285,245.275,64.8223,1.2928
eye,7,0,3,121.835,245.23,153.7056,2.8443
eye,7,0,4,123.085,244.55,63.4349,0.1118
eye,8,0,0,123.96,246.345,64.8001,0.1879
eye,8,0,1,122.57,246.865,155.8601,2.9587
eye,8,0,2,121.545,248.165,64.9377,1.5345
eye,8,0,3,123.22,248.225,154.8093,2.9838
eye,8,0,4,124.5,247.45,63.4349,0.313
eye,9,0,0,125.995,250.52,63.4349,0.3801
eye,9,0,1,125.72,249.955,64.3118,0.8767
eye,9,0,2,125.465,249.43,63.4363,0.2907
eye,9,0,3,124.045,249.93,155.064,2.9886
eye,9,0,4,123.03,251.265,64.2535,1.5654
eye,10,0,0,119.835,247.915,64.4929,1.6952
eye,10,0,1,118.17,247.81,153.0833,2.9159
eye,10,0,2,117.085,248.925,64.7081,1.0065
eye,10,0,3,117.45,249.685,63.8111,0.6798
eye,11,0,0,118.355,244.925,65.4974,1.6155
eye,11,0,1,116.705,244.785,155.6546,2.8867
eye,11,0,2,115.67,245.975,64.7987,1.3152
eye,11,0,3,116.02,246.705,62.5916,0.3041
eye,12,0,0,117.05,242.15,65.026,1.6106
eye,12,0,1,115.395,242.035,154.9357,2.9034
eye,12,0,2,114.34,243.195,64.4959,1.2077
eye,12,0,3,114.685,243.925,65.3249,0.4072
eye,12,0,4,116.08,243.495,154.8514,2.8944
eye,13,0,0,115.645,239.15,64.3718,1.6415
eye,13,0,1,113.965,239.035,154.7468,2.93
eye,13,0,2,112.93,240.265,64.3901,1.3418
eye,13,0,3,113.285,241.0,63.4336,0.2907
eye,14,0,0,133.025,247.96,64.1871,2.0439
eye,14,0,1,131.345,247.71,151.5198,2.8101
eye,14,0,2,130.395,248.965,64.0256,1.3015
eye,14,0,3,130.81,249.825,64.6986,0.6083
eye,14,0,4,132.205,249.49,154.256,2.8088
eye,15,0,0,131.61,245.04,64.5024,1.4403
eye,15,0,1,130.08,245.105,149.6271,2.8282
eye,15,0,2,129.04,246.195,64.359,0.8319
eye,15,0,3,129.31,246.75,63.4349,0.4025
eye,15,0,4,130.66,246.31,153.8001,2.8086
eye,16,0,0,114.245,236.225,64.4399,1.7846
eye,16,0,1,112.53,236.04,155.0069,2.9348
eye,16,0,2,111.505,237.295,64.3441,1.4089
eye,16,0,3,111.895,238.1,63.4349,0.3801
eye,17,0,0,112.98,233.565,64.4277,1.807
eye,17,0,1,111.28,233.415,153.0858,2.9383
eye,17,0,2,110.28,234.735,64.6725,1.4493
eye,17,0,3,110.67,235.55,63.4339,0.3577
eye,17,0,4,112.06,235.045,153.0864,2.9382
eye,18,0,0,103.03,236.14,64.1338,1.467
eye,18,0,1,104.43,236.31,155.5958,2.3719
eye,18,0,2,105.5,235.795,68.1895,0.0538
eye,18,0,3,105.195,235.16,64.1914,1.3552
eye,18,0,4,104.89,234.525,68.2016,0.0539
eye,19,0,0,104.295,238.75,63.8607,1.203
eye,19,0,1,105.645,238.82,156.5793,2.3648
eye,19,0,2,106.485,237.835,64.559,1.1406
eye,19,0,3,106.225,237.295,59.0311,0.0583
eye,20,0,0,105.86,241.985,64.1888,1.6996
eye,20,0,1,107.29,242.245,154.526,2.3483
eye,20,0,2,108.26,241.545,65.2239,0.4295
eye,20,0,3,107.895,240.78,64.2449,1.2658
eye,21,0,0,109.625,244.395,62.1056,0.1924
eye,21,0,1,109.32,243.765,64.4956,1.2077
eye,21,0,2,109.025,243.145,64.9823,0.1655
eye,21,0,3,107.925,243.555,155.5155,2.3405
eye,21,0,4,107.2,244.745,64.2535,1.5654
eye,22,0,0,110.765,246.765,64.1481,1.0779
eye,22,0,1,109.455,246.74,156.8333,2.3386
eye,22,0,2,108.615,247.685,64.1481,1.0779
eye,23,0,0,112.505,250.4,69.4416,0.0854
eye,23,0,1,112.225,249.805,64.4769,1.2301
eye,23,0,2,111.88,249.095,62.6997,0.3489
eye,23,0,3,110.755,249.44,154.4303,2.3169
eye,23,0,4,110.07,250.69,64.359,1.6639
eye,24,0,0,107.48,249.81,64.1695,10.4657
eye,24,0,1,103.88,245.745,153.958,2.9383
eye,24,0,2,104.8,251.13,64.7059,10.4853
eye,25,0,0,102.515,239.545,64.1755,9.3431
eye,25,0,1,99.205,235.91,155.9123,2.7932
eye,25,0,2,97.96,236.54,63.432,0.1342
eye,25,0,3,98.0,236.625,68.1971,0.0538
eye,25,0,4,99.925,240.73,64.8564,9.0141
eye,25,0,5,101.865,244.875,68.965,0.1393
eye,26,0,0,217.905,191.35,146.3234,0.036
eye,26,0,1,214.955,192.795,153.9445,6.5341
eye,26,0,2,211.91,194.005,63.947,0.5009
eye,26,0,3,211.69,193.555,63.947,0.5009
eye,26,0,4,210.325,194.005,151.7265,2.85
eye,26,0,5,210.065,197.015,66.92,5.0763
eye,26,0,6,211.715,200.12,49.6135,2.0218
eye,26,0,7,213.26,201.94,49.7149,2.7529
eye,26,0,8,217.74,200.97,150.6346,8.2386
eye,27,0,0,182.68,171.76,153.9131,7.5045
eye,27,0,1,179.295,173.42,146.283,0.0361
eye,27,0,2,179.655,174.165,62.9692,1.6503
eye,27,0,3,178.385,175.655,155.3467,3.62
eye,27,0,4,175.915,176.825,153.2959,1.847
eye,27,0,5,172.71,172.31,64.2307,10.9489
eye,27,0,6,173.68,165.765,154.2619,7.4379
eye,27,0,7,177.385,164.725,58.3088,1.3515
eye,27,0,8,179.085,164.64,153.8624,2.9964
eye,27,0,9,180.08,163.4,58.8908,1.3549
eye,27,0,10,182.105,161.74,155.5469,5.2181
eye,27,0,11,185.13,160.685,2.2034,1.301
eye,27,0,12,186.095,160.765,9.9028,0.6395
eye,27,0,13,186.095,158.275,82.9442,5.1288
eye,27,0,14,183.33,150.945,62.8868,10.7515
eye,27,0,15,179.61,143.795,61.7641,5.3688
eye,27,0,16,178.075,140.87,64.6758,1.2391
eye,27,0,17,168.05,144.87,154.9574,21.5454
eye,27,0,18,156.585,149.125,10.1424,3.4641
eye,27,0,19,154.555,148.13,64.7792,1.5254
eye,27,0,20,154.235,147.435,135.0438,0.0141
eye,27,0,21,151.555,141.665,65.0266,12.7192
eye,27,0,22,144.305,138.005,155.2448,10.0539
eye,27,0,23,139.74,140.115,90.0,0.01
eye,27,0,24,142.62,145.99,63.866,13.0769
eye,27,0,25,147.435,155.8,63.8436,8.779
eye,27,0,26,151.215,163.51,63.9234,8.3945
eye,27,0,27,153.735,168.65,63.7703,3.0545
eye,27,0,28,156.295,169.085,153.6177,4.2083
eye,27,0,29,162.355,177.045,64.8563,19.6521
eye,27,0,30,177.7,180.64,154.6164,24.7272
eye,28,0,0,275.54,428.815,63.8163,11.4221
eye,28,0,1,279.245,436.345,63.7695,5.3622
eye,28,0,2,282.775,437.52,152.3222,5.296
eye,28,0,3,283.02,431.725,65.2965,10.0497
eye,28,0,4,279.77,426.87,14.1535,2.372
eye,28,0,5,276.885,425.94,20.2478,3.6986
eye,29,0,0,241.735,443.395,63.7312,9.5124
eye,29,0,1,239.54,439.495,103.851,0.7519
eye,29,0,2,239.505,441.13,87.5202,2.5424
eye,29,0,3,238.665,443.65,125.6028,3.0748
eye,29,0,4,237.325,447.05,101.6938,4.3911
eye,29,0,5,237.455,451.08,72.9936,3.9319
eye,29,0,6,239.37,455.365,60.8747,5.5062
eye,29,0,7,243.995,456.2,154.4555,7.2818
eye,30,0,0,88.755,242.345,63.8529,0.6127
eye,30,0,1,88.58,241.975,67.1661,0.2062
eye,30,0,2,89.725,241.305,154.1153,2.6343
eye,30,0,3,90.915,240.74,63.4524,0.0224
eye,30,0,4,91.345,238.94,103.214,3.7184
eye,30,0,5,94.325,236.045,156.991,5.5517
eye,30,0,6,97.63,234.605,154.6705,1.6595
