airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
fbg,0,path,,UNLABELED,96.227,330.687,102.452,324.485,6.225,6.202,38.6074,34.3999,22.923,99.3395,327.586,1.0037,6,1,0,1,rgb,230,230,230,0,none,,,,0.0,167.718,1.037,3.5114,5.878,0.0,593.0,387.0,0.0,34.4011
fbg,1,path,,UNLABELED,156.964,331.869,322.066,291.41,165.102,40.459,6679.8594,4358.3029,351.3444,239.515,311.6395,4.0807,23,1,0,1,rgb,230,230,230,0,none,,,,0.0,3.2956,18.1484,3.497,96.0709,0.0,593.0,387.0,0.0,4674.984
fbg,2,path,,UNLABELED,146.017,301.6,267.804,168.546,121.787,133.054,16204.2478,6290.5229,358.6789,206.9105,235.073,0.9153,31,1,0,1,rgb,230,230,230,0,none,,,,0.0,125.6952,6.3925,126.6193,32.4277,0.0,593.0,387.0,0.0,7143.6031
fbg,3,path,,UNLABELED,295.193,399.455,314.703,392.729,19.51,6.726,131.2243,79.8601,35.9231,304.948,396.092,2.9007,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,4.3078,6.667,4.0985,19.56,0.0,593.0,387.0,0.0,79.8601
fbg,4,path,,UNLABELED,131.554,382.251,151.585,360.808,20.031,21.443,429.525,226.8476,55.7844,141.5695,371.5295,0.9342,20,1,0,1,rgb,230,230,230,0,none,,,,0.0,134.2491,3.2424,118.5094,13.8926,0.0,593.0,387.0,0.0,244.0444
fbg,5,path,,UNLABELED,24.658,474.259,150.004,384.48,125.346,89.779,11253.4376,8890.8297,470.1219,87.331,429.3695,1.3962,82,1,0,1,rgb,230,230,230,0,none,,,,0.0,162.4942,2.8996,3.463,87.8244,0.0,593.0,387.0,0.0,9824.07
fbg,6,path,,UNLABELED,161.613,455.945,234.11,385.469,72.497,70.476,5109.2991,3105.0176,359.5432,197.8615,420.707,1.0287,164,1,0,1,rgb,230,230,230,0,none,,,,0.0,3.5759,2.0898,3.274,30.2744,0.0,593.0,387.0,0.0,3978.5783
fbg,7,path,,UNLABELED,233.128,465.501,291.826,388.762,58.698,76.739,4504.4256,2414.2417,236.7077,262.477,427.1315,0.7649,55,1,0,1,rgb,230,230,230,0,none,,,,0.0,100.9864,1.8476,93.5482,36.4529,0.0,593.0,387.0,0.0,3254.906
fbg,8,path,,UNLABELED,128.375,332.415,134.63,326.252,6.255,6.163,38.5496,34.5244,22.9825,131.5025,329.3335,1.0149,8,1,0,1,rgb,230,230,230,0,none,,,,0.0,0.2994,1.2832,3.3887,5.9213,0.0,593.0,387.0,0.0,34.5321
fbg,9,path,,UNLABELED,104.245,317.576,119.572,304.593,15.327,12.983,198.9905,38.9682,38.029,111.9085,311.0845,1.1805,16,1,0,1,rgb,230,230,230,0,none,,,,0.0,37.593,15.9287,37.5382,7.4595,0.0,593.0,387.0,0.0,60.7844
fbg,10,path,,UNLABELED,111.186,312.168,131.459,295.397,20.273,16.771,339.9983,50.7837,55.2409,121.3225,303.7825,1.2088,24,1,0,1,rgb,230,230,230,0,none,,,,0.0,37.0805,29.4214,38.7965,7.4662,0.0,593.0,387.0,0.0,108.9503
fbg,11,path,,UNLABELED,118.49,302.798,138.617,285.672,20.127,17.126,344.6953,51.1787,52.155,128.5535,294.235,1.1752,24,1,0,1,rgb,230,230,230,0,none,,,,0.0,37.2148,29.8922,38.7179,7.2247,0.0,593.0,387.0,0.0,110.7262
fbg,12,path,,UNLABELED,125.785,293.396,145.898,276.393,20.113,17.003,341.9811,50.82,52.0029,135.8415,284.8945,1.1829,24,1,0,1,rgb,230,230,230,0,none,,,,0.0,37.3765,30.6822,37.778,7.2053,0.0,593.0,387.0,0.0,109.7469
fbg,13,path,,UNLABELED,226.758,367.771,230.681,363.849,3.923,3.922,15.386,7.726,8.2778,228.7195,365.81,1.0003,4,1,0,1,rgb,230,230,230,0,none,,,,0.0,42.7747,1.0544,41.4273,2.7914,0.0,593.0,387.0,0.0,7.726
fbg,14,path,,UNLABELED,152.644,361.25,161.268,354.333,8.624,6.917,59.6522,30.0156,23.7353,156.956,357.7915,1.2468,7,1,0,1,rgb,230,230,230,0,none,,,,0.0,27.3417,1.4988,3.4506,8.6397,0.0,593.0,387.0,0.0,33.0357
fbg,15,path,,UNLABELED,126.465,316.218,153.556,282.418,27.091,33.8,915.6756,95.9745,49.6206,140.0105,299.318,0.8015,14,1,0,1,rgb,230,230,230,0,none,,,,0.0,128.2196,146.0557,127.5323,7.0403,0.0,593.0,387.0,0.0,135.7764
