airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
ffz,0,0,0,145.235,353.355,18.4347,1.17
ffz,0,0,1,146.26,353.54,0.0,0.94
ffz,0,0,2,147.21,353.455,169.958,0.9749
ffz,0,0,3,148.1,353.08,144.7277,1.0044
ffz,0,0,4,149.015,352.235,132.2992,1.5007
ffz,0,0,5,150.505,350.5,129.8533,3.0742
ffz,0,0,6,160.87,337.595,128.6598,30.0306
ffz,0,0,7,170.61,325.255,120.3431,1.4252
ffz,0,0,8,171.04,324.195,98.9384,0.901
ffz,0,0,9,171.11,323.34,90.0,0.82
ffz,0,0,10,170.885,322.025,76.0383,1.8651
ffz,0,0,11,176.95,326.205,38.9529,16.1767
ffz,0,0,12,182.345,331.05,15.0115,1.8532
ffz,0,0,13,180.885,330.795,1.5192,1.1304
ffz,0,0,14,179.935,330.915,160.6776,0.816
ffz,0,0,15,179.21,331.275,146.5056,0.8154
ffz,0,0,16,178.15,332.285,132.5269,2.1304
ffz,0,0,17,167.305,345.67,128.7844,32.3281
ffz,0,0,18,156.89,358.57,134.0295,0.8345
ffz,0,0,19,156.36,359.435,113.0145,1.2277
ffz,0,0,20,156.08,360.63,93.633,1.2625
ffz,0,0,21,156.22,361.79,71.2413,1.1195
ffz,0,0,22,156.685,362.69,52.3946,0.9341
ffz,1,0,0,50.405,225.735,131.9468,1.0622
ffz,1,0,1,46.155,222.945,39.2734,10.0629
ffz,1,0,2,45.065,216.395,129.8139,8.7616
ffz,1,0,3,51.7,216.235,39.9231,9.9882
ffz,1,0,4,55.235,219.795,129.7265,0.9231
ffz,2,0,0,314.54,438.125,131.1398,1.1552
ffz,2,0,1,318.185,441.725,38.1792,10.2407
ffz,2,0,2,324.895,441.515,128.5042,8.6255
ffz,2,0,3,323.66,434.945,39.1818,10.1142
ffz,2,0,4,319.38,432.195,128.9725,1.1448
ffz,3,0,0,248.405,443.0,38.2864,6.2299
ffz,3,0,1,252.475,443.12,131.9172,4.8649
ffz,3,0,2,251.615,439.32,38.688,6.3672
ffz,4,0,0,47.095,280.895,38.4078,6.0362
ffz,4,0,1,50.975,280.825,127.9156,4.9308
ffz,4,0,2,50.195,277.08,38.1074,5.8333
ffz,5,0,0,247.72,419.58,63.4349,0.4472
ffz,5,0,1,247.34,416.475,84.4946,5.8369
ffz,5,0,2,251.11,408.68,129.6322,12.6987
ffz,5,0,3,277.68,422.92,40.3468,59.0968
ffz,5,0,4,300.725,442.165,12.3553,1.0749
ffz,5,0,5,305.19,437.655,130.4274,12.1514
ffz,5,0,6,312.025,435.36,38.8283,7.4324
ffz,5,0,7,308.675,444.865,131.0358,19.0243
ffz,5,0,8,300.46,452.005,1.0177,3.9406
ffz,5,0,9,279.88,437.665,37.5485,46.9453
ffz,5,0,10,255.2,430.345,130.9908,18.5079
ffz,5,0,11,247.005,435.625,38.7419,5.4489
ffz,5,0,12,245.605,432.965,127.2043,2.398
ffz,5,0,13,248.06,431.04,150.7209,3.9668
ffz,5,0,14,251.095,427.66,118.4353,5.4813
ffz,5,0,15,250.11,422.515,50.0607,7.1342
ffz,6,0,0,58.185,280.14,122.2452,2.5302
ffz,6,0,1,57.59,281.315,52.695,0.264
ffz,6,0,2,57.275,281.915,128.5895,1.2666
ffz,6,0,3,54.685,280.645,38.8028,5.6332
ffz,6,0,4,58.245,270.74,125.2604,19.9379
ffz,6,0,5,63.885,261.16,85.434,2.8892
ffz,6,0,6,62.755,258.28,54.8215,3.5235
ffz,6,0,7,52.24,248.94,39.7462,24.7111
ffz,6,0,8,42.485,239.94,76.9485,2.2584
ffz,6,0,9,42.735,236.29,101.2018,5.1991
ffz,6,0,10,47.0,229.54,131.8361,11.2743
ffz,6,0,11,53.11,227.225,38.7342,6.0252
ffz,6,0,12,52.66,232.19,132.2737,8.325
ffz,6,0,13,50.03,235.95,75.9636,1.4018
ffz,6,0,14,51.05,237.985,57.8996,3.1991
ffz,6,0,15,68.525,252.93,39.2641,42.9455
ffz,6,0,16,80.91,271.955,127.9588,13.7865
ffz,6,0,17,75.31,278.065,153.6036,3.0366
ffz,6,0,18,72.0,278.825,177.5043,3.9037
ffz,6,0,19,69.12,278.4,28.7395,2.1213
ffz,6,0,20,67.21,277.255,32.942,2.3355
ffz,6,0,21,64.78,275.45,38.8999,3.7263
ffz,6,0,22,61.725,275.305,147.4363,3.8088
ffz,6,0,23,59.49,277.7,114.6956,3.0158
ffz,7,0,0,40.39,336.31,43.0589,1.6697
ffz,7,0,1,41.0,337.62,90.0,1.48
ffz,7,0,2,41.58,338.37,0.988,1.1602
ffz,7,0,3,47.28,332.14,129.3693,16.1434
ffz,7,0,4,52.705,325.525,129.1226,0.9667
ffz,7,0,5,42.075,316.375,38.746,28.041
ffz,7,0,6,29.54,309.63,128.2442,5.1695
ffz,7,0,7,27.95,313.095,89.6007,2.8701
ffz,7,0,8,29.31,314.495,178.5147,2.7009
ffz,7,0,9,30.745,324.505,89.5152,20.0907
ffz,7,0,10,31.37,335.145,47.7743,1.607
ffz,8,0,0,70.845,340.345,131.4606,1.3744
ffz,8,0,1,64.52,348.17,128.7648,18.7502
ffz,8,0,2,58.815,356.195,77.0054,1.4676
ffz,8,0,3,58.965,356.93,126.8734,0.05
ffz,8,0,4,59.06,357.145,60.5728,0.4478
ffz,8,0,5,63.72,361.015,38.9276,11.6975
ffz,8,0,6,68.515,364.8,24.1793,0.5371
ffz,8,0,7,69.5,364.815,172.6844,1.4921
ffz,8,0,8,70.24,364.635,90.0,0.17
ffz,8,0,9,70.235,364.54,63.4349,0.0224
ffz,8,0,10,75.97,357.205,128.0829,18.6122
ffz,8,0,11,81.72,349.885,26.5563,0.0224
ffz,8,0,12,81.87,349.725,130.3138,0.4328
ffz,8,0,13,84.48,351.505,38.2186,6.2877
ffz,8,0,14,87.2,353.12,127.1472,0.828
ffz,9,0,0,337.855,399.88,128.2152,2.2146
ffz,9,0,1,339.79,400.005,38.5199,3.1953
