airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
fin,0,0,0,240.4,375.935,164.3556,218.8266
fin,0,0,1,135.34,406.55,74.8759,2.2997
fin,0,0,2,241.015,378.15,164.3552,218.8582
fin,0,0,3,346.075,347.535,74.0888,2.2981
fin,1,0,0,153.205,281.43,35.4528,40.0322
fin,1,0,1,172.61,295.235,35.3009,7.5968
fin,1,0,2,177.64,298.82,35.762,4.7569
fin,1,0,3,183.03,302.705,35.7953,8.5315
fin,1,0,4,191.08,308.505,35.7554,11.3121
fin,1,0,5,197.455,313.06,35.0028,4.3583
fin,1,0,6,199.57,314.455,23.7209,0.7209
fin,1,0,7,200.295,314.595,179.2741,0.7901
fin,1,0,8,201.045,314.42,154.4115,0.7872
fin,1,0,9,201.63,313.97,129.4003,0.7247
fin,1,0,10,202.85,311.855,118.3475,4.17
fin,1,0,11,206.235,305.575,118.3161,10.0983
fin,1,0,12,208.91,300.21,106.9275,1.9233
fin,1,0,13,209.16,298.33,88.2102,1.921
fin,1,0,14,211.655,299.175,35.5593,6.2076
fin,1,0,15,213.25,300.92,3.6912,1.8639
fin,1,0,16,211.58,301.425,142.6383,1.862
fin,1,0,17,207.735,307.695,118.5576,12.9905
fin,1,0,18,204.09,314.39,118.6111,2.2554
fin,1,0,19,203.465,316.015,97.6233,1.2813
fin,1,0,20,203.74,317.185,56.0634,1.2897
fin,1,0,21,205.01,318.36,35.1187,2.225
fin,1,0,22,237.305,341.66,35.8293,77.4208
fin,1,0,23,270.255,365.01,23.7925,3.4207
fin,1,0,24,273.51,365.965,8.9117,3.4213
fin,1,0,25,270.595,367.515,164.4085,9.5619
fin,1,0,26,266.09,367.5,94.399,2.6077
fin,1,0,27,265.445,365.085,56.251,2.682
fin,1,0,28,235.7,343.15,35.6757,71.3995
fin,1,0,29,205.035,321.135,35.6678,4.0989
fin,1,0,30,203.04,319.79,24.443,0.725
fin,1,0,31,202.315,319.645,179.2741,0.7901
fin,1,0,32,201.56,319.82,154.7241,0.7962
fin,1,0,33,200.97,320.265,129.9074,0.717
fin,1,0,34,199.67,322.505,118.5696,4.4749
fin,1,0,35,192.815,335.1,118.5556,24.2044
fin,1,0,36,186.76,346.45,110.5563,1.5379
fin,1,0,37,186.435,347.93,94.1392,1.524
fin,1,0,38,190.5,366.99,77.3122,37.5161
fin,1,0,39,194.91,385.83,61.7625,1.2259
fin,1,0,40,195.76,386.79,36.8699,1.4
fin,1,0,41,197.065,387.415,15.3853,1.5454
fin,1,0,42,198.57,387.585,177.3635,1.5216
fin,1,0,43,194.75,388.845,164.2117,9.5191
fin,1,0,44,190.695,389.56,132.1505,1.5646
fin,1,0,45,191.575,388.255,116.0885,1.6145
fin,1,0,46,192.06,386.735,99.2873,1.6111
fin,1,0,47,192.1,385.17,83.333,1.5505
fin,1,0,48,188.61,368.755,77.739,32.0204
fin,1,0,49,184.3,349.41,76.1827,7.6205
fin,1,0,50,180.63,333.48,77.2828,25.0751
fin,1,0,51,176.445,314.955,77.2449,12.9085
fin,1,0,52,174.02,304.215,77.3211,9.1122
fin,1,0,53,172.48,298.8,60.8956,2.2204
fin,1,0,54,171.165,297.045,45.3674,2.2062
fin,1,0,55,151.075,282.505,35.4562,47.4244
fin,1,0,56,130.685,267.685,44.7324,3.0264
fin,1,0,57,129.105,265.2,70.4227,3.0142
fin,1,0,58,127.635,257.905,80.6722,11.9075
fin,1,0,59,126.65,250.705,89.135,2.6503
fin,1,0,60,127.225,248.195,116.6618,2.652
fin,1,0,61,129.555,244.52,124.8682,6.0697
fin,1,0,62,132.825,243.06,33.8619,3.6971
fin,1,0,63,133.805,244.075,1.5481,1.1104
