airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
frg,0,compound,,UNLABELED,29.91,391.85,337.44,97.49,307.53,294.36,90524.5306,10523.255,3464.3243,183.675,244.67,1.0447,1048,17,0,1,rgb,207,207,207,0,none,,,,0.0,113.3453,2.0357,137.8932,164.8883,0.0,594.0,387.36,0.0,47880.5837
frg,1,path,,UNLABELED,151.54,168.7,163.35,138.73,11.81,29.97,353.9456,66.4764,79.1126,157.445,153.715,0.3941,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.4076,4.9773,91.1799,27.1958,0.0,594.0,387.36,0.0,199.4117
frg,2,path,,UNLABELED,183.6722,130.4706,183.6722,130.4706,0.0,0.0,0.0,0.0,0.0,183.6722,130.4706,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,0.0,1000000.0,0.0,0.0,0.0,594.0,387.36,0.0,0.0
frg,3,path,,UNLABELED,171.89,168.77,183.92,130.47,12.03,38.3,460.7488,80.4519,95.6758,177.905,149.62,0.3141,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.3862,10.3382,90.8758,15.7018,0.0,594.0,387.36,0.0,260.1332
frg,4,path,,UNLABELED,171.27,313.37,176.45,310.22,5.18,3.15,16.3169,9.1309,13.8973,173.86,311.795,1.6444,14,1,0,1,rgb,207,207,207,0,none,,,,0.0,172.6327,2.1638,0.9489,3.0204,0.0,594.0,387.36,0.0,10.3352
frg,5,path,,UNLABELED,169.54,316.77,178.57,305.95,9.03,10.82,97.7047,22.6155,43.3983,174.055,311.36,0.8346,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,146.2274,1.8472,90.8472,10.8212,0.0,594.0,387.36,0.0,69.3853
frg,6,path,,UNLABELED,178.46,352.44,190.22,295.39,11.76,57.05,670.9086,152.2114,127.4844,184.34,323.915,0.2061,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,93.3522,77.2693,90.737,38.0932,0.0,594.0,387.36,0.0,401.136
frg,7,path,,UNLABELED,174.96,369.36,183.38,355.4,8.42,13.96,117.5434,30.2617,39.7847,179.17,362.38,0.6032,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.5557,2.6756,102.0573,11.7287,0.0,594.0,387.36,0.0,61.2658
frg,8,path,,UNLABELED,168.21,409.99,168.97,408.39,0.76,1.6,1.216,0.2332,3.8161,168.59,409.19,0.475,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.9293,13.2512,90.5903,0.9701,0.0,594.0,387.36,0.0,0.4332
frg,9,path,,UNLABELED,174.4,504.27,183.95,478.58,9.55,25.69,245.3395,116.3049,65.4978,179.175,491.425,0.3717,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.7063,6.3926,95.019,13.6021,0.0,594.0,387.36,0.0,170.9153
frg,10,path,,UNLABELED,168.96,357.4,183.21,350.98,14.25,6.42,91.485,47.5208,39.5726,176.085,354.19,2.2196,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.6858,5.9093,0.5136,10.0404,0.0,594.0,387.36,0.0,70.9046
frg,11,path,,UNLABELED,163.31,148.43,172.09,139.65,8.78,8.78,77.0884,74.882,34.6138,167.7,144.04,1.0,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,45.9616,1.3986,90.8601,8.661,0.0,594.0,387.36,0.0,74.882
frg,12,path,,UNLABELED,210.09,192.2,261.45,108.69,51.36,83.51,4289.0742,1039.1904,271.184,235.77,150.445,0.615,32,1,0,1,rgb,207,207,207,0,none,,,,0.0,71.8497,5.5782,137.8876,33.6869,0.0,594.0,387.36,0.0,2659.3446
frg,13,path,,UNLABELED,158.62,475.02,167.4,466.24,8.78,8.78,77.0884,74.882,34.6138,163.01,470.63,1.0,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,45.9617,1.3986,90.8601,8.661,0.0,594.0,387.36,0.0,74.882
frg,14,path,,UNLABELED,158.75,466.84,158.75,466.25,0.0,0.59,0.0,0.0,0.59,158.75,466.545,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,0.59,0.0,594.0,387.36,0.0,0.0
frg,15,path,,UNLABELED,167.4,466.47,167.4,466.37,0.0,0.1,0.0,0.0,0.1,167.4,466.42,0.0,2,1,0,0,none,,,,1,rgb,207,207,207,0.39,90.0,1000000.0,90.0,0.1,0.0,594.0,387.36,0.0,0.0
frg,16,compound,,UNLABELED,56.32,484.45,356.26,133.85,299.94,350.6,105158.9697,4761.2786,2076.1302,206.29,309.15,0.8555,493,3,0,1,rgb,207,207,207,0,none,,,,0.0,123.9251,8.4537,137.7712,84.9734,0.0,594.0,387.36,0.0,33095.8877
frg,17,path,,UNLABELED,259.79,122.93,262.67,122.93,2.88,0.0,0.0,0.0,2.88,261.23,122.93,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
frg,18,path,,UNLABELED,259.78,157.94,262.67,157.94,2.89,0.0,0.0,0.0,2.89,261.225,157.94,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.89,0.0,594.0,387.36,0.0,0.0
frg,19,path,,UNLABELED,259.78,227.94,262.66,227.94,2.88,0.0,0.0,0.0,2.88,261.22,227.94,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
frg,20,path,,UNLABELED,259.78,262.94,262.66,262.94,2.88,0.0,0.0,0.0,2.88,261.22,262.94,0.0,2,1,0,0,none,,,,1,rgb,0,0,0,0.39,0.0,1000000.0,0.0,2.88,0.0,594.0,387.36,0.0,0.0
