airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
ftw,0,path,,UNLABELED,99.98,277.85,108.61,266.39,8.63,11.46,98.8997,52.7567,38.2942,104.295,272.12,0.7531,26,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.9053,2.5388,97.963,10.1781,0.0,594.0,387.36,0.0,76.5506
ftw,1,path,,UNLABELED,109.4,274.93,173.75,257.17,64.35,17.76,1142.8566,323.8257,146.8049,141.575,266.05,3.6233,23,1,0,1,rgb,207,207,207,0,none,,,,0.0,173.0292,79.9547,170.0979,59.5471,0.0,594.0,387.36,0.0,534.0503
ftw,2,path,,UNLABELED,164.39,150.31,180.55,138.59,16.16,11.72,189.3953,44.5564,40.2762,172.47,144.45,1.3788,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,31.6609,46.2828,33.1139,16.273,0.0,594.0,387.36,0.0,44.5833
ftw,3,path,,UNLABELED,163.58,478.94,171.47,463.84,7.89,15.1,119.139,77.6343,25.0497,167.525,471.39,0.5225,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,102.7674,6.0298,101.1597,11.212,0.0,594.0,387.36,0.0,78.3905
ftw,4,path,,UNLABELED,166.19,105.95,186.52,100.31,20.33,5.64,114.6615,64.1117,43.2907,176.355,103.13,3.6046,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,7.0463,29.2595,7.1559,16.1357,0.0,594.0,387.36,0.0,64.1486
ftw,5,path,,UNLABELED,179.16,156.21,189.08,148.19,9.92,8.02,79.5586,29.716,23.4694,184.12,152.2,1.2369,11,1,0,1,rgb,207,207,207,0,none,,,,0.0,19.0258,4.2764,33.1598,10.7866,0.0,594.0,387.36,0.0,40.9252
ftw,6,path,,UNLABELED,186.02,107.09,195.65,102.81,9.63,4.28,41.2164,29.2689,21.6646,190.835,104.95,2.25,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,4.4392,7.9515,7.0636,9.2704,0.0,594.0,387.36,0.0,29.2689
ftw,7,path,,UNLABELED,202.2,112.66,213.09,99.91,10.89,12.75,138.8475,57.4802,37.1723,207.645,106.285,0.8541,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,132.6815,4.1225,98.1728,7.5971,0.0,594.0,387.36,0.0,87.1384
ftw,8,path,,UNLABELED,213.4,134.95,220.94,115.43,7.54,19.52,147.1806,97.7784,40.9783,217.17,125.19,0.3863,8,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.4283,7.8408,98.022,11.2501,0.0,594.0,387.36,0.0,102.3322
ftw,9,path,,UNLABELED,219.65,142.59,226.25,137.53,6.6,5.06,33.3959,24.3368,14.3368,222.95,140.06,1.3043,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,161.9306,2.361,162.4744,5.1805,0.0,594.0,387.36,0.0,24.3368
ftw,10,path,,UNLABELED,211.95,144.58,220.32,134.23,8.37,10.35,86.6292,63.8341,31.1269,216.135,139.405,0.8087,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.1105,3.665,98.4589,9.8572,0.0,594.0,387.36,0.0,66.4374
ftw,11,path,,UNLABELED,205.18,159.18,207.6,153.77,2.42,5.41,13.0922,11.7779,9.2417,206.39,156.475,0.4473,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,88.4618,7.3716,88.5966,4.4914,0.0,594.0,387.36,0.0,11.7779
ftw,12,path,,UNLABELED,210.97,150.81,216.9,143.98,5.93,6.83,40.5018,31.3658,21.2107,213.935,147.395,0.8682,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,116.4581,1.5575,98.8497,6.3051,0.0,594.0,387.36,0.0,31.4745
ftw,13,path,,UNLABELED,195.28,161.23,205.29,153.79,10.01,7.44,74.4744,31.8885,30.0208,200.285,157.51,1.3454,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,159.1884,1.909,98.1085,7.5151,0.0,594.0,387.36,0.0,55.7664
ftw,14,path,,UNLABELED,207.45,164.76,218.17,150.22,10.72,14.54,155.8689,116.7945,41.6144,212.81,157.49,0.7373,34,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.687,1.9489,94.0472,8.5012,0.0,594.0,387.36,0.0,127.6414
ftw,15,path,,UNLABELED,217.57,161.94,225.5,153.46,7.93,8.48,67.2466,45.7888,21.3264,221.535,157.7,0.9351,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,143.8058,1.688,154.8685,8.7592,0.0,594.0,387.36,0.0,45.7888
ftw,16,path,,UNLABELED,200.47,225.65,207.43,219.54,6.96,6.11,42.5255,30.989,23.1371,203.95,222.595,1.1391,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,30.198,1.2786,98.16,5.4249,0.0,594.0,387.36,0.0,33.0521
ftw,17,path,,UNLABELED,201.24,220.18,213.98,164.37,12.74,55.81,711.0197,265.242,74.2074,207.61,192.275,0.2283,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.2348,105.7354,98.2834,46.5052,0.0,594.0,387.36,0.0,265.7358
ftw,18,path,,UNLABELED,245.27,226.0,256.58,162.88,11.31,63.12,713.888,305.6255,137.7484,250.925,194.44,0.1792,49,1,0,1,rgb,207,207,207,0,none,,,,0.0,92.5805,34.3835,87.3843,17.7485,0.0,594.0,387.36,0.0,473.913
ftw,19,path,,UNLABELED,198.76,237.38,205.34,224.91,6.58,12.47,82.0526,59.4602,21.7582,202.05,231.145,0.5277,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.1261,4.7613,98.6214,5.9371,0.0,594.0,387.36,0.0,59.4602
ftw,20,path,,UNLABELED,182.95,247.61,194.0,236.61,11.05,11.0,121.55,46.2982,34.4278,188.475,242.11,1.0045,20,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.5822,1.4889,98.1228,11.1115,0.0,594.0,387.36,0.0,77.7888
ftw,21,path,,UNLABELED,193.27,247.74,203.71,236.76,10.44,10.98,114.631,78.4211,25.9828,198.49,242.25,0.9508,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,103.3372,3.1285,7.1392,4.9887,0.0,594.0,387.36,0.0,84.6336
ftw,22,path,,UNLABELED,178.77,276.94,190.12,265.69,11.35,11.25,127.6876,47.5568,35.4704,184.445,271.315,1.0089,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,115.5644,1.4859,98.0945,11.3632,0.0,594.0,387.36,0.0,81.0766
ftw,23,path,,UNLABELED,194.72,266.21,202.15,247.1,7.43,19.11,141.9873,90.1087,36.8935,198.435,256.655,0.3888,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.4536,10.146,98.0453,10.5034,0.0,594.0,387.36,0.0,90.4692
ftw,24,path,,UNLABELED,189.12,277.25,199.47,265.71,10.35,11.54,119.4392,80.0977,26.253,194.295,271.48,0.8969,21,1,0,1,rgb,207,207,207,0,none,,,,0.0,100.8487,3.6646,78.4424,4.9912,0.0,594.0,387.36,0.0,87.1727
ftw,25,path,,UNLABELED,191.86,285.94,197.92,276.61,6.06,9.33,56.5399,42.5232,18.4742,194.89,281.275,0.6495,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.4571,3.272,98.0562,8.7766,0.0,594.0,387.36,0.0,42.5232
ftw,26,path,,UNLABELED,190.82,293.33,198.4,285.28,7.58,8.05,61.0188,47.1894,26.0489,194.61,289.305,0.9416,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,61.4643,1.2122,7.0665,4.877,0.0,594.0,387.36,0.0,48.108
ftw,27,path,,UNLABELED,189.16,304.26,195.66,292.73,6.5,11.53,74.945,53.9819,29.3459,192.41,298.495,0.5637,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.7389,4.5504,97.8657,11.0338,0.0,594.0,387.36,0.0,54.7552
ftw,28,path,,UNLABELED,168.85,346.47,181.56,324.9,12.71,21.57,274.1547,62.2515,53.7319,175.205,335.685,0.5892,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,129.2553,6.999,98.1421,13.4859,0.0,594.0,387.36,0.0,91.4764
ftw,29,path,,UNLABELED,175.45,308.36,185.16,283.07,9.71,25.29,245.5662,65.7177,53.6516,180.305,295.715,0.3839,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,73.7603,5.3829,98.1208,17.3439,0.0,594.0,387.36,0.0,109.0661
ftw,30,path,,UNLABELED,228.31,292.87,284.11,261.04,55.8,31.83,1776.1151,172.1024,153.8893,256.21,276.955,1.7531,28,1,0,1,rgb,207,207,207,0,none,,,,0.0,169.4536,1.9266,131.1041,25.7062,0.0,594.0,387.36,0.0,875.86
ftw,31,path,,UNLABELED,180.72,363.83,188.38,344.59,7.66,19.24,147.3784,96.6097,38.2185,184.55,354.21,0.3981,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.1593,9.5336,98.1719,9.7086,0.0,594.0,387.36,0.0,96.6097
ftw,32,path,,UNLABELED,179.31,373.75,187.39,363.29,8.08,10.46,84.5168,65.6319,31.7323,183.35,368.52,0.7725,19,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.3383,3.8306,98.0258,10.0989,0.0,594.0,387.36,0.0,68.2628
ftw,33,path,,UNLABELED,192.71,374.47,195.96,372.29,3.25,2.18,7.085,4.9955,7.3188,194.335,373.38,1.4908,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,12.6562,2.3779,178.0615,3.2519,0.0,594.0,387.36,0.0,5.1399
ftw,34,path,,UNLABELED,187.31,371.44,190.93,366.24,3.62,5.2,18.824,16.6623,13.0962,189.12,368.84,0.6962,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,82.7168,2.0256,89.1186,5.2006,0.0,594.0,387.36,0.0,16.6623
ftw,35,path,,UNLABELED,199.23,369.5,208.07,366.66,8.84,2.84,25.1056,20.681,13.6598,203.65,368.08,3.1127,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,178.0488,11.6617,177.4185,8.6588,0.0,594.0,387.36,0.0,20.681
ftw,36,path,,UNLABELED,181.97,433.33,187.46,419.91,5.49,13.42,73.6759,32.9885,17.6195,184.715,426.62,0.4091,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.7531,15.1222,99.0971,6.7043,0.0,594.0,387.36,0.0,38.4348
ftw,37,path,,UNLABELED,157.07,429.07,167.14,417.21,10.07,11.86,119.4303,52.7538,34.6578,162.105,423.14,0.8491,17,1,0,1,rgb,207,207,207,0,none,,,,0.0,89.7505,1.571,98.1098,11.9798,0.0,594.0,387.36,0.0,72.4138
ftw,38,path,,UNLABELED,166.81,433.23,183.03,418.77,16.22,14.46,234.5411,156.3362,50.4015,174.92,426.0,1.1217,35,1,0,1,rgb,207,207,207,0,none,,,,0.0,177.4347,1.5663,99.097,6.7043,0.0,594.0,387.36,0.0,176.7425
ftw,39,path,,UNLABELED,172.74,419.66,184.34,373.29,11.6,46.37,537.8922,238.9444,92.8922,178.54,396.475,0.2502,7,1,0,1,rgb,207,207,207,0,none,,,,0.0,97.8613,45.7363,98.0178,33.9115,0.0,594.0,387.36,0.0,257.6911
ftw,40,path,,UNLABELED,175.93,445.02,184.28,440.26,8.35,4.76,39.7459,19.1054,21.2693,180.105,442.64,1.7542,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.4005,4.4231,7.8759,6.0571,0.0,594.0,387.36,0.0,27.4025
ftw,41,path,,UNLABELED,169.93,438.4,176.72,432.48,6.79,5.92,40.1969,31.6945,17.3772,173.325,435.44,1.147,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,1.5968,1.3368,6.7255,6.4041,0.0,594.0,387.36,0.0,31.6945
ftw,42,path,,UNLABELED,168.99,446.61,176.49,437.69,7.5,8.92,66.9,52.5778,26.8387,172.74,442.15,0.8408,9,1,0,1,rgb,207,207,207,0,none,,,,0.0,101.8728,1.5122,7.1877,5.6746,0.0,594.0,387.36,0.0,54.1854
ftw,43,path,,UNLABELED,173.03,462.89,183.52,457.38,10.49,5.51,57.7999,24.7265,26.3836,178.275,460.135,1.9038,6,1,0,1,rgb,207,207,207,0,none,,,,0.0,8.7378,5.8611,8.5343,8.0188,0.0,594.0,387.36,0.0,38.7477
ftw,44,path,,UNLABELED,167.75,455.41,173.96,446.01,6.21,9.4,58.374,44.6502,18.9554,170.855,450.71,0.6606,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,98.2176,3.0955,97.6373,8.8788,0.0,594.0,387.36,0.0,44.6502
