airport,object_id,subpath_index,edge_index,mid_x,mid_y,angle,length
gcc,0,0,0,334.04,499.51,142.4194,5.8045
gcc,0,0,1,334.6,495.625,50.5559,5.4775
gcc,0,0,2,332.235,494.105,136.4088,1.7259
gcc,0,0,3,330.71,495.165,152.6759,2.026
gcc,0,0,4,328.45,495.51,5.0424,2.7306
gcc,1,0,0,139.86,253.945,142.9789,6.062
gcc,1,0,1,143.91,254.28,52.9607,5.412
gcc,1,0,2,144.18,257.39,145.0647,3.3179
gcc,1,0,3,142.49,258.96,118.0248,1.4047
gcc,1,0,4,142.435,261.005,79.0772,2.9026
gcc,2,0,0,229.31,312.68,30.8445,6.5924
gcc,2,0,1,231.62,316.63,102.9577,4.6381
gcc,2,0,2,235.76,319.65,9.2629,9.4431
gcc,2,0,3,240.89,314.815,94.8018,11.2294
gcc,2,0,4,239.365,309.31,177.4171,3.9941
gcc,2,0,5,237.225,311.925,93.2866,5.0583
gcc,2,0,6,235.205,314.055,11.896,3.8323
gcc,2,0,7,230.2,311.61,33.2229,7.4832
gcc,3,0,0,226.76,308.275,96.0615,1.1364
gcc,3,0,1,227.03,309.295,54.0482,1.1241
gcc,3,0,2,227.215,309.655,33.2327,0.3467
gcc,3,0,3,226.775,310.275,112.4204,1.5469
gcc,3,0,4,226.36,310.96,14.0354,0.2474
gcc,3,0,5,225.94,310.95,176.1851,0.6013
gcc,3,0,6,225.275,311.2,147.7843,0.8628
gcc,3,0,7,225.54,310.2,117.1216,2.7639
gcc,3,0,8,226.495,308.34,117.2876,1.4178
gcc,4,0,0,195.425,259.675,96.7766,5.5085
gcc,4,0,1,195.57,254.725,85.3541,4.4446
gcc,4,0,2,193.32,251.595,23.847,4.5264
gcc,4,0,3,189.62,250.275,13.9535,3.3591
gcc,4,0,4,186.17,249.63,7.5118,3.6715
gcc,4,0,5,182.695,249.53,175.1648,3.3218
gcc,4,0,6,181.51,247.07,100.2467,5.2843
gcc,4,0,7,183.46,245.175,25.471,3.2787
gcc,4,0,8,186.675,246.255,12.1962,3.5501
gcc,4,0,9,190.155,246.875,7.992,3.5242
gcc,4,0,10,194.145,246.97,176.1776,4.5
gcc,4,0,11,197.37,244.8,115.8803,4.4904
gcc,4,0,12,199.14,239.385,103.0993,6.9714
gcc,4,0,13,197.515,249.2,100.3602,26.8579
gcc,5,0,0,237.2,283.175,114.1146,12.238
gcc,5,0,1,237.325,275.985,34.0503,5.7329
gcc,5,0,2,230.91,272.955,19.4289,8.5679
gcc,5,0,3,229.185,266.54,114.888,11.0017
gcc,5,0,4,233.595,262.105,14.8376,4.3345
gcc,5,0,5,233.72,266.84,115.2341,9.2419
