airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
geu,0,path,,UNLABELED,71.46,524.51,313.54,60.73,242.08,463.78,112271.8596,2161.126,1357.0832,192.5,292.62,0.522,235,1,0,1,rgb,207,207,207,0,none,,,,0.0,64.2513,449.0073,64.1862,96.8659,0.0,594.0,387.36,0.0,10774.6915
geu,1,path,,UNLABELED,83.15,213.16,120.81,191.27,37.66,21.89,824.3779,249.5876,125.9385,101.98,202.215,1.7204,36,1,0,1,rgb,207,207,207,0,none,,,,0.0,159.6568,7.0058,25.4032,8.6017,0.0,594.0,387.36,0.0,372.0096
geu,2,path,,UNLABELED,79.82,306.29,164.58,180.75,84.76,125.54,10640.7714,3198.3902,1054.6903,122.2,243.52,0.6752,69,1,0,1,rgb,207,207,207,0,none,,,,0.0,71.2061,3.6852,63.8701,111.2834,0.0,594.0,387.36,0.0,5360.2591
geu,3,path,,UNLABELED,131.25,484.62,252.63,206.06,121.38,278.56,33811.6139,9019.3405,1066.558,191.94,345.34,0.4357,77,1,0,1,rgb,207,207,207,0,none,,,,0.0,70.5821,28.2184,64.2972,96.8864,0.0,594.0,387.36,0.0,12508.2469
geu,4,path,,UNLABELED,187.83,425.21,204.68,417.36,16.85,7.85,132.2727,64.5739,27.3731,196.255,421.285,2.1465,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,167.4676,5.935,155.0871,15.9766,0.0,594.0,387.36,0.0,64.5739
geu,5,path,,UNLABELED,226.64,493.41,271.19,426.19,44.55,67.22,2994.6513,732.9886,218.9289,248.915,459.8,0.6627,25,1,0,1,rgb,207,207,207,0,none,,,,0.0,66.382,5.1243,64.242,43.8134,0.0,594.0,387.36,0.0,1866.0741
geu,6,path,,UNLABELED,217.16,512.88,271.19,479.51,54.03,33.37,1802.9812,395.5257,153.2526,244.175,496.195,1.6191,18,1,0,1,rgb,207,207,207,0,none,,,,0.0,5.2133,1.6117,154.3987,37.4907,0.0,594.0,387.36,0.0,945.6327
geu,7,path,,UNLABELED,231.34,499.53,261.99,480.86,30.65,18.67,572.2353,161.0151,68.9824,246.665,490.195,1.6417,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,154.0385,40.6253,153.9144,32.0663,0.0,594.0,387.36,0.0,161.0151
geu,8,path,,UNLABELED,312.92,533.44,326.53,521.11,13.61,12.33,167.8111,98.9517,31.7379,319.725,527.275,1.1038,4,1,0,1,rgb,207,207,207,0,none,,,,0.0,51.0436,2.152,64.3152,13.6819,0.0,594.0,387.36,0.0,98.9517
geu,9,path,,UNLABELED,84.93,61.03,97.04,47.61,12.11,13.42,162.5167,89.4864,30.1055,90.985,54.32,0.9024,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,75.9349,2.0322,64.2988,10.9759,0.0,594.0,387.36,0.0,89.4945
