airport,object_id,kind,source_layer,label,left,top,right,bottom,width,height,bbox_area,poly_area,perimeter,centroid_x,centroid_y,aspect,num_anchors,subpath_count,closed,filled,fill_kind,fill_r,fill_g,fill_b,stroked,stroke_kind,stroke_r,stroke_g,stroke_b,stroke_width,principal_angle,principal_ratio,longest_segment_angle,longest_segment_length,artboard_left,artboard_top,artboard_right,artboard_bottom,hull_area
gle,0,path,,UNLABELED,128.51,365.87,135.64,353.48,7.13,12.39,88.3408,47.7974,30.7033,132.075,359.675,0.5755,5,1,0,1,rgb,207,207,207,0,none,,,,0.0,87.487,2.7249,88.9013,10.952,0.0,594.0,387.36,0.0,47.7974
gle,1,path,,UNLABELED,58.61,485.41,123.75,139.69,65.14,345.72,22520.2002,2966.6824,1005.833,91.18,312.55,0.1884,46,1,0,1,rgb,207,207,207,0,none,,,,0.0,84.8528,32.8788,88.9472,109.3985,0.0,594.0,387.36,0.0,15405.0901
gle,2,path,,UNLABELED,126.36,286.61,243.07,217.19,116.71,69.42,8102.0097,651.5359,338.9884,184.715,251.9,1.6812,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,11.2652,3.7585,178.6733,69.5386,0.0,594.0,387.36,0.0,3943.5833
gle,3,path,,UNLABELED,183.6,243.37,257.5,179.3,73.9,64.07,4734.7741,711.9417,235.5007,220.55,211.335,1.1534,10,1,0,1,rgb,207,207,207,0,none,,,,0.0,41.4125,97.0081,40.7473,88.9657,0.0,594.0,387.36,0.0,785.039
gle,4,path,,UNLABELED,124.4,185.35,204.65,134.14,80.25,51.21,4109.6018,1199.1325,273.3246,164.525,159.745,1.5671,13,1,0,1,rgb,207,207,207,0,none,,,,0.0,24.7775,4.5932,178.8558,60.5921,0.0,594.0,387.36,0.0,2502.3465
gle,5,compound,,UNLABELED,301.07,444.49,304.22,439.64,3.15,4.85,15.2775,5.7245,22.4419,302.645,442.065,0.6495,98,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0099,2.6332,105.0163,0.4245,0.0,594.0,387.36,0.0,12.1814
gle,6,path,,UNLABELED,304.95,440.32,305.63,439.64,0.68,0.68,0.4624,0.353,2.1208,305.29,439.98,1.0,17,1,0,1,rgb,0,0,0,0,none,,,,0.0,90.0,1.1405,102.0943,0.1432,0.0,594.0,387.36,0.0,0.353
gle,7,path,,UNLABELED,306.94,444.32,308.25,439.72,1.31,4.6,6.026,2.6724,11.5921,307.595,442.02,0.2848,7,1,0,1,rgb,0,0,0,0,none,,,,0.0,95.2383,23.0273,90.0,4.6,0.0,594.0,387.36,0.0,4.3084
gle,8,compound,,UNLABELED,310.03,444.33,312.1,442.25,2.07,2.08,4.3056,2.4072,10.0166,311.065,443.29,0.9952,34,2,0,1,rgb,0,0,0,0,none,,,,0.0,90.0771,1.1194,10.7842,0.4276,0.0,594.0,387.36,0.0,3.3567
gle,9,path,,UNLABELED,314.06,444.49,320.53,439.55,6.47,4.94,31.9618,9.0181,33.0758,317.295,442.02,1.3097,11,1,0,1,rgb,0,0,0,0,none,,,,0.0,153.3444,1.264,67.9712,5.1457,0.0,594.0,387.36,0.0,22.2297
